gps_time,roll,pitch,yaw
1429364549.29897,0,-3.527344,11.81947
1429364549.39294,0,-3.573364,11.80539
1429364549.49747,0,-3.381683,11.79931
1429364549.5967,0,-3.469574,11.79647
1429364549.69398,0,-3.493225,11.8218
1429364549.79639,0,-3.428406,11.7809
1429364549.89266,0,-3.537262,11.81042
1429364550.02632,0,-3.43869,11.79025
1429364550.26469,0,-3.510803,11.76116
1429364550.27024,0,-3.419495,11.81465
1429364550.29461,0,-3.562195,11.77636
1429364550.39835,0,-3.480377,11.81294
1429364550.49729,0,-3.470642,11.81733
1429364550.5955,0,-3.490204,11.78338
1429364550.69473,0,-3.5289,11.82024
1429364550.79622,0,-3.446899,11.767
1429364550.8938,0,-3.546234,11.76636
1429364551.02843,0,-3.493134,11.77962
1429364551.25971,0,-3.533875,11.8075
1429364551.26622,0,-3.494476,11.77367
1429364551.2968,0,-3.560852,11.79807
1429364551.39572,0,-3.568451,11.78332
1429364551.49828,0,-3.507599,11.79585
1429364551.59881,0,-3.41449,11.7899
1429364551.69701,0,-3.534607,11.80178
1429364551.79712,0,-3.515289,11.81675
1429364551.89352,0,-3.555542,11.79757
1429364552.03095,0,-3.520752,11.8205
1429364552.2238,0,-3.534149,11.79054
1429364552.23212,0,-3.508636,11.75809
1429364552.29278,0,-3.613617,11.77392
1429364552.39638,0,-3.527008,11.77922
1429364552.49965,0,-3.589355,11.79912
1429364552.59577,0,-3.568817,11.78519
1429364552.69496,0,-3.673462,11.80204
1429364552.79474,0,-3.612335,11.77729
1429364552.89333,0,-3.629395,11.75304
1429364553.03113,0,-3.538483,11.80946
1429364553.25056,0,-3.456604,11.7731
1429364553.2595,0,-3.608063,11.80908
1429364553.29406,0,-3.49942,11.79122
1429364553.39536,0,-3.674469,11.77201
1429364553.49973,0,-3.625153,11.79111
1429364553.59579,0,-3.551147,11.78316
1429364553.6942,0,-3.53241,11.76406
1429364553.79624,0,-3.580688,11.79784
1429364553.89488,0,-3.487366,11.76365
1429364554.01947,0,-3.57724,11.76611
1429364554.21978,0,-3.533112,11.79245
1429364554.23392,0,-3.617279,11.76771
1429364554.2932,0,-3.646179,11.77003
1429364554.39718,0,-3.627533,11.76682
1429364554.50158,0,-3.596588,11.78072
1429364554.59618,0,-3.566467,11.74033
1429364554.6938,0,-3.488617,11.77257
1429364554.79554,0,-3.645691,11.8157
1429364554.89455,0,-3.680237,11.74881
1429364555.01869,0,-3.588013,11.77493
1429364555.20419,0,-3.676605,11.75904
1429364555.21084,0,-3.715881,11.76252
1429364555.29496,0,-3.63501,11.77389
1429364555.39423,0,-3.534943,11.76211
1429364555.49754,0,-3.714783,11.76381
1429364555.59607,0,-3.501404,11.78861
1429364555.69317,0,-3.587463,11.78402
1429364555.79596,0,-3.600769,11.75396
1429364555.89385,0,-3.619263,11.73527
1429364556.21985,0,-3.631531,11.78159
