gps_time,id,sv_id,pseudorange,carrier_phase,doppler_shift,CN0,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,clkErr
1429364547.19916,G01,1,23778994.3799623,-0.0420487772826164,-3723.18550944328,39.5826249278615,0,0,0,0,0,0,0
1429364547.29916,G01,1,23778924.8107791,-372.250487821293,-3721.75127267837,39.5826249278615,0,0,0,0,0,0,0
1429364547.39916,G01,1,23778855.4355515,-744.454257614678,-3721.20179235935,39.5826249278615,0,0,0,0,0,0,0
1429364547.49916,G01,1,23778785.6959235,-1116.63170349877,-3720.73613107204,39.5826249278615,0,0,0,0,0,0,0
1429364547.59916,G01,1,23778715.7487032,-1488.8221071912,-3721.9375371933,39.5826249278615,0,0,0,0,0,0,0
1429364547.69916,G01,1,23778645.3203477,-1861.03270524554,-3721.4532494545,39.5630709386745,15274721.9270684,-20340041.4219201,7601842.24711467,-160.850357288495,990.440929964185,2974.0853728205,0.000232316946935084
1429364547.79916,G01,1,23778575.0154544,-2233.24050109182,-3720.11214494705,39.5630709386745,15274705.8464886,-20339942.3933169,7602139.66353363,-160.860329506919,990.47578959167,2974.06917179096,0.000232316948466063
1429364547.89916,G01,1,23778504.7041182,-2605.42774147633,-3721.86303138733,39.5630709386745,15274689.7649114,-20339843.3612281,7602437.07833148,-160.870301192626,990.510649222881,2974.05297012627,0.000232316949997044
1429364547.99916,G01,1,23778434.1400895,-2977.6133415848,-3724.27515685558,39.5630709386745,15274673.6823368,-20339744.3256535,7602734.49150912,-160.880272341892,990.545508824289,2974.03676783107,0.000232316951528026
1429364548.09916,G01,1,23778363.6248112,-3349.78445629589,-3718.34263205528,39.5630709386745,15274657.598765,-20339645.2865936,7603031.90306453,-160.890242958441,990.580368425697,2974.02056489885,0.000232316953059009
1429364548.19916,G01,1,23778293.0320487,-3721.9911840111,-3720.21459043026,39.5630709386745,15274641.5141959,-20339546.2440481,7603329.31299903,-160.900213040411,990.615227993578,2974.00436133333,0.000232316954589992
1429364548.29916,G01,1,23778222.4406958,-4094.19258621894,-3719.50678527355,39.5630709386745,15274625.4286296,-20339447.1980168,7603626.72131293,-160.91018258594,990.650087572634,2973.98815713823,0.000232316956120977
1429364548.39916,G01,1,23778151.5753263,-4466.36836032569,-3721.90028429031,39.5630709386745,15274609.3420661,-20339348.1484994,7603924.1280072,-160.920151602477,990.684947133064,2973.97195230611,0.000232316957651963
1429364548.49916,G01,1,23778080.5202218,-4838.559192013,-3720.27046978474,39.5630709386745,15274593.2545056,-20339249.0954969,7604221.53307847,-160.930120078847,990.719806663692,2973.95574684255,0.00023231695918295
1429364548.59916,G01,1,23778009.5393806,-5210.70976047963,-3721.52775526047,39.5630709386745,15274577.165948,-20339150.0390088,7604518.93652839,-160.940088026226,990.75466619432,2973.93954074476,0.000232316960713937
1429364548.69916,G01,1,23777938.3650828,-5582.89450409822,-3721.59294784069,39.4497340057066,15274561.0763936,-20339050.9790357,7604816.33835502,-160.9500554353,990.789525702596,2973.92333401367,0.000232316962244926
1429364548.79916,G01,1,23777867.0312899,-5955.07366140187,-3722.55221009254,39.4497340057066,15274544.9858422,-20338951.9155766,7605113.73856155,-160.96002230607,990.824385214597,2973.90712664835,0.000232316963775916
1429364548.89916,G01,1,23777796.0714132,-6327.23419459909,-3721.38805687427,39.4497340057066,15274528.8942939,-20338852.8486314,7605411.13714774,-160.969988649711,990.859244696796,2973.89091865066,0.000232316965306906
1429364548.99916,G01,1,23777724.4536146,-6699.43781832606,-3721.94685041904,39.4497340057066,15274512.8017484,-20338753.7781991,7605708.53411714,-160.979954455048,990.894104171544,2973.87471001968,0.000232316966837898
1429364549.09916,G01,1,23777653.3537054,-7071.59350659326,-3721.0900336504,39.4497340057066,15274496.7082064,-20338654.704282,7606005.92946235,-160.989919725806,990.928963631392,2973.85850075353,0.000232316968368891
1429364549.19916,G01,1,23777582.1409026,-7443.7553143613,-3720.41016817093,39.4497340057066,15274480.6136675,-20338555.6268788,7606303.32318737,-160.999884463847,990.963823076338,2973.84229085222,0.000232316969899884
1429364549.29916,G01,1,23777510.665021,-7815.89505705237,-3722.40319848061,39.4497340057066,15274464.518132,-20338456.5459899,7606600.7152909,-161.009848665446,990.998682513833,2973.8260803204,0.000232316971430879
1429364549.39916,G01,1,23777439.4387817,-8188.10154762864,-3721.52775526047,39.4497340057066,15274448.4215999,-20338357.4616158,7606898.10577127,-161.019812338054,991.033541932702,2973.80986915436,0.000232316972961875
1429364549.49916,G01,1,23777367.9896389,-8560.22356155887,-3723.77224266529,39.4497340057066,15274432.324071,-20338258.3737541,7607195.49463599,-161.029775472358,991.068401344121,2973.79365735222,0.000232316974492871
1429364549.59916,G01,1,23777296.6469351,-8932.39376660436,-3721.78852558136,39.4497340057066,15274416.2255455,-20338159.2824067,7607492.88187881,-161.03973807022,991.103260736912,2973.77744492143,0.000232316976023869
1429364549.69916,G01,1,23777225.4815274,-9304.55036293343,-3722.91542589664,39.6458617052328,15274400.1260236,-20338060.1875734,7607790.26750054,-161.049700137228,991.138120114803,2973.76123185363,0.000232316977554868
1429364549.79916,G01,1,23777154.1941346,-9676.69385856017,-3719.87000107765,39.6458617052328,15274384.0255052,-20337961.0892547,7608087.65149988,-161.059661665931,991.172979477793,2973.74501815438,0.000232316979085868
1429364549.89916,G01,1,23777083.0535046,-10048.8915462382,-3722.39388525486,39.6458617052328,15274367.9239905,-20337861.9874496,7608385.03387919,-161.069622663781,991.207838829607,2973.72880381905,0.000232316980616868
1429364549.99916,G01,1,23777011.6574535,-10421.0439355373,-3720.88514268398,39.6458617052328,15274351.8214793,-20337762.8821583,7608682.41463831,-161.079583125189,991.242698170245,2973.71258885227,0.00023231698214787
1429364550.09916,G01,1,23776940.5862113,-10793.2099789418,-3722.35663235188,39.6458617052328,15274335.7179851,-20337663.7731088,7608979.79375339,-161.089543098584,991.277556665242,2973.69637332018,0.000232316983928873
1429364550.19916,G01,1,23776869.3479588,-11165.3796508238,-3720.18665075302,39.6458617052328,15274319.6134814,-20337564.6608457,7609277.17126978,-161.099502487108,991.312415972352,2973.68015708588,0.000232316985459876
