gps_time,id,sv_id,pseudorange,carrier_phase,doppler_shift
1429364547.19916,GG01,1,23778994.3799623,-0.0420487772826164,-3723.18550944328
1429364547.29916,GG01,1,23778924.8107791,-372.250487821293,-3721.75127267837
1429364547.39916,GG01,1,23778855.4355515,-744.454257614678,-3721.20179235935
1429364547.49916,GG01,1,23778785.6959235,-1116.63170349877,-3720.73613107204
1429364547.59916,GG01,1,23778715.7487032,-1488.8221071912,-3721.9375371933
1429364547.69916,GG01,1,23778645.3203477,-1861.03270524554,-3721.4532494545
1429364547.79916,GG01,1,23778575.0154544,-2233.24050109182,-3720.11214494705
1429364547.89916,GG01,1,23778504.7041182,-2605.42774147633,-3721.86303138733
1429364547.99916,GG01,1,23778434.1400895,-2977.6133415848,-3724.27515685558
1429364548.09916,GG01,1,23778363.6248112,-3349.78445629589,-3718.34263205528
1429364548.19916,GG01,1,23778293.0320487,-3721.9911840111,-3720.21459043026
1429364548.29916,GG01,1,23778222.4406958,-4094.19258621894,-3719.50678527355
1429364548.39916,GG01,1,23778151.5753263,-4466.36836032569,-3721.90028429031
1429364548.49916,GG01,1,23778080.5202218,-4838.559192013,-3720.27046978474
1429364548.59916,GG01,1,23778009.5393806,-5210.70976047963,-3721.52775526047
1429364548.69916,GG01,1,23777938.3650828,-5582.89450409822,-3721.59294784069
1429364548.79916,GG01,1,23777867.0312899,-5955.07366140187,-3722.55221009254
1429364548.89916,GG01,1,23777796.0714132,-6327.23419459909,-3721.38805687427
1429364548.99916,GG01,1,23777724.4536146,-6699.43781832606,-3721.94685041904
1429364549.09916,GG01,1,23777653.3537054,-7071.59350659326,-3721.0900336504
1429364549.19916,GG01,1,23777582.1409026,-7443.7553143613,-3720.41016817093
1429364549.29916,GG01,1,23777510.665021,-7815.89505705237,-3722.40319848061
1429364549.39916,GG01,1,23777439.4387817,-8188.10154762864,-3721.52775526047
1429364549.49916,GG01,1,23777367.9896389,-8560.22356155887,-3723.77224266529
1429364549.59916,GG01,1,23777296.6469351,-8932.39376660436,-3721.78852558136
1429364549.69916,GG01,1,23777225.4815274,-9304.55036293343,-3722.91542589664
1429364549.79916,GG01,1,23777154.1941346,-9676.69385856017,-3719.87000107765
1429364549.89916,GG01,1,23777083.0535046,-10048.8915462382,-3722.39388525486
1429364549.99916,GG01,1,23777011.6574535,-10421.0439355373,-3720.88514268398
1429364550.09916,GG01,1,23776940.5862113,-10793.2099789418,-3722.35663235188
