gps_time,id,sv_id,pseudorange,carrier_phase,doppler_shift,CN0,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,clkErr
1429364549.29897,G01,1,23720725.6485916,0,-3038.76586258411,44.9945145066279,0,0,0,0,0,0,0
1429364549.39897,G01,1,23720667.6547783,0,-3034.5655977726,44.9945145066279,0,0,0,0,0,0,0
1429364549.49897,G01,1,23720609.4439016,0,-3041.03828966618,44.9945145066279,0,0,0,0,0,0,0
1429364549.59897,G01,1,23720551.4521601,0,-3037.53651678562,44.9945145066279,0,0,0,0,0,0,0
1429364549.69897,G01,1,23720493.5714661,0,-3037.89973258972,44.9945145066279,0,0,0,0,0,0,0
1429364549.79897,G01,1,23720436.1121379,0,-3039.90207612514,42.9027265744668,0,0,0,0,0,0,0
1429364549.89897,G01,1,23720377.8892709,0,-3039.98589515686,42.9027265744668,0,0,0,0,0,0,0
1429364549.99897,G01,1,23720320.2376611,0,-3039.65061903,42.9027265744668,0,0,0,0,0,0,0
1429364550.09897,G01,1,23720262.41422,-2431.39033212047,-3040.26529192924,42.9027265744668,0,0,0,0,0,0,0
1429364550.19897,G01,1,23720204.3764863,-2735.30282334611,-3041.2245541811,42.9027265744668,0,0,0,0,0,0,0
1429364550.29897,G01,1,23720146.4823638,-3039.32488465309,-3038.78448903561,42.9027265744668,0,0,0,0,0,0,0
1429364550.39897,G01,1,23720088.9435548,-3343.30435077101,-3041.81128740311,42.9027265744668,0,0,0,0,0,0,0
1429364550.49897,G01,1,23720031.6816213,-3647.46862194501,-3040.96378386021,42.9027265744668,0,0,0,0,0,0,0
1429364550.59897,G01,1,23719973.6549149,-3951.52862665989,-3040.20941257477,42.9027265744668,0,0,0,0,0,0,0
1429364550.69897,G01,1,23719915.7312136,-4255.56093343534,-3039.65061903,42.9027265744668,0,0,0,0,0,0,0
1429364550.79897,G01,1,23719857.7993253,-4559.77345272526,-3038.16981613636,42.9754604929987,0,0,0,0,0,0,0
1429364550.89897,G01,1,23719799.8978484,-4863.83603193611,-3040.59125483036,42.9754604929987,0,0,0,0,0,0,0
1429364550.99897,G01,1,23719741.9827474,-5168.12758495286,-3036.81939840317,42.9754604929987,0,0,0,0,0,0,0
1429364551.09897,G01,1,23719684.1915735,-5472.21466054395,-3042.08137094974,42.9754604929987,0,0,0,0,0,0,0
1429364551.19897,G01,1,23719626.2758253,-5776.30147302151,-3041.68090224266,42.9754604929987,0,0,0,0,0,0,0
1429364551.29897,G01,1,23719568.166368,-6080.46303446591,-3043.10582578182,42.9754604929987,0,0,0,0,0,0,0
1429364551.39897,G01,1,23719509.9204163,-6384.66600178182,-3042.61222481728,42.9754604929987,0,0,0,0,0,0,0
1429364551.49897,G01,1,23719452.4177416,-6688.84898338094,-3039.00800645351,42.9754604929987,15274110.1643101,-20336275.884265,7613142.93123914,-161.228925976902,991.765585739166,2973.46928840782,0.000232317005362992
1429364551.59897,G01,1,23719394.3739935,-6992.87381318584,-3046.57034575939,42.9754604929987,15274094.0458633,-20336176.7231903,7613440.28607658,-161.238877886906,991.800444871187,2973.4530633036,0.000232317006894007
1429364551.69897,G01,1,23719336.4516073,-7297.17959346995,-3042.06274449825,42.9754604929987,15274077.9264218,-20336077.5586337,7613737.63927967,-161.248829267919,991.835303973407,2973.43683756609,0.000232317008425022
1429364551.79897,G01,1,23719278.4599116,-7601.35068662837,-3041.42944514751,41.1287315927293,15274061.8059848,-20335978.390591,7614034.99086104,-161.25878011249,991.87016306445,2973.42061119806,0.000232317009956038
1429364551.89897,G01,1,23719220.7978452,-7905.54884032905,-3042.21175611019,41.1287315927293,15274045.6845534,-20335879.2190679,7614332.34080359,-161.268730422482,991.905022151768,2973.40438419487,0.000232317011487055
1429364551.99897,G01,1,23719163.2744442,-8209.71434998885,-3041.2245541811,41.1287315927293,15274029.562126,-20335780.0440538,7614629.68913875,-161.278680194169,991.939881209284,2973.38815655746,0.000232317013018072
1429364552.09897,G01,1,23719105.2534588,-8513.85314970464,-3037.92767226696,41.1287315927293,15274013.4387031,-20335680.8655528,7614927.03585457,-161.288629435003,991.974740263075,2973.37192828674,0.000232317014549091
1429364552.19897,G01,1,23719047.3865448,-8817.99807899818,-3039.44572806358,41.1287315927293,15273997.3142853,-20335581.6835668,7615224.38094501,-161.298578141257,992.009599301964,2973.35569938365,0.00023231701608011
1429364552.29897,G01,1,23718989.8225493,-9122.09245256707,-3046.59828543663,41.1287315927293,15273981.1888718,-20335482.4980922,7615521.72442104,-161.308526314795,992.044458333403,2973.33946984541,0.00023231701761113
1429364552.39897,G01,1,23718931.9274174,-9426.30967039615,-3039.46435451508,41.1287315927293,15273965.062464,-20335383.3091357,7615819.06626209,-161.318473951891,992.079317338765,2973.32323967852,0.000232317019142151
1429364552.49897,G01,1,23718874.2926976,-9730.47261140496,-3039.39916193485,41.1287315927293,15273948.9350616,-20335284.1166959,7616116.4064727,-161.328421052545,992.114176332951,2973.3070088746,0.000232317020673172
1429364552.59897,G01,1,23718816.4931065,-10034.6084396802,-3043.61805319786,41.1287315927293,15273932.8066635,-20335184.9207653,7616413.74507507,-161.338367624208,992.149035312235,2973.29077743366,0.000232317022204194
1429364552.69897,G01,1,23718758.8078392,-10338.6997128651,-3039.18495774269,41.1287315927293,15273916.6772708,-20335085.7213511,7616711.08204771,-161.348313657567,992.18389428407,2973.27454536501,0.000232317023735217
1429364552.79897,G01,1,23718701.3177483,-10642.8717918247,-3039.36190903187,43.639680566916,15273900.5468836,-20334986.518453,7617008.41739135,-161.358259152621,992.218753244728,2973.25831266213,0.000232317025266241
1429364552.89897,G01,1,23718643.4024464,-10946.9799344391,-3041.81128740311,43.639680566916,15273884.4155013,-20334887.3120674,7617305.75111693,-161.368204114959,992.253612179309,2973.24207932316,0.000232317026797266
1429364552.99897,G01,1,23718585.3960559,-11251.1589591429,-3042.5563454628,43.639680566916,15273868.2831249,-20334788.102199,7617603.08321023,-161.37814855203,992.28847110644,2973.22584535368,0.000232317028328291
1429364553.09897,G01,1,23718527.6222805,-11555.3403460011,-3041.18730127811,43.639680566916,15273852.1497534,-20334688.888843,7617900.41368513,-161.38809244521,992.323330014944,2973.20961075183,0.000232317029859317
