gps_time,id,sv_id,pseudorange,carrier_phase,doppler_shift,CNo,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,clkErr
1429448058.20327,G02,2,24008571.8230607,1.28008387220257,-3139.49771225452,46.9713876868238,17027290.5247807,-17113034.7050265,11015005.0493733,-375.152444335926,1317.39630057285,2779.59399025572,-0.000187320111737721
1429448058.30327,G02,2,24008512.4939977,-312.621655186522,-3138.43600451946,46.9713876868238,17027253.0090743,-17112902.9635449,11015283.0080347,-375.160502812726,1317.42918115486,2779.5704855402,-0.000187320110794142
1429448058.40328,G02,2,24008453.145467,-626.507382292068,-3139.18106257916,46.9713876868238,17027215.4925601,-17112771.2187688,11015560.9643595,-375.168560724077,1317.46206161866,2779.54698024736,-0.000187320109850453
1429448058.50327,G02,2,24008393.6627841,-940.407876964193,-3138.27767968178,46.9713876868238,17027177.9752395,-17112639.470702,11015838.9183391,-375.17661806975,1317.49494196327,2779.52347437791,-0.000187320108906874
1429448058.60327,G02,2,24008334.1435843,-1254.2959931856,-3138.06347548962,46.9713876868238,17027140.4571135,-17112507.7193482,11016116.8699663,-375.184674849522,1317.52782218778,2779.4999679325,-0.000187320107963296
1429448058.70327,G02,2,24008274.6058962,-1568.18429818191,-3139.20900225639,46.9713876868238,17027102.9381825,-17112375.964709,11016394.8192369,-375.192731063285,1317.56070229172,2779.47646091145,-0.000187320107019717
1429448058.80327,G02,2,24008214.9294056,-1882.04848453868,-3138.37081193924,46.9713876868238,17027065.4184456,-17112244.2067808,11016672.7661592,-375.20078671127,1317.59358227605,2779.45295331408,-0.000187320106076028
1429448058.90327,G02,2,24008155.359376,-2195.91288691293,-3138.28699290752,46.9713876868238,17027027.8979038,-17112112.4455663,11016950.7107268,-375.208841793309,1317.62646214003,2779.42944514091,-0.000187320105132449
1429448059.00327,G02,2,24008095.6816817,-2509.78748046886,-3138.36149871349,46.9713876868238,17026990.3765563,-17111980.6810634,11017228.6529446,-375.216896309533,1317.65934188421,2779.40593639156,-0.000187320104188871
1429448059.10327,G02,2,24008036.1245559,-2823.66597975045,-3138.33355903625,46.9713876868238,17026952.8544041,-17111848.913275,11017506.5928062,-375.224950259768,1317.69222150784,2779.38242706654,-0.000187320103245292
1429448059.20327,G02,2,24007976.4505054,-3137.50491010584,-3138.99479806423,47.3915107368541,17026915.3314463,-17111717.1421979,11017784.5303184,-375.23300364421,1317.7251010117,2779.35891716529,-0.000187320102301713
1429448059.30327,G02,2,24007916.7025149,-3451.39233041927,-3138.87372612953,47.3915107368541,17026877.8076834,-17111585.3678335,11018062.4654782,-375.241056462771,1317.75798039544,2779.33540668807,-0.000187320101358024
1429448059.40327,G02,2,24007856.9074422,-3765.24753211252,-3137.71888613701,47.3915107368541,17026840.2831152,-17111453.5901811,11018340.3982871,-375.249108715501,1317.79085965923,2779.31189563475,-0.000187320100414445
1429448059.50327,G02,2,24007797.0837043,-4079.11829120107,-3137.51399517059,47.3915107368541,17026802.7577421,-17111321.8092413,11018618.3287436,-375.25716040236,1317.82373880289,2779.28838400545,-0.000187320099470867
1429448059.60327,G02,2,24007737.2890171,-4392.97159648687,-3139.23694193363,47.3915107368541,17026765.2315638,-17111190.0250141,11018896.2568479,-375.265211523349,1317.85661782644,2779.26487180016,-0.000187320098527288
1429448059.70327,G02,2,24007677.441503,-4706.82815816998,-3138.1007283926,47.3915107368541,17026727.7045805,-17111058.2374989,11019174.1826011,-375.27326207851,1317.88949673001,2779.24135901879,-0.00018732009758371
1429448059.80327,G02,2,24007617.5651355,-5020.69099559076,-3138.02622258663,47.3915107368541,17026690.1767923,-17110926.4466965,11019452.1060019,-375.281312067799,1317.92237551341,2779.21784566145,-0.00018732009664002
1429448059.90327,G02,2,24007557.729137,-5334.52580188587,-3138.41737806797,47.3915107368541,17026652.6481987,-17110794.6526043,11019730.027055,-375.289361491366,1317.95525417722,2779.19433172774,-0.000187320095696442
1429448060.00327,G02,2,24007497.8815966,-5648.36237145215,-3138.16592097282,47.3915107368541,17026615.1188004,-17110662.8552255,11020007.9457542,-375.297410349023,1317.98813272068,2779.17081721819,-0.000187320094752863
1429448060.10327,G02,2,24007438.0773622,-5962.20190635324,-3138.12866806984,47.3915107368541,17026577.5885974,-17110531.0545592,11020285.8621012,-375.305458640822,1318.02101114399,2779.14730213267,-0.000187320093809284
1429448060.20327,G02,2,24007378.2450451,-6276.04492662475,-3138.48257064819,47.2402958012334,17026540.0575894,-17110399.2506045,11020563.7760975,-375.313506366819,1318.05388944734,2779.12378647102,-0.000187320092865595
1429448060.30327,G02,2,24007318.4329801,-6589.89107713103,-3137.9796564579,47.2402958012334,17026502.5257769,-17110267.4433623,11020841.6877419,-375.321553526973,1318.08676763056,2779.10027023337,-0.000187320091922016
1429448060.40327,G02,2,24007258.5035053,-6903.71603022516,-3138.4639441967,47.2402958012334,17026464.993159,-17110135.6328304,11021119.5970385,-375.329600121405,1318.11964569413,2779.07675341936,-0.000187320090978438
1429448060.50327,G02,2,24007198.7232782,-7217.55138564855,-3138.21248710156,47.2402958012334,17026427.4597375,-17110003.819014,11021397.5039762,-375.337646149801,1318.15252363675,2779.05323602993,-0.000187320090034859
1429448060.60327,G02,2,24007138.9102275,-7531.38418276235,-3138.39875161648,47.2402958012334,17026389.9255112,-17109872.0019091,11021675.4085638,-375.345691612413,1318.18540145943,2779.02971806436,-0.000187320089091281
1429448060.70327,G02,2,24007079.19238,-7845.20046797022,-3138.47325742245,47.2402958012334,17026352.3904801,-17109740.1815154,11021953.3108018,-375.353736509258,1318.21827916223,2779.00619952258,-0.000187320088147591
1429448060.80327,G02,2,24007019.4184152,-8159.01724840328,-3137.65369355679,47.2402958012334,17026314.8546445,-17109608.357834,11022231.2106876,-375.361780840269,1318.25115674485,2778.98268040482,-0.000187320087204013
1429448060.90327,G02,2,24006959.7476596,-8472.84637382627,-3138.61295580864,47.2402958012334,17026277.3180044,-17109476.5308643,11022509.1082227,-375.369824605481,1318.28403420745,2778.95916071096,-0.000187320086260434
1429448061.00327,G02,2,24006900.0502799,-8786.66328924522,-3138.18454742432,47.2402958012334,17026239.7805599,-17109344.7006065,11022787.0034064,-375.377867804889,1318.31691154994,2778.93564044106,-0.000187320085316856
1429448061.10327,G02,2,24006840.2940345,-9100.46998197585,-3137.84927129746,47.2402958012334,17026202.2423105,-17109212.8670592,11023064.896242,-375.385910438577,1318.3497887727,2778.91211959484,-0.000187320084373277
1429448061.20327,G02,2,24006780.5300315,-9414.28420721367,-3138.7060880661,47.4706534438202,17026164.7032571,-17109081.0302251,11023342.7867234,-375.393952506382,1318.38266587502,2778.8885981728,-0.000187320083429587
1429448061.30327,G02,2,24006720.792957,-9728.09809512272,-3138.27767968178,47.4706534438202,17026127.1633999,-17108949.1901042,11023620.6748507,-375.401994008304,1318.41554285688,2778.86507617496,-0.000187320082486009
1429448061.40327,G02,2,24006661.2330385,-10041.9018940665,-3137.66300678253,47.4706534438202,17026089.622738,-17108817.3466938,11023898.5606294,-375.410034944506,1318.44841971894,2778.84155360084,-0.00018732008154243
1429448061.50327,G02,2,24006601.3162356,-10355.7198625877,-3138.64089548588,47.4706534438202,17026052.0812717,-17108685.4999947,11024176.4440584,-375.418075314952,1318.48129646107,2778.81803045055,-0.000187320080598852
1429448061.60327,G02,2,24006541.5946825,-10669.5351937041,-3137.74682581425,47.4706534438202,17026014.5390025,-17108553.6500116,11024454.3251271,-375.426115119348,1318.51417308199,2778.79450672496,-0.000187320079655162
