gps_time,id,sv_id,pseudorange,carrier_phase,doppler_shift,CNo,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,clkErr
1429448058.29781,G02,2,22403945.0845653,-193844.237214208,-2478.5939604044,45.9386655499107,17054089.1400301,-17207034.3922238,10814268.3164809,-369.203437616414,1293.69199479075,2796.36747634163,-0.000187320791131373
1429448058.39781,G02,2,22403897.8429185,-194091.933229208,-2476.99208557606,45.9386655499107,17054052.2192033,-17206905.0211668,10814547.9525267,-369.211903633189,1293.72495825332,2796.34438796581,-0.000187320790187684
1429448058.49781,G02,2,22403850.6119378,-194339.630896091,-2476.20046138763,45.9386655499107,17054015.2975302,-17206775.6468145,10814827.5862612,-369.220369083704,1293.75792160522,2796.32129900985,-0.000187320789244105
1429448058.59781,G02,2,22403803.2901266,-194587.324751735,-2476.6381829977,45.9386655499107,17053978.3750109,-17206646.2691667,10815107.2176851,-369.228833967982,1293.79088484651,2796.2982094737,-0.000187320788300527
1429448058.69781,G02,2,22403756.1413837,-194835.017831802,-2477.0200252533,45.9386655499107,17053941.451645,-17206516.8882225,10815386.8468001,-369.237298286084,1293.82384797741,2796.27511935719,-0.000187320787356948
1429448058.79781,G02,2,22403708.9571118,-195082.71801424,-2477.6067584753,45.9386655499107,17053904.5274328,-17206387.5039822,10815666.4736056,-369.245762037982,1293.85681099781,2796.25202866041,-0.000187320786413259
1429448058.89781,G02,2,22403661.6301113,-195330.41092515,-2476.72200202942,45.9386655499107,17053867.6023737,-17206258.1164437,10815946.0981063,-369.254225223829,1293.88977390828,2796.22893738295,-0.00018732078546968
1429448058.99781,G02,2,22403614.4109096,-195578.087901354,-2476.95483267307,46.0458991486052,17053830.6764686,-17206128.72561,10816225.7202954,-369.262687843415,1293.92273670801,2796.20584552539,-0.000187320784526102
1429448059.09781,G02,2,22403567.1469081,-195825.769343138,-2476.2935936451,46.0458991486052,17053793.7497175,-17205999.3314804,10816505.3401741,-369.27114989679,1293.95569939713,2796.18275308761,-0.000187320783582523
1429448059.19781,G02,2,22403519.9549801,-196073.463638186,-2477.93272137642,46.0458991486052,17053756.8221201,-17205869.9340545,10816784.957744,-369.279611383989,1293.98866197582,2796.15966006949,-0.000187320782638944
1429448059.29781,G02,2,22403472.7075468,-196321.121933937,-2476.86170041561,46.0458991486052,17053719.8936765,-17205740.5333319,10817064.5730054,-369.288072305037,1294.02162444412,2796.13656647101,-0.000187320781695255
