gps_time,roll,pitch,yaw
1429447986.10329,0,-2.689911,85.32745
1429447986.11005,0,-2.6474,85.39346
1429447986.16708,0,-2.68103,85.35761
1429447986.25714,0,-2.921143,85.24893
1429447986.35879,0,-2.803009,85.35033
1429447986.45723,0,-2.729065,85.32131
1429447986.55606,0,-2.614166,85.34244
1429447986.65701,0,-2.590637,85.26347
1429447986.75654,0,-2.6362,85.31047
1429447986.8718,0,-2.749908,85.29552
1429447987.1183,0,-2.419037,85.37408
1429447987.13017,0,-2.478638,85.36515
1429447987.16028,0,-2.745148,85.30788
1429447987.25617,0,-2.664917,85.32533
1429447987.36071,0,-2.598969,85.32252
1429447987.45733,0,-2.546997,85.34213
1429447987.5556,0,-2.562805,85.33295
1429447987.6556,0,-2.628632,85.32738
1429447987.75462,0,-2.533295,85.31593
1429447987.87267,0,-2.525055,85.32872
1429447988.09921,0,-2.591919,85.30053
1429447988.11015,0,-2.547852,85.33164
1429447988.1576,0,-2.546417,85.34266
1429447988.25675,0,-2.492279,85.3308
1429447988.35997,0,-2.607025,85.35403
1429447988.45619,0,-2.431152,85.3583
1429447988.55594,0,-2.520233,85.33385
1429447988.65699,0,-2.490143,85.32698
1429447988.75516,0,-2.639587,85.29939
1429447988.87402,0,-2.496399,85.29784
1429447988.95975,0,-2.544189,85.35401
1429447989.15944,0,-2.488403,85.32312
1429447989.16482,0,-2.60434,85.30952
1429447989.2576,0,-2.370758,85.25718
1429447989.35726,0,-2.439148,85.28752
1429447989.45836,0,-2.52179,85.27016
1429447989.55591,0,-2.295715,85.29398
1429447989.6574,0,-2.304932,85.29967
1429447989.75905,0,-2.467041,85.26697
1429447989.88716,0,-2.428192,85.27111
1429447990.03879,0,-2.424744,85.33389
1429447990.06187,0,-2.469299,85.26202
1429447990.16329,0,-2.637756,85.31509
1429447990.25679,0,-2.530121,85.31796
1429447990.35772,0,-2.555939,85.27609
1429447990.45575,0,-2.438202,85.28839
1429447990.555,0,-2.607422,85.33688
1429447990.6565,0,-2.528137,85.30981
1429447990.75376,0,-2.652954,85.28386
1429447990.87385,0,-2.560425,85.24799
1429447991.07565,0,-2.539124,85.32288
1429447991.0867,0,-2.58783,85.33598
1429447991.15591,0,-2.565918,85.27812
1429447991.25756,0,-2.417328,85.32716
1429447991.35964,0,-2.511414,85.36151
1429447991.45684,0,-2.602417,85.3187
1429447991.55572,0,-2.549316,85.3732
1429447991.65952,0,-2.575867,85.28526
1429447991.75524,0,-2.571686,85.31154
1429447991.87378,0,-2.527222,85.34265
1429447992.01566,0,-2.618042,85.31184
1429447992.06142,0,-2.447357,85.34175
1429447992.15625,0,-2.471436,85.32912
1429447992.25801,0,-2.550262,85.28769
1429447992.35991,0,-2.446228,85.32395
1429447992.45719,0,-2.562256,85.26685
1429447992.55673,0,-2.418549,85.30186
1429447992.6591,0,-2.553528,85.29838
1429447992.7563,0,-2.391968,85.27425
1429447992.87514,0,-2.621063,85.34278
1429447992.96089,0,-2.481018,85.33297
1429447993.13276,0,-2.504028,85.30825
1429447993.15582,0,-2.525146,85.29733
1429447993.25665,0,-2.448761,85.35823
1429447993.35845,0,-2.491089,85.37376
1429447993.45714,0,-2.428864,85.34972
1429447993.55517,0,-2.450378,85.33504
1429447993.657,0,-2.438049,85.3084
1429447993.75563,0,-2.344971,85.3061
1429447993.87689,0,-2.476471,85.41059
1429447993.9589,0,-2.476532,85.34708
1429447994.0609,0,-2.339539,85.31441
1429447994.15546,0,-2.341827,85.34858
1429447994.2584,0,-2.411865,85.27235
1429447994.36036,0,-2.286957,85.38229
1429447994.45749,0,-2.249237,85.40482
1429447994.55445,0,-2.333038,85.36421
1429447994.65734,0,-2.248077,85.35477
1429447994.75563,0,-2.450684,85.32786
1429447994.87679,0,-2.205627,85.38359
1429447995.05906,0,-2.444061,85.37597
1429447995.067,0,-2.404449,85.35387
1429447995.15794,0,-2.48056,85.36009
1429447995.25937,0,-2.130005,85.24371
1429447995.36072,0,-2.285797,85.27811
1429447995.45882,0,-2.231903,85.3212
1429447995.5554,0,-2.344849,85.27244
1429447995.65634,0,-2.171478,85.3291
1429447995.75571,0,-2.081665,85.33416
1429447995.87457,0,-2.177643,85.30029
1429447996.03689,0,-2.172791,85.28403
1429447996.05992,0,-2.282562,85.31036
1429447996.15822,0,-2.053772,85.22587
1429447996.25987,0,-2.21405,85.32896
1429447996.35874,0,-2.15625,85.30495
1429447996.45695,0,-1.960754,85.33125
1429447996.55522,0,-2.242981,85.36221
1429447996.65726,0,-2.308594,85.27943
1429447996.75483,0,-2.00705,85.28052
1429447996.87422,0,-2.291199,85.2887
1429447996.96175,0,-2.257355,85.25127
1429447997.12945,0,-2.277252,85.28539
1429447997.15677,0,-2.311981,85.29481
1429447997.25735,0,-2.24939,85.29848
1429447997.3591,0,-2.359222,85.29076
1429447997.4579,0,-2.391724,85.29389
1429447997.55518,0,-2.492737,85.3262
1429447997.65753,0,-2.331451,85.32741
1429447997.75942,0,-2.397827,85.31013
1429447997.87553,0,-2.396729,85.30338
1429447997.95755,0,-2.358795,85.32
1429447998.1366,0,-2.453186,85.32368
1429447998.16181,0,-2.309113,85.30565
1429447998.25754,0,-2.318359,85.31628
1429447998.35995,0,-2.38858,85.31744
1429447998.45749,0,-2.349121,85.32812
1429447998.5554,0,-2.23114,85.28639
1429447998.65802,0,-2.416107,85.28062
1429447998.75665,0,-2.362732,85.25263
1429447998.87401,0,-2.327026,85.29239
1429447999.12261,0,-2.275238,85.24854
1429447999.13431,0,-2.4552,85.31628
1429447999.15859,0,-2.355957,85.27503
1429447999.2562,0,-2.19043,85.27074
1429447999.36112,0,-2.17868,85.30708
1429447999.45782,0,-2.45578,85.28066
1429447999.55399,0,-2.070496,85.25063
1429447999.65664,0,-2.366119,85.28783
1429447999.75616,0,-2.143433,85.31297
1429447999.88966,0,-2.338165,85.30679
1429448000.12163,0,-2.197327,85.23454
1429448000.13166,0,-2.218353,85.30656
1429448000.15951,0,-2.180145,85.32153
1429448000.25853,0,-2.365356,85.30095
1429448000.36076,0,-2.344421,85.35829
1429448000.45744,0,-2.413177,85.30818
