gps_time,x,y,z,vE,vN,vU
1429447986.1,4181984.54517579,860760.577014036,4723072.65706502,-0.00706887170283886,0.00180016437652782,-0.0097703491478962
1429447986.10839,4181984.546402,860760.577899,4723072.65810549,0.00619595731697911,-0.00331223918534032,0.0169791533310505
1429447986.16512,4181984.54687954,860760.577064757,4723072.66322965,0.000709447837072884,-0.000298938641774211,-0.00619946703221489
1429447986.25559,4181984.54696538,860760.577267208,4723072.66317337,0.00180991039709818,-0.00130523774738494,0.000420570836553698
1429447986.35723,4181984.54709041,860760.576544464,4723072.66369328,-0.00733116032040101,0.00364667268315227,0.00369265265911191
1429447986.45597,4181984.54563061,860760.577441936,4723072.66242822,0.0117334806278204,0.00084023154259286,-0.0177452734327154
1429447986.55475,4181984.5454805,860760.576411748,4723072.66270306,-0.00978779764049772,0.00447560924824404,-0.000321435764682785
1429447986.65486,4181984.54580534,860760.576926062,4723072.6594686,0.00438269549875912,-0.0247490690957347,-0.0212480014170899
1429447986.75445,4181984.54636187,860760.576597465,4723072.66119926,-0.00434049025316143,0.00799997426804312,0.0160768678592712
1429447986.87336,4181984.54656193,860760.578375748,4723072.66123488,0.017014507190895,-0.00388759259427862,0.0039854191066218
1429447987.11605,4181984.5456285,860760.577562827,4723072.65913785,-0.00608054902459288,-0.00598863983093037,-0.0228225389884814
1429447987.12708,4181984.54670775,860760.57738654,4723072.6607616,-0.00390247526004845,0.00324780822810864,0.0188933921055729
1429447987.15823,4181984.55026148,860760.577746721,4723072.66398236,0.0133856473015914,-0.0040053316889383,0.0176756261170773
1429447987.25434,4181984.54963329,860760.576797365,4723072.66404686,-0.00803225087385363,0.00643316336150233,-0.00490954529569679
1429447987.3593,4181984.54941805,860760.576814064,4723072.66194007,0.00059747458868879,-0.0125324507341567,-0.0170619242478217
1429447987.45554,4181984.54985111,860760.577383273,4723072.66280606,0.00470220597482647,0.00177607066861257,0.0100369201015267
1429447987.55356,4181984.54852516,860760.576317795,4723072.66285557,-0.00776295281091131,0.0115923125693737,-0.00973622452788758
1429447987.6548,4181984.55156561,860760.576758567,4723072.66489351,-0.00181233754083191,-0.00920342273234408,0.0356534875550691
1429447987.75303,4181984.5498022,860760.576970608,4723072.66273059,0.00563193159853956,-0.00191780132132406,-0.0273394230699232
1429447987.87316,4181984.5499633,860760.57671581,4723072.66390997,-0.00282044180510132,0.00708799919469163,0.00947843206066717
1429447988.09622,4181984.54997537,860760.576965487,4723072.66237715,0.00242117787252549,-0.0107037007610464,-0.0109899785320322
1429447988.10792,4181984.55035347,860760.5768589,4723072.66261465,-0.00180623784735114,-0.00100881036071337,0.00410220656713426
1429447988.15616,4181984.54511927,860760.575998012,4723072.66012163,-0.000464077603204864,0.01684981492638,-0.0269951175729726
1429447988.2547,4181984.54781275,860760.57722843,4723072.66076566,0.00662153086150827,-0.0171723306577741,0.0240748780747591
1429447988.35846,4181984.54688723,860760.576693295,4723072.66121786,-0.00337563915228136,0.0105690457980224,-0.0034123831156556
1429447988.45469,4181984.54650533,860760.57596444,4723072.65961389,-0.00636904833061335,-0.00684007782561856,-0.015415571835261
1429447988.55319,4181984.54558989,860760.575395797,4723072.66008039,-0.00372416760290406,0.0106414115513738,-0.00328530470151303
1429447988.6556,4181984.5458569,860760.575294272,4723072.66008134,-0.00153271575240934,-0.0017873387201199,0.00162491237929887
1429447988.75428,4181984.54856144,860760.577500192,4723072.66140424,0.0161540456793057,-0.0141804861639896,0.0305052184675274
1429447988.87455,4181984.54768409,860760.575935869,4723072.66176939,-0.0135533901468972,0.0111802054212737,-0.00513116250027347
1429447988.95883,4181984.54509045,860760.575458948,4723072.66184328,0.000557496244182702,0.0201110628644279,-0.0170652412019626
1429447989.15572,4181984.54583834,860760.575651126,4723072.6608578,0.000374560966121431,-0.0123230917012063,-0.0021799555922912
1429447989.16342,4181984.54657333,860760.577569389,4723072.65979693,0.00106063941356432,-0.00704425224598981,0.0199808444466739
1429447989.25564,4181984.54516637,860760.57623922,4723072.65929471,-0.0101922304876925,0.00889347147804003,-0.0147351936541689
1429447989.35781,4181984.54500468,860760.577071236,4723072.66016931,0.00847537210705058,0.00577374964321289,0.00656994429019738
1429447989.4558,4181984.5462584,860760.577179319,4723072.65943972,-0.0014688766730216,-0.0141735527128418,0.0029210864824516
1429447989.55326,4181984.54554189,860760.576880939,4723072.66161534,-0.00147805504640028,0.0202052597625561,0.0110975715141784
1429447989.65538,4181984.54352965,860760.577063191,4723072.65930835,0.00584181106906197,-0.00102220203197255,-0.0300839906856072
1429447989.75641,4181984.54602332,860760.577205105,4723072.66027393,-0.0036372534378311,-0.0119349326013634,0.0236897705199191
1429447989.88774,4181984.54322607,860760.576765346,4723072.6575146,0.00133196828132569,0.00260970099995366,-0.0394391157517262
1429447990.03959,4181984.5430105,860760.576703918,4723072.65887982,-0.000167090236819431,0.0107845482599738,0.0086755332396247
