gps_time,id,sv_id,pseudorange,carrier_phase,doppler_shift
1429448307.20214,GG02,2,23548876.1724062,0.036500798052657,-3086.66378259659
1429448307.30214,GG02,2,23548816.847026,-308.6101430665,-3086.70103549957
1429448307.40214,GG02,2,23548757.5792582,-617.251815614989,-3086.59859001637
1429448307.50214,GG02,2,23548698.4128067,-925.89539037412,-3085.84421873093
1429448307.60214,GG02,2,23548639.2186575,-1234.54288535565,-3087.02699840069
1429448307.70214,GG02,2,23548580.2587805,-1543.16382218059,-3085.38787066937
1429448307.80214,GG02,2,23548521.4644204,-1851.79524059407,-3086.7476016283
1429448307.90214,GG02,2,23548462.576426,-2160.42034679279,-3085.81627905369
1429448308.00214,GG02,2,23548403.7840737,-2469.04026017804,-3085.39718389511
1429448308.10213,GG02,2,23548345.1839109,-2777.66351721622,-3086.49614453316
1429448308.20214,GG02,2,23548286.5005964,-3086.2877200041,-3086.36575937271
1429448308.30213,GG02,2,23548227.7946886,-3394.9280658327,-3085.32267808914
1429448308.40213,GG02,2,23548169.1445995,-3703.56639146619,-3086.4030122757
1429448308.50213,GG02,2,23548110.550205,-4012.20250731334,-3086.15155518055
1429448308.60213,GG02,2,23548051.9028965,-4320.83583956957,-3086.51477098465
1429448308.70213,GG02,2,23547993.3614279,-4629.47168480046,-3085.89078485966
1429448308.80213,GG02,2,23547934.7982403,-4938.06734573469,-3085.26679873466
1429448308.90213,GG02,2,23547876.287914,-5246.68421643227,-3085.71383357048
1429448309.00213,GG02,2,23547817.5162929,-5555.28847581521,-3086.48683130741
1429448309.10213,GG02,2,23547759.0476188,-5863.90175550058,-3084.99671518803
1429448309.20213,GG02,2,23547700.5322572,-6172.51741792262,-3086.43095195293
1429448309.30213,GG02,2,23547641.9654924,-6481.08765759319,-3086.29125356674
1429448309.40213,GG02,2,23547583.6250897,-6789.67122509331,-3085.5555087328
1429448309.50213,GG02,2,23547525.2204636,-7098.26381068677,-3086.7476016283
1429448309.60213,GG02,2,23547466.6168511,-7406.86243593693,-3085.36924421787
1429448309.70213,GG02,2,23547408.0324601,-7715.4497965835,-3085.27611196041
1429448309.80213,GG02,2,23547349.4412938,-8024.04339140654,-3086.97111904621
1429448309.90213,GG02,2,23547290.9703196,-8332.61566931009,-3085.46237647533
1429448310.00213,GG02,2,23547232.3644552,-8641.21727749705,-3086.09567582607
1429448310.10213,GG02,2,23547173.6887609,-8949.79801406711,-3085.45306324959
1429448310.20213,GG02,2,23547114.9951921,-9258.36273789778,-3086.39369904995
1429448310.30213,GG02,2,23547056.3062639,-9566.95378674194,-3085.70452034473
1429448310.40213,GG02,2,23546997.5530273,-9875.52119447663,-3086.22606098652
1429448310.50213,GG02,2,23546938.8232709,-10184.0931933671,-3085.57413518429
1429448310.60213,GG02,2,23546880.068611,-10492.6402052417,-3085.39718389511
1429448310.70213,GG02,2,23546821.4443579,-10801.1908900738,-3086.31919324398
1429448310.80213,GG02,2,23546762.7962826,-11109.7525544539,-3084.60555970669
1429448310.90213,GG02,2,23546704.0275984,-11418.289384082,-3085.61138808727
1429448311.00213,GG02,2,23546645.3947784,-11726.8361626118,-3085.04328131676
1429448311.10213,GG02,2,23546586.5963737,-12035.404584378,-3085.74177324772
1429448311.20213,GG02,2,23546527.6694175,-12343.9541116282,-3084.64281260967
1429448311.30213,GG02,2,23546468.9166418,-12652.4821051881,-3085.96529066563
1429448311.40213,GG02,2,23546409.9278856,-12961.0135659501,-3084.89426970482
1429448311.50213,GG02,2,23546350.8731131,-13269.5647001565,-3085.52756905556
1429448311.60213,GG02,2,23546291.9482963,-13578.083297044,-3084.2050909996
1429448311.70213,GG02,2,23546232.9887581,-13886.5963399261,-3084.64281260967
1429448311.80213,GG02,2,23546173.9889183,-14195.1145763621,-3084.9315226078
1429448311.90213,GG02,2,23546115.2782798,-14503.6309622452,-3085.87215840816
1429448312.00213,GG02,2,23546056.4154919,-14812.1516619921,-3085.20160615444
1429448312.10213,GG02,2,23545997.8957543,-15120.6662561223,-3085.26679873466
1429448312.20213,GG02,2,23545939.1001902,-15429.1879181564,-3084.17715132236
1429448312.30213,GG02,2,23545880.0566415,-15737.7126424387,-3084.41929519176
1429448312.40213,GG02,2,23545821.3100966,-16046.2225095034,-3085.15504002571
1429448312.50213,GG02,2,23545762.6111181,-16354.7473613843,-3085.90941131115
1429448312.60213,GG02,2,23545703.9457903,-16663.2487270758,-3085.61138808727
1429448312.70213,GG02,2,23545645.0986118,-16971.7585781291,-3085.90941131115
1429448312.80213,GG02,2,23545586.3832775,-17280.2481496856,-3085.5555087328
1429448312.90213,GG02,2,23545527.5368889,-17588.7461378798,-3084.68006551266
1429448313.00213,GG02,2,23545468.7084992,-17897.2704553381,-3085.08053421974
1429448313.10213,GG02,2,23545409.9271263,-18205.7751849517,-3084.67075228691
1429448313.20213,GG02,2,23545351.3655328,-18514.2768757939,-3084.60555970669
1429448313.30213,GG02,2,23545292.6828359,-18822.7706062272,-3084.83839035034
1429448313.40213,GG02,2,23545233.9951525,-19131.2896402925,-3085.15504002571
1429448313.50213,GG02,2,23545175.5245239,-19439.7951856852,-3084.36341583729
1429448313.60213,GG02,2,23545116.5244456,-19748.2984095514,-3084.4658613205
1429448313.70213,GG02,2,23545057.8671295,-20056.7824615315,-3085.1922929287
1429448313.80213,GG02,2,23544998.999707,-20365.2755927518,-3084.39135551453
1429448313.90213,GG02,2,23544940.427091,-20673.749783583,-3084.87564325333
1429448314.00213,GG02,2,23544881.4880712,-20982.2444402874,-3084.12127196789
1429448314.10213,GG02,2,23544822.7223307,-21290.7387131751,-3084.36341583729
1429448314.20213,GG02,2,23544763.9577852,-21599.2217962295,-3085.08053421974
