gps_time,roll,pitch,yaw
1429448307.23263,0,-3.276001,12.44434
1429448307.2447,0,-3.288574,12.42577
1429448307.30532,0,-3.409454,12.39754
1429448307.39843,0,-3.476929,12.46117
1429448307.50336,0,-3.467651,12.48434
1429448307.60213,0,-3.373016,12.47558
1429448307.69818,0,-3.30545,12.51757
1429448307.80061,0,-3.455109,12.491
1429448307.9003,0,-3.435852,12.47985
1429448308.02055,0,-3.292755,12.50618
1429448308.20304,0,-3.31897,12.51143
1429448308.21299,0,-3.414215,12.48063
1429448308.3058,0,-3.309906,12.50383
1429448308.40133,0,-3.31955,12.42306
1429448308.5043,0,-3.086914,12.49164
1429448308.59982,0,-3.214142,12.45013
1429448308.69776,0,-3.195831,12.43541
1429448308.79995,0,-3.205017,12.44763
1429448308.89894,0,-3.202362,12.45227
1429448309.02085,0,-3.249695,12.44339
1429448309.20414,0,-3.24649,12.42829
1429448309.21235,0,-3.216187,12.44059
1429448309.3036,0,-3.221924,12.46588
1429448309.40049,0,-3.332733,12.4194
1429448309.50801,0,-3.188507,12.44851
1429448309.60217,0,-3.297455,12.41697
1429448309.69779,0,-3.385132,12.43444
1429448309.79778,0,-3.314819,12.36839
1429448309.89772,0,-3.374664,12.4229
1429448310.02753,0,-3.266113,12.44016
1429448310.21163,0,-3.160583,12.40282
1429448310.22076,0,-3.302582,12.45521
1429448310.3023,0,-3.376923,12.45399
1429448310.39926,0,-3.244934,12.53005
1429448310.50083,0,-3.472473,12.51745
1429448310.60205,0,-3.60553,12.61809
1429448310.69912,0,-3.816132,12.70961
1429448310.80015,0,-3.644531,12.77959
1429448310.89791,0,-3.290649,12.43053
1429448311.01979,0,-3.339386,12.54268
1429448311.21667,0,-3.926849,12.34108
1429448311.22417,0,-3.820709,12.38447
1429448311.30272,0,-3.378418,12.56425
1429448311.40251,0,-3.539703,12.15306
1429448311.50374,0,-3.701202,12.2155
1429448311.60214,0,-4.035126,12.28555
1429448311.6977,0,-3.424255,12.59552
1429448311.79934,0,-3.455353,12.49463
1429448311.90076,0,-3.839172,11.91488
1429448312.01776,0,-3.324829,12.59551
1429448312.27839,0,-3.577057,12.48702
1429448312.29809,0,-3.823029,12.31208
1429448312.3076,0,-3.053406,12.3972
1429448312.40045,0,-3.620453,12.38975
1429448312.50575,0,-3.447601,12.44611
1429448312.59945,0,-3.949402,12.32946
1429448312.70242,0,-3.565674,12.37495
1429448312.79958,0,-3.384216,12.14784
1429448312.89877,0,-3.316437,12.64181
1429448313.02113,0,-3.108063,12.27893
1429448313.29959,0,-2.694366,12.36444
1429448313.31251,0,-3.93335,12.17181
1429448313.32275,0,-3.480438,12.24305
1429448313.39935,0,-3.802917,12.33208
1429448313.50062,0,-3.32663,12.22948
1429448313.59972,0,-3.555817,11.98928
1429448313.69879,0,-3.598022,12.22831
1429448313.7998,0,-3.667114,11.8033
1429448313.89855,0,-3.545837,12.39287
1429448314.01979,0,-3.624786,12.09488
1429448314.22845,0,-3.627594,12.13226
1429448314.23582,0,-3.893555,11.86715
1429448314.30363,0,-3.264313,11.93738
1429448314.39868,0,-3.226837,11.87731
1429448314.50272,0,-3.776154,12.14102
1429448314.60017,0,-3.877777,12.072
1429448314.6986,0,-4.121368,11.86367
1429448314.80076,0,-3.754059,11.98729
1429448314.89709,0,-3.788055,11.97049
1429448315.02074,0,-3.770691,11.67841
1429448315.25785,0,-3.552368,11.85691
1429448315.26603,0,-3.298889,12.11924
1429448315.30484,0,-3.411224,11.82176
1429448315.39995,0,-3.677887,11.77429
1429448315.50176,0,-4.054321,11.71361
1429448315.59914,0,-3.742462,11.68337
1429448315.69716,0,-3.209442,11.58096
1429448315.79878,0,-3.56308,11.59296
1429448315.89926,0,-3.881165,11.35203
1429448316.02253,0,-3.461243,11.32315
1429448316.238,0,-3.08252,10.94172
1429448316.25272,0,-3.55011,10.76082
1429448316.30372,0,-3.067383,10.63372
1429448316.39913,0,-3.467987,10.16263
1429448316.50262,0,-2.807556,10.10905
1429448316.60043,0,-3.935669,9.546886
1429448316.69645,0,-2.949097,9.355731
1429448316.80363,0,-3.277802,8.634047
1429448316.89815,0,-2.736023,8.184497
1429448317.02204,0,-3.632996,7.355774
1429448317.20454,0,-3.049866,6.794169
1429448317.21647,0,-3.692902,5.842543
1429448317.2968,0,-3.338623,5.165941
1429448317.40172,0,-2.874481,4.249976
1429448317.50324,0,-3.289764,3.29495
1429448317.60021,0,-2.900879,2.399328
1429448317.6961,0,-3.037079,1.387629
1429448317.79962,0,-3.452209,0.3192397
1429448317.90143,0,-3.111938,359.3641
1429448318.02066,0,-3.416077,358.3195
1429448318.16699,0,-3.66629,357.0052
1429448318.20952,0,-3.017944,355.8906
1429448318.29956,0,-3.596863,354.8822
1429448318.40164,0,-3.031342,353.7794
1429448318.50251,0,-4.014221,352.6996
1429448318.59919,0,-3.418671,351.4547
1429448318.69869,0,-3.056732,350.3168
1429448318.79934,0,-3.350525,349.2576
1429448318.89729,0,-3.034393,347.8712
1429448319.01975,0,-2.725067,346.9327
1429448319.21158,0,-2.952911,345.7529
1429448319.22537,0,-2.991455,344.5738
1429448319.29993,0,-2.966736,343.3623
1429448319.3993,0,-3.256653,342.4526
1429448319.50133,0,-3.056,341.454
1429448319.59988,0,-2.977478,340.1576
1429448319.697,0,-2.589111,339.0151
1429448319.79872,0,-3.105652,337.7453
1429448319.89647,0,-2.899261,336.7173
1429448320.03456,0,-2.800934,335.5365
1429448320.29968,0,-3.051147,334.4864
1429448320.30614,0,-3.652588,333.2774
1429448320.31304,0,-3.388855,332.0296
1429448320.401,0,-3.244019,331.0679
1429448320.50186,0,-3.550781,329.9043
1429448320.59815,0,-2.660278,328.7704
1429448320.69656,0,-3.062622,327.6587
1429448320.80102,0,-2.619965,326.7038
1429448320.89863,0,-3.353363,325.6798
1429448321.02547,0,-3.336578,324.4185
1429448321.21632,0,-3.677856,323.4434
1429448321.22343,0,-3.030273,322.3383
1429448321.29794,0,-2.806793,321.2108
1429448321.39821,0,-3.498596,320.035
1429448321.50064,0,-3.186066,318.8271
1429448321.5999,0,-3.755402,317.8612
1429448321.69743,0,-2.930298,316.8629
1429448321.79989,0,-2.658905,315.8831
1429448321.90147,0,-3.430542,314.7204
1429448322.02023,0,-2.820862,313.4512
1429448322.23592,0,-3.06842,312.6504
1429448322.24436,0,-3.178101,311.1877
1429448322.29739,0,-2.908508,310.025
1429448322.39836,0,-2.084137,308.91
1429448322.50135,0,-2.679108,308.0109
1429448322.6007,0,-2.108398,307.0466
1429448322.699,0,-2.627441,305.6636
1429448322.79851,0,-2.072388,304.6959
1429448322.89738,0,-2.778351,303.466
1429448323.03062,0,-2.369232,302.2127
1429448323.21557,0,-2.456543,301.1339
1429448323.22661,0,-2.620514,299.874
1429448323.29906,0,-3.053436,298.7116
1429448323.40109,0,-3.006897,297.6803
1429448323.5007,0,-3.273254,296.6895
1429448323.60172,0,-3.972748,295.3534
1429448323.69801,0,-3.651215,294.0889
1429448323.79787,0,-2.493073,292.756
1429448323.89693,0,-3.481842,291.3121
1429448324.01955,0,-2.656464,290.7306
1429448324.26755,0,-3.404816,289.4033
1429448324.27381,0,-2.950592,287.944
1429448324.29834,0,-3.487335,285.9983
1429448324.3991,0,-3.535614,284.8005
1429448324.50231,0,-3.729187,283.2855
1429448324.59815,0,-3.719788,281.8651
1429448324.69887,0,-2.91687,280.9566
1429448324.79931,0,-2.849976,279.3993
1429448324.89574,0,-2.98407,278.154
1429448325.02358,0,-3.411957,276.1986
1429448325.21722,0,-3.189636,274.9513
1429448325.23427,0,-2.89267,273.4276
1429448325.29674,0,-2.435303,272.1645
1429448325.40134,0,-3.096802,270.3415
1429448325.50217,0,-3.162231,268.9624
1429448325.60296,0,-3.305481,267.3806
1429448325.69665,0,-2.954071,265.7945
1429448325.79935,0,-2.982788,264.3607
1429448325.8976,0,-2.63797,262.5525
1429448326.02243,0,-2.486145,261.5999
1429448326.24836,0,-2.751099,259.3001
1429448326.2605,0,-2.411957,258.0457
1429448326.29744,0,-2.811951,256.1943
1429448326.39904,0,-2.40509,254.8947
1429448326.50272,0,-2.463623,253.0343
1429448326.60149,0,-2.826324,251.8251
1429448326.69947,0,-2.865326,250.0255
1429448326.79833,0,-3.343933,248.7093
1429448326.89663,0,-3.458282,247.3835
1429448327.02079,0,-3.076294,245.4608
1429448327.24998,0,-3.373474,244.1442
1429448327.25533,0,-3.148041,242.1017
1429448327.30644,0,-2.83316,240.9661
1429448327.40078,0,-4.237732,239.5057
1429448327.50274,0,-3.929291,238.017
1429448327.60352,0,-3.721313,236.6653
1429448327.69822,0,-4.8078,234.5558
1429448327.79767,0,-3.45816,233.0528
1429448327.89776,0,-4.166321,231.7443
1429448328.01841,0,-3.88974,230.6143
1429448328.25338,0,-3.210571,228.6825
1429448328.26743,0,-4.104431,227.2206
1429448328.29948,0,-4.188477,225.4773
1429448328.39888,0,-3.898956,224.0504
1429448328.50062,0,-3.721924,222.8139
1429448328.59828,0,-4.189301,220.6499
1429448328.69972,0,-3.576294,219.5779
1429448328.79792,0,-4.156097,218.1678
1429448328.89536,0,-3.612213,216.2221
1429448329.02491,0,-4.320862,214.8959
1429448329.23219,0,-2.820648,213.8512
