gps_time,x,y,z,vE,vN,vU
1429448307.30162,4181984.00182958,860765.865735216,4723072.16307337,-0.0047736503214045,-0.0033151655051172,-0.0036129946769955
1429448307.39928,4181984.00182174,860765.865735973,4723072.16351349,2.32251914781447e-05,0.0029966363013386,0.0032122408068701
1429448307.50088,4181984.0020728,860765.866339304,4723072.16301449,0.0054033087001896,-0.0060686706395201,-0.0012448367130294
1429448307.60024,4181984.00436796,860765.867195883,4723072.1651699,0.0037627757381599,-0.0036108803360492,0.0322257233856619
1429448307.69711,4181984.00132715,860765.866489158,4723072.16391572,-0.0007917272766845,0.0148415452598887,-0.0301974732786925
1429448307.7985,4181984.00133209,860765.866616288,4723072.16360947,0.0012352608215427,-0.002272843657295,-0.002065983456412
1429448307.8967,4181984.00250341,860765.866909618,4723072.16425125,0.0005116214161247,-0.0046884785215716,0.0128259779625046
1429448308.02097,4181984.00221592,860765.867270834,4723072.16364694,0.0041176215119359,-0.0024842504401045,-0.005880825410236
1429448308.20466,4181984.00082646,860765.866693309,4723072.1621675,-0.0028554701659763,0.0011079822786235,-0.0208931835268092
1429448308.21103,4181983.9973514,860765.868345721,4723072.16048032,0.0062361204235487,0.0036190619140973,0.010760365583739
1429448308.30758,4181983.99636296,860765.867740199,4723072.15875896,-0.0039381636304274,-0.0033889634556028,-0.0200780143731765
1429448308.39828,4181983.99821587,860765.868642942,4723072.1611862,0.0051065305952588,0.0013591365304649,0.0313817332707974
1429448308.50228,4181983.99579038,860765.866729545,4723072.16009771,-0.0138512701961005,0.0132742635465276,-0.026542784381974
1429448308.60024,4181983.9981213,860765.867047673,4723072.16087986,-0.0015833043960832,-0.0122387537087218,0.0215012469766613
1429448308.69855,4181983.99656301,860765.867166927,4723072.16096409,0.0043096771653152,0.0117403516372911,-0.0094097613706977
1429448308.79797,4181983.99714707,860765.866819898,4723072.16036492,-0.0045765548764581,-0.007739061573474,-0.0011037854609209
1429448308.89696,4181983.99652417,860765.867367763,4723072.15873308,0.0066220090134639,-0.0071849718579772,-0.0154800758513807
1429448309.02153,4181983.99651423,860765.866761871,4723072.16043188,-0.0059145256255794,0.0123313633062153,0.0117591334191567
1429448309.20504,4181983.99678662,860765.867150816,4723072.16008952,0.0032604504696079,-0.0048560077576989,-0.0002411963516038
1429448309.21041,4181983.99536235,860765.866877172,4723072.15855011,-0.0090325454561106,0.0092436337079806,-0.0009588732818987
1429448309.30083,4181983.99559643,860765.867310308,4723072.15918254,0.0037705234411145,0.0018697453215005,0.0068152210556562
1429448309.39856,4181983.99826888,860765.868010227,4723072.16146051,0.0014676834801986,-0.0053066405583062,0.0353882725363351
1429448309.50606,4181983.99528279,860765.867505718,4723072.15875801,0.0010786229159463,0.0044628272062237,-0.040346992756969
1429448309.60014,4181983.99609237,860765.867767528,4723072.15896586,0.0009322082154449,-0.0049040443796891,0.0072154698135975
1429448309.69556,4181983.9977256,860765.867042321,4723072.1598744,-0.0103959108597007,-0.0047446555672939,0.0164710178796036
1429448309.79821,4181983.99891255,860765.867727535,4723072.15659946,0.0043185158576345,-0.0315588339316257,-0.0156773005210177
1429448309.8958,4181983.99890283,860765.866458455,4723072.15364862,-0.0124107122277247,-0.0177407459918282,-0.0237286226323891
1429448310.0289,4181984.00033389,860765.865977855,4723072.15472134,-0.0075924703250906,-0.0025412956623071,0.0167099718062252
1429448310.21078,4181984.00468121,860765.866893619,4723072.14947531,0.0002052009369142,-0.0681060998393835,-0.0093624996211066
1429448310.2188,4181984.01255864,860765.865600413,4723072.14538502,-0.028548036799802,-0.0827976369351434,0.019373936371288
1429448310.29981,4181984.02045177,860765.86328089,4723072.13098835,-0.036382739720744,-0.125529269308392,-0.0114009868425179
1429448310.39759,4181984.03501808,860765.86110771,4723072.11945815,-0.050652377143324,-0.179932710698812,0.0066036371700922
1429448310.5013,4181984.05624801,860765.859617506,4723072.10506035,-0.0573971000527618,-0.248679620820101,0.0297932967046289
1429448310.59942,4181984.07739968,860765.857933744,4723072.08618562,-0.0591351483190901,-0.277730269485451,-0.0042897454721057
1429448310.69655,4181984.1026665,860765.856574714,4723072.06604013,-0.0642509201430776,-0.316698245144796,0.0136219755455297
1429448310.79735,4181984.13757698,860765.856070214,4723072.03944235,-0.0753232572789589,-0.431370435265778,0.0298716010276446
1429448310.89886,4181984.17103304,860765.853323588,4723072.00392953,-0.0943521140854185,-0.476971353857384,-0.0489978818512893
1429448311.02033,4181984.20790713,860765.845229516,4723071.96459366,-0.153619895848116,-0.519402361465546,-0.0622785139036832
1429448311.21869,4181984.25762179,860765.842440777,4723071.92625368,-0.127542994647094,-0.614286685633407,0.0363056175139215
1429448311.22561,4181984.31054131,860765.839985274,4723071.88302783,-0.130740229599515,-0.670786564045854,0.0213741511996647
1429448311.30457,4181984.36933626,860765.835292771,4723071.83563907,-0.171306917533715,-0.750781428637162,-0.0282210741099649
1429448311.40395,4181984.42929508,860765.828041084,4723071.7844186,-0.191909300903395,-0.768307119828741,0.0014954067691306
1429448311.50146,4181984.50360225,860765.822071476,4723071.72403226,-0.20827888003641,-0.936037900684485,0.0289168446482919
1429448311.60259,4181984.58201195,860765.816658241,4723071.6610779,-0.211100324730799,-0.983928429164692,0.0374077837797072
1429448311.69814,4181984.65954574,860765.803254276,4723071.58964452,-0.287601547011285,-1.02220890058301,-0.0421757655020591
1429448311.80003,4181984.75138887,860765.799111137,4723071.51281516,-0.225742754266823,-1.17643634570025,0.0237880013200094
1429448311.89869,4181984.85340108,860765.792866939,4723071.42489804,-0.266823611005019,-1.32147503251361,0.0050262380366884
1429448312.01824,4181984.9569115,860765.776811647,4723071.33387024,-0.365941176537479,-1.33845964872679,-0.0215480567222825
1429448312.27343,4181985.0747088,860765.770772099,4723071.23519747,-0.296642885343865,-1.50868183249153,0.0285536986479393
1429448312.29887,4181985.19609418,860765.76446395,4723071.12758817,-0.306507582072376,-1.5941354443568,-0.014820187868813
1429448312.308,4181985.33237858,860765.763125845,4723071.01480755,-0.347383456578732,-1.6891358130732,0.0190022102978201
1429448312.40186,4181985.45642,860765.74785386,4723070.90020734,-0.39966075187141,-1.64675379506632,-0.0615291473587761
1429448312.50616,4181985.59428471,860765.742556931,4723070.78218879,-0.329826338636854,-1.78529723699036,0.0169324179970889
1429448312.5999,4181985.73172158,860765.729200173,4723070.68847011,-0.407907706443612,-1.60773558549887,0.184080344996602
