gps_time,roll,pitch,yaw
1429364549.24481,0,-4.91449,239.9203
1429364549.3,0,-4.609985,238.174
1429364549.40178,0,-4.66098,235.7654
1429364549.50473,0,-4.743469,233.6795
1429364549.60175,0,-4.024933,231.4754
1429364549.69923,0,-4.159149,229.4833
1429364549.80257,0,-3.760742,226.6039
1429364549.90199,0,-5.644867,224.8522
1429364550.04267,0,-4.065948,222.2023
1429364550.22976,0,-4.823822,220.4412
1429364550.24287,0,-5.158386,217.846
1429364550.30047,0,-3.582764,216.2576
1429364550.40093,0,-5.669342,213.5231
1429364550.50539,0,-4.288177,212.4449
1429364550.60231,0,-4.673645,210.3244
1429364550.69982,0,-5.379364,208.5457
1429364550.80289,0,-4.033691,206.9105
1429364550.89942,0,-5.027435,205.3419
1429364551.03465,0,-4.29837,204.5407
1429364551.2247,0,-3.467773,202.6207
1429364551.233,0,-3.996246,201.2693
1429364551.3004,0,-4.147797,200.2524
1429364551.40208,0,-4.177094,199.686
1429364551.50328,0,-2.641418,198.6759
1429364551.60253,0,-4.494293,197.6297
1429364551.69993,0,-3.769226,197.0669
1429364551.80135,0,-3.009399,196.5331
1429364551.89948,0,-3.018463,195.8083
1429364552.0321,0,-3.569611,195.2815
1429364552.22451,0,-3.835663,195.1317
1429364552.23162,0,-3.411499,194.9882
1429364552.29935,0,-3.078217,194.8684
1429364552.40469,0,-2.536133,194.2512
1429364552.50586,0,-3.06543,194.3645
1429364552.60338,0,-3.238525,194.2644
1429364552.70018,0,-2.953918,194.2662
1429364552.80484,0,-2.602295,194.0193
1429364552.90148,0,-3.190002,193.8868
1429364553.03417,0,-2.842499,194.1926
1429364553.231,0,-2.85434,193.7619
1429364553.2436,0,-3.703613,193.6591
1429364553.30139,0,-2.420288,193.4781
1429364553.403,0,-2.817352,193.5096
1429364553.50396,0,-3.18512,193.0553
1429364553.60296,0,-2.425323,193.2202
1429364553.70184,0,-2.525848,192.9445
1429364553.80619,0,-2.842834,193.0388
1429364553.90102,0,-1.870636,193.2516
1429364554.0322,0,-2.312622,193.0948
1429364554.18135,0,-3.228241,192.7796
1429364554.21086,0,-3.039795,192.6978
1429364554.29999,0,-3.12851,193.0344
1429364554.40279,0,-3.375092,192.6794
1429364554.50493,0,-2.513367,192.7712
1429364554.60114,0,-2.837555,192.8388
1429364554.7007,0,-2.590668,192.6442
