Time Stamp,GPS-001 L1,GPS-002 L1,GPS-003 L1,GPS-004 L1,GPS-005 L1,GPS-006 L1,GPS-007 L1,GPS-008 L1,GPS-009 L1,GPS-010 L1,GPS-011 L1,GPS-012 L1,GPS-013 L1,GPS-014 L1,GPS-015 L1,GPS-016 L1,GPS-017 L1,GPS-018 L1,GPS-019 L1,GPS-020 L1,GPS-021 L1,GPS-022 L1,GPS-023 L1,GPS-024 L1,GPS-025 L1,GPS-026 L1,GPS-027 L1,GPS-028 L1,GPS-029 L1,GPS-030 L1
  1429365601.000,,,    24466485.028,,,,,,    24282343.950,,,,,    20692432.400,    24879102.977,,,    21953136.230,    21607185.917,,,    23698068.868,    20732542.111,,,,    21297659.399,    24136664.237,,
  1429365602.000,,,    24466168.151,,,,,,    24282419.923,,,,,    20692470.785,    24879877.410,,,    21952648.288,    21607598.460,,,    23697504.827,    20732764.681,,,,    21297293.047,    24137235.053,,
  1429365603.000,,,    24465851.147,,,,,,    24282496.257,,,,,    20692509.429,    24880651.704,,,    21952160.576,    21608010.881,,,    23696941.009,    20732987.262,,,,    21296926.674,    24137805.825,,
  1429365604.000,,,    24465534.037,,,,,,    24282572.964,,,,,    20692548.321,    24881425.828,,,    21951673.098,    21608423.181,,,    23696377.391,    20733209.864,,,,    21296560.265,    24138376.583,,
  1429365605.000,,,    24465216.847,,,,,,    24282650.053,,,,,    20692587.450,    24882199.760,,,    21951185.855,    21608835.363,,,    23695813.948,    20733432.498,,,,    21296193.811,    24138947.360,,
  1429365606.000,,,    24464899.602,,,,,,    24282727.526,,,,,    20692626.801,    24882973.476,,,    21950698.841,    21609247.437,,,    23695250.650,    20733655.175,,,,    21295827.301,    24139518.190,,
  1429365607.000,,,    24464582.334,,,,,,    24282805.381,,,,,    20692666.360,    24883746.959,,,    21950212.052,    21609659.412,,,    23694687.467,    20733877.906,,,,    21295460.732,    24140089.106,,
  1429365608.000,,,    24464265.076,,,,,,    24282883.614,,,,,    20692706.109,    24884520.195,,,    21949725.475,    21610071.302,,,    23694124.368,    20734100.704,,,,    21295094.099,    24140660.143,,
  1429365609.000,,,    24463947.859,,,,,,    24282962.214,,,,,    20692746.032,    24885293.175,,,    21949239.099,    21610483.124,,,    23693561.319,    20734323.580,,,,    21294727.404,    24141231.332,,
  1429365610.000,,,    24463630.721,,,,,,    24283041.165,,,,,    20692786.109,    24886065.895,,,    21948752.908,    21610894.896,,,    23692998.287,    20734546.548,,,,    21294360.649,    24141802.705,,
  1429365611.000,,,    24463313.695,,,,,,    24283120.449,,,,,    20692826.323,    24886838.354,,,    21948266.883,    21611306.639,,,    23692435.241,    20734769.618,,,,    21293993.842,    24142374.290,,
  1429365612.000,,,    24462996.816,,,,,,    24283200.043,,,,,    20692866.654,    24887610.557,,,    21947781.003,    21611718.376,,,    23691872.147,    20734992.803,,,,    21293626.992,    24142946.115,,
  1429365613.000,,,    24462680.118,,,,,,    24283279.921,,,,,    20692907.085,    24888382.514,,,    21947295.245,    21612130.130,,,    23691308.977,    20735216.111,,,,    21293260.111,    24143518.201,,
  1429365614.000,,,    24462363.633,,,,,,    24283360.055,,,,,    20692947.598,    24889154.239,,,    21946809.586,    21612541.925,,,    23690745.700,    20735439.553,,,,    21292893.213,    24144090.569,,
  1429365615.000,,,    24462047.391,,,,,,    24283440.414,,,,,    20692988.177,    24889925.750,,,    21946324.001,    21612953.788,,,    23690182.293,    20735663.137,,,,    21292526.316,    24144663.234,,
  1429365616.000,,,    24461731.421,,,,,,    24283520.963,,,,,    20693028.806,    24890697.068,,,    21945838.464,    21613365.743,,,    23689618.731,    20735886.870,,,,    21292159.437,    24145236.209,,
  1429365617.000,,,    24461415.746,,,,,,    24283601.671,,,,,    20693069.471,    24891468.218,,,    21945352.950,    21613777.814,,,    23689054.996,    20736110.758,,,,    21291792.598,    24145809.500,,
  1429365618.000,,,    24461100.386,,,,,,    24283682.501,,,,,    20693110.162,    24892239.230,,,    21944867.432,    21614190.025,,,    23688491.071,    20736334.805,,,,    21291425.820,    24146383.110,,
  1429365619.000,,,    24460785.360,,,,,,    24283763.418,,,,,    20693150.868,    24893010.134,,,    21944381.887,    21614602.400,,,    23687926.946,    20736559.015,,,,    21291059.125,    24146957.038,,
  1429365620.000,,,    24460470.679,,,,,,    24283844.390,,,,,    20693191.580,    24893780.964,,,    21943896.290,    21615014.958,,,    23687362.612,    20736783.386,,,,    21290692.537,    24147531.278,,
  1429365621.000,,,    24460156.351,,,,,,    24283925.383,,,,,    20693232.295,    24894551.752,,,    21943410.621,    21615427.718,,,    23686798.066,    20737007.921,,,,    21290326.077,    24148105.819,,
  1429365622.000,,,    24459842.380,,,,,,    24284006.365,,,,,    20693273.009,    24895322.535,,,    21942924.860,    21615840.696,,,    23686233.309,    20737232.615,,,,    21289959.769,    24148680.646,,
  1429365623.000,,,    24459528.766,,,,,,    24284087.309,,,,,    20693313.721,    24896093.347,,,    21942438.989,    21616253.906,,,    23685668.347,    20737457.466,,,,    21289593.635,    24149255.741,,
  1429365624.000,,,    24459215.501,,,,,,    24284168.189,,,,,    20693354.434,    24896864.225,,,    21941952.993,    21616667.359,,,    23685103.190,    20737682.468,,,,    21289227.694,    24149831.081,,
  1429365625.000,,,    24458902.577,,,,,,    24284248.981,,,,,    20693395.151,    24897635.200,,,    21941466.862,    21617081.061,,,    23684537.852,    20737907.614,,,,    21288861.967,    24150406.641,,
  1429365626.000,,,    24458589.977,,,,,,    24284329.668,,,,,    20693435.881,    24898406.305,,,    21940980.586,    21617495.018,,,    23683972.350,    20738132.897,,,,    21288496.470,    24150982.393,,
  1429365627.000,,,    24458277.684,,,,,,    24284410.235,,,,,    20693476.630,    24899177.570,,,    21940494.159,    21617909.230,,,    23683406.705,    20738358.306,,,,    21288131.218,    24151558.306,,
  1429365628.000,,,    24457965.675,,,,,,    24284490.671,,,,,    20693517.412,    24899949.022,,,    21940007.581,    21618323.694,,,    23682840.943,    20738583.833,,,,    21287766.225,    24152134.348,,
  1429365629.000,,,    24457653.923,,,,,,    24284570.972,,,,,    20693558.239,    24900720.684,,,    21939520.853,    21618738.405,,,    23682275.090,    20738809.466,,,,    21287401.500,    24152710.486,,
  1429365630.000,,,    24457342.401,,,,,,    24284651.134,,,,,    20693599.125,    24901492.577,,,    21939033.979,    21619153.354,,,    23681709.176,    20739035.193,,,,    21287037.051,    24153286.686,,
  1429365631.000,,,    24457031.077,,,,,,    24284731.163,,,,,    20693640.087,    24902264.717,,,    21938546.969,    21619568.528,,,    23681143.231,    20739261.002,,,,    21286672.881,    24153862.913,,
