Time Stamp,GPS-001 L1,GPS-002 L1,GPS-003 L1,GPS-004 L1,GPS-005 L1,GPS-006 L1,GPS-007 L1,GPS-008 L1,GPS-009 L1,GPS-010 L1,GPS-011 L1,GPS-012 L1,GPS-013 L1,GPS-014 L1,GPS-015 L1,GPS-016 L1,GPS-017 L1,GPS-018 L1,GPS-019 L1,GPS-020 L1,GPS-021 L1,GPS-022 L1,GPS-023 L1,GPS-024 L1,GPS-025 L1,GPS-026 L1,GPS-027 L1,GPS-028 L1,GPS-029 L1,GPS-030 L1
  1429365601.000,,,   128572174.964,,,,,,   127604642.352,,,,,   108739497.564,   130740534.242,,,   115364558.309,   113546467.605,,,   124534251.143,   108950216.553,,,,   111919915.945,   126838982.973,,
  1429365602.000,,,   128570514.772,,,,,,   127605046.472,,,,,   108739696.929,   130744594.796,,,   115361996.160,   113548634.870,,,   124531281.207,   108951388.734,,,,   111917985.960,   126841991.364,,
  1429365603.000,,,   128568855.077,,,,,,   127605451.241,,,,,   108739897.016,   130748655.371,,,   115359434.227,   113550802.484,,,   124528311.459,   108952561.288,,,,   111916056.548,   126845000.098,,
  1429365604.000,,,   128567195.877,,,,,,   127605856.660,,,,,   108740097.825,   130752715.964,,,   115356872.508,   113552970.445,,,   124525341.897,   108953734.216,,,,   111914127.708,   126848009.174,,
  1429365605.000,,,   128565537.172,,,,,,   127606262.728,,,,,   108740299.357,   130756776.576,,,   115354311.004,   113555138.754,,,   124522372.523,   108954907.518,,,,   111912199.441,   126851018.592,,
  1429365606.000,,,   128563878.963,,,,,,   127606669.445,,,,,   108740501.610,   130760837.208,,,   115351749.715,   113557307.410,,,   124519403.337,   108956081.193,,,,   111910271.746,   126854028.353,,
  1429365607.000,,,   128562221.249,,,,,,   127607076.812,,,,,   108740704.587,   130764897.859,,,   115349188.641,   113559476.414,,,   124516434.338,   108957255.242,,,,   111908344.624,   126857038.455,,
  1429365608.000,,,   128560564.032,,,,,,   127607484.828,,,,,   108740908.285,   130768958.531,,,   115346627.782,   113561645.766,,,   124513465.527,   108958429.665,,,,   111906418.075,   126860048.900,,
  1429365609.000,,,   128558907.311,,,,,,   127607893.493,,,,,   108741112.706,   130773019.220,,,   115344067.139,   113563815.465,,,   124510496.903,   108959604.460,,,,   111904492.099,   126863059.686,,
  1429365610.000,,,   128557251.085,,,,,,   127608302.808,,,,,   108741317.849,   130777079.928,,,   115341506.710,   113565985.513,,,   124507528.467,   108960779.629,,,,   111902566.695,   126866070.814,,
  1429365611.000,,,   128555595.357,,,,,,   127608712.772,,,,,   108741523.715,   130781140.655,,,   115338946.497,   113568155.907,,,   124504560.219,   108961955.172,,,,   111900641.864,   126869082.284,,
  1429365612.000,,,   128553940.123,,,,,,   127609123.385,,,,,   108741730.303,   130785201.401,,,   115336386.499,   113570326.649,,,   124501592.159,   108963131.088,,,,   111898717.606,   126872094.096,,
  1429365613.000,,,   128552285.387,,,,,,   127609534.647,,,,,   108741937.613,   130789262.166,,,   115333826.717,   113572497.739,,,   124498624.286,   108964307.377,,,,   111896793.922,   126875106.248,,
  1429365614.000,,,   128550631.147,,,,,,   127609946.559,,,,,   108742145.646,   130793322.949,,,   115331267.150,   113574669.177,,,   124495656.600,   108965484.039,,,,   111894870.811,   126878118.743,,
  1429365615.000,,,   128548977.403,,,,,,   127610359.119,,,,,   108742354.401,   130797383.751,,,   115328707.798,   113576840.962,,,   124492689.103,   108966661.074,,,,   111892948.272,   126881131.578,,
  1429365616.000,,,   128547324.157,,,,,,   127610772.328,,,,,   108742563.878,   130801444.571,,,   115326148.663,   113579013.094,,,   124489721.793,   108967838.483,,,,   111891026.307,   126884144.755,,
  1429365617.000,,,   128545671.406,,,,,,   127611186.187,,,,,   108742774.078,   130805505.409,,,   115323589.743,   113581185.574,,,   124486754.672,   108969016.264,,,,   111889104.916,   126887158.272,,
  1429365618.000,,,   128544019.153,,,,,,   127611600.694,,,,,   108742985.000,   130809566.265,,,   115321031.038,   113583358.401,,,   124483787.738,   108970194.419,,,,   111887184.098,   126890172.131,,
  1429365619.000,,,   128542367.396,,,,,,   127612015.851,,,,,   108743196.645,   130813627.141,,,   115318472.549,   113585531.576,,,   124480820.992,   108971372.946,,,,   111885263.853,   126893186.331,,
  1429365620.000,,,   128540716.137,,,,,,   127612431.656,,,,,   108743409.011,   130817688.033,,,   115315914.276,   113587705.098,,,   124477854.434,   108972551.847,,,,   111883344.181,   126896200.871,,
  1429365621.000,,,   128539065.374,,,,,,   127612848.110,,,,,   108743622.100,   130821748.944,,,   115313356.218,   113589878.968,,,   124474888.064,   108973731.120,,,,   111881425.084,   126899215.752,,
  1429365622.000,,,   128537415.109,,,,,,   127613265.213,,,,,   108743835.912,   130825809.872,,,   115310798.378,   113592053.184,,,   124471921.882,   108974910.766,,,,   111879506.560,   126902230.974,,
  1429365623.000,,,   128535765.341,,,,,,   127613682.965,,,,,   108744050.446,   130829870.818,,,   115308240.752,   113594227.749,,,   124468955.888,   108976090.785,,,,   111877588.610,   126905246.536,,
  1429365624.000,,,   128534116.071,,,,,,   127614101.365,,,,,   108744265.702,   130833931.783,,,   115305683.343,   113596402.661,,,   124465990.082,   108977271.176,,,,   111875671.233,   126908262.438,,
  1429365625.000,,,   128532467.297,,,,,,   127614520.415,,,,,   108744481.681,   130837992.764,,,   115303126.149,   113598577.920,,,   124463024.464,   108978451.941,,,,   111873754.431,   126911278.681,,
  1429365626.000,,,   128530819.022,,,,,,   127614940.113,,,,,   108744698.382,   130842053.763,,,   115300569.172,   113600753.526,,,   124460059.034,   108979633.077,,,,   111871838.203,   126914295.264,,
