Time Stamp,GAL-001 E1,GAL-002 E1,GAL-003 E1,GAL-004 E1,GAL-005 E1,GAL-006 E1
  1429365601.000,          32.179,          26.908,          14.784,           4.953,          18.330,          29.008
  1429365602.000,          31.969,          25.683,          12.948,           6.167,          20.010,          29.873
  1429365603.000,          31.619,          24.349,          11.097,           7.763,          21.613,          30.608
  1429365604.000,          31.132,          22.914,           9.267,           9.531,          23.129,          31.211
  1429365605.000,          30.509,          21.384,           7.516,          11.367,          24.550,          31.678
  1429365606.000,          29.755,          19.769,           5.959,          13.217,          25.868,          32.008
  1429365607.000,          28.871,          18.078,           4.828,          15.049,          27.077,          32.198
  1429365608.000,          27.863,          16.323,           4.483,          16.842,          28.170,          32.247
  1429365609.000,          26.736,          14.517,           5.093,          18.580,          29.142,          32.157
  1429365610.000,          25.495,          12.677,           6.382,          20.249,          29.988,          31.926
  1429365611.000,          24.146,          10.827,           8.013,          21.840,          30.704,          31.556
  1429365612.000,          22.696,           9.004,           9.796,          23.343,          31.288,          31.049
  1429365613.000,          21.154,           7.272,          11.636,          24.750,          31.735,          30.407
  1429365614.000,          19.527,           5.759,          13.486,          26.052,          32.044,          29.633
  1429365615.000,          17.826,           4.719,          15.313,          27.244,          32.213,          28.731
  1429365616.000,          16.062,           4.515,          17.099,          28.320,          32.243,          27.705
  1429365617.000,          14.250,           5.249,          18.827,          29.274,          32.131,          26.561
  1429365618.000,          12.407,           6.606,          20.486,          30.101,          31.880,          25.304
  1429365619.000,          10.558,           8.267,          22.065,          30.798,          31.490,          23.940
  1429365620.000,           8.743,          10.063,          23.554,          31.362,          30.963,          22.476
  1429365621.000,           7.033,          11.907,          24.946,          31.789,          30.302,          20.921
  1429365622.000,           5.569,          13.755,          26.233,          32.078,          29.509,          19.282
  1429365623.000,           4.629,          15.578,          27.408,          32.227,          28.589,          17.572
  1429365624.000,           4.568,          17.356,          28.466,          32.235,          27.545,          15.800
  1429365625.000,           5.417,          19.075,          29.402,          32.104,          26.384,          13.982
  1429365626.000,           6.834,          20.723,          30.211,          31.832,          25.111,          12.136
  1429365627.000,           8.523,          22.289,          30.889,          31.422,          23.732,          10.289
  1429365628.000,          10.330,          23.764,          31.433,          30.875,          22.254,           8.484
  1429365629.000,          12.177,          25.141,          31.840,          30.194,          20.686,           6.799
  1429365630.000,          14.023,          26.412,          32.108,          29.383,          19.037,           5.391
  1429365631.000,          15.840,          27.571,          32.237,          28.444,          17.316,           4.559
  1429365632.000,          17.610,          28.611,          32.225,          27.384,          15.537,           4.641
  1429365633.000,          19.320,          29.529,          32.073,          26.206,          13.714,           5.597
  1429365634.000,          20.956,          30.319,          31.781,          24.916,          11.866,           7.069
  1429365635.000,          22.510,          30.977,          31.351,          23.523,          10.022,           8.782
  1429365636.000,          23.971,          31.501,          30.785,          22.031,           8.228,          10.598
  1429365637.000,          25.333,          31.888,          30.085,          20.451,           6.571,          12.448
  1429365638.000,          26.588,          32.136,          29.254,          18.790,           5.224,          14.290
  1429365639.000,          27.730,          32.244,          28.298,          17.060,           4.509,          16.102
  1429365640.000,          28.753,          32.212,          27.219,          15.274,           4.734,          17.864
  1429365641.000,          29.652,          32.039,          26.025,          13.445,           5.789,          19.564
  1429365642.000,          30.423,          31.727,          24.720,          11.596,           7.309,          21.188
  1429365643.000,          31.062,          31.277,          23.311,           9.756,           9.044,          22.729
  1429365644.000,          31.566,          30.691,          21.807,           7.975,          10.868,          24.176
  1429365645.000,          31.933,          29.971,          20.214,           6.349,          12.718,          25.523
  1429365646.000,          32.161,          29.122,          18.543,           5.071,          14.558,          26.762
  1429365647.000,          32.248,          28.147,          16.803,           4.480,          16.363,          27.887
  1429365648.000,          32.195,          27.052,          15.009,           4.846,          18.117,          28.892
  1429365649.000,          32.002,          25.841,          13.177,           5.990,          19.806,          29.772
  1429365650.000,          31.670,          24.520,          11.326,           7.553,          21.419,          30.524
  1429365651.000,          31.200,          23.097,           9.491,           9.307,          22.947,          31.144
  1429365652.000,          30.594,          21.579,           7.726,          11.138,          24.380,          31.628
  1429365653.000,          29.855,          19.974,           6.135,          12.988,          25.711,          31.974
  1429365654.000,          28.988,          18.292,           4.933,          14.824,          26.933,          32.182
