Time Stamp,GAL-001 E1,GAL-002 E1,GAL-003 E1,GAL-004 E1,GAL-005 E1,GAL-006 E1
  1429365600.100,         169.468,         146.680,          86.215,          23.530,          88.077,         147.783
  1429365600.200,         169.457,         146.119,          85.277,          23.609,          89.006,         148.326
  1429365600.300,         169.439,         145.551,          84.338,          23.742,          89.932,         148.862
  1429365600.400,         169.413,         144.976,          83.395,          23.925,          90.855,         149.392
  1429365600.500,         169.379,         144.396,          82.450,          24.160,          91.774,         149.916
  1429365600.600,         169.339,         143.809,          81.503,          24.443,          92.691,         150.433
  1429365600.700,         169.291,         143.217,          80.553,          24.773,          93.604,         150.944
  1429365600.800,         169.235,         142.618,          79.601,          25.149,          94.514,         151.448
  1429365600.900,         169.173,         142.013,          78.647,          25.567,          95.421,         151.945
  1429365601.000,         169.103,         141.402,          77.691,          26.027,          96.324,         152.436
  1429365601.100,         169.025,         140.784,          76.733,          26.526,          97.224,         152.921
  1429365601.200,         168.940,         140.161,          75.773,          27.061,          98.120,         153.399
  1429365601.300,         168.848,         139.532,          74.812,          27.631,          99.012,         153.870
  1429365601.400,         168.748,         138.897,          73.848,          28.233,          99.901,         154.334
  1429365601.500,         168.641,         138.256,          72.884,          28.865,         100.786,         154.792
  1429365601.600,         168.527,         137.609,          71.918,          29.525,         101.668,         155.244
  1429365601.700,         168.406,         136.957,          70.950,          30.211,         102.545,         155.688
  1429365601.800,         168.277,         136.298,          69.981,          30.921,         103.419,         156.126
  1429365601.900,         168.140,         135.634,          69.012,          31.654,         104.288,         156.557
  1429365602.000,         167.997,         134.964,          68.041,          32.408,         105.154,         156.981
  1429365602.100,         167.846,         134.288,          67.070,          33.181,         106.016,         157.399
  1429365602.200,         167.688,         133.607,          66.097,          33.971,         106.873,         157.809
  1429365602.300,         167.522,         132.920,          65.125,          34.779,         107.726,         158.213
  1429365602.400,         167.349,         132.227,          64.152,          35.601,         108.575,         158.610
  1429365602.500,         167.169,         131.529,          63.179,          36.438,         109.420,         159.000
  1429365602.600,         166.982,         130.825,          62.206,          37.287,         110.260,         159.383
  1429365602.700,         166.787,         130.116,          61.233,          38.148,         111.097,         159.760
  1429365602.800,         166.585,         129.401,          60.260,          39.021,         111.928,         160.129
  1429365602.900,         166.376,         128.681,          59.288,          39.904,         112.755,         160.491
  1429365603.000,         166.159,         127.955,          58.317,          40.795,         113.578,         160.847
  1429365603.100,         165.936,         127.225,          57.346,          41.696,         114.396,         161.195
  1429365603.200,         165.705,         126.488,          56.377,          42.604,         115.209,         161.537
  1429365603.300,         165.467,         125.747,          55.410,          43.520,         116.018,         161.871
  1429365603.400,         165.221,         125.000,          54.444,          44.442,         116.822,         162.199
  1429365603.500,         164.969,         124.248,          53.480,          45.370,         117.622,         162.519
  1429365603.600,         164.709,         123.491,          52.518,          46.304,         118.416,         162.832
  1429365603.700,         164.442,         122.729,          51.558,          47.243,         119.206,         163.139
  1429365603.800,         164.168,         121.962,          50.602,          48.186,         119.991,         163.438
  1429365603.900,         163.887,         121.190,          49.649,          49.134,         120.771,         163.730
  1429365604.000,         163.599,         120.412,          48.699,          50.085,         121.546,         164.015
  1429365604.100,         163.304,         119.630,          47.753,          51.040,         122.315,         164.293
  1429365604.200,         163.001,         118.843,          46.812,          51.998,         123.080,         164.563
  1429365604.300,         162.692,         118.051,          45.875,          52.958,         123.840,         164.827
  1429365604.400,         162.375,         117.254,          44.944,          53.921,         124.595,         165.083
  1429365604.500,         162.052,         116.453,          44.018,          54.886,         125.344,         165.332
  1429365604.600,         161.721,         115.646,          43.099,          55.853,         126.089,         165.574
  1429365604.700,         161.383,         114.835,          42.187,          56.822,         126.828,         165.809
  1429365604.800,         161.038,         114.020,          41.282,          57.791,         127.561,         166.037
  1429365604.900,         160.687,         113.199,          40.385,          58.762,         128.290,         166.257
  1429365605.000,         160.328,         112.375,          39.497,          59.734,         129.013,         166.470
  1429365605.100,         159.962,         111.545,          38.619,          60.706,         129.730,         166.676
  1429365605.200,         159.590,         110.712,          37.752,          61.679,         130.442,         166.874
  1429365605.300,         159.210,         109.874,          36.896,          62.652,         131.149,         167.066
  1429365605.400,         158.824,         109.031,          36.052,          63.625,         131.850,         167.250
  1429365605.500,         158.431,         108.184,          35.222,          64.598,         132.546,         167.427
  1429365605.600,         158.031,         107.333,          34.406,          65.571,         133.236,         167.596
  1429365605.700,         157.624,         106.478,          33.606,          66.543,         133.920,         167.758
  1429365605.800,         157.210,         105.619,          32.823,          67.515,         134.599,         167.913
  1429365605.900,         156.789,         104.755,          32.059,          68.486,         135.272,         168.061
  1429365606.000,         156.362,         103.888,          31.315,          69.456,         135.939,         168.201
  1429365606.100,         155.928,         103.016,          30.592,          70.425,         136.601,         168.334
  1429365606.200,         155.487,         102.141,          29.893,          71.393,         137.257,         168.459
  1429365606.300,         155.039,         101.262,          29.218,          72.360,         137.907,         168.578
  1429365606.400,         154.585,         100.378,          28.571,          73.326,         138.551,         168.689
  1429365606.500,         154.124,          99.492,          27.952,          74.290,         139.189,         168.792
  1429365606.600,         153.656,          98.601,          27.365,          75.252,         139.821,         168.888
  1429365606.700,         153.182,          97.707,          26.811,          76.213,         140.448,         168.977
  1429365606.800,         152.701,          96.809,          26.292,          77.172,         141.068,         169.059
  1429365606.900,         152.214,          95.908,          25.811,          78.129,         141.682,         169.133
  1429365607.000,         151.720,          95.003,          25.370,          79.085,         142.290,         169.199
  1429365607.100,         151.219,          94.095,          24.970,          80.038,         142.893,         169.259
  1429365607.200,         150.712,          93.183,          24.615,          80.988,         143.489,         169.311
  1429365607.300,         150.198,          92.268,          24.306,          81.937,         144.079,         169.355
  1429365607.400,         149.678,          91.350,          24.045,          82.883,         144.662,         169.393
  1429365607.500,         149.152,          90.429,          23.834,          83.827,         145.240,         169.422
  1429365607.600,         148.619,          89.505,          23.674,          84.768,         145.811,         169.445
  1429365607.700,         148.079,          88.578,          23.566,          85.707,         146.376,         169.460
  1429365607.800,         147.534,          87.647,          23.510,          86.643,         146.935,         169.467
  1429365607.900,         146.982,          86.714,          23.508,          87.576,         147.488,         169.468
  1429365608.000,         146.423,          85.779,          23.559,          88.506,         148.034,         169.461
  1429365608.100,         145.859,          84.840,          23.663,          89.434,         148.574,         169.446
  1429365608.200,         145.288,          83.899,          23.819,          90.358,         149.107,         169.424
  1429365608.300,         144.711,          82.955,          24.026,          91.279,         149.634,         169.395
  1429365608.400,         144.127,          82.009,          24.282,          92.198,         150.155,         169.358
  1429365608.500,         143.538,          81.061,          24.587,          93.113,         150.669,         169.314
  1429365608.600,         142.942,          80.110,          24.939,          94.025,         151.176,         169.263
  1429365608.700,         142.341,          79.157,          25.334,          94.933,         151.677,         169.204
  1429365608.800,         141.733,          78.202,          25.772,          95.838,         152.172,         169.138
  1429365608.900,         141.119,          77.245,          26.250,          96.740,         152.660,         169.064
  1429365609.000,         140.499,          76.286,          26.766,          97.638,         153.141,         168.984
  1429365609.100,         139.873,          75.326,          27.317,          98.532,         153.616,         168.895
  1429365609.200,         139.241,          74.363,          27.901,          99.423,         154.084,         168.800
  1429365609.300,         138.604,          73.399,          28.517,         100.310,         154.546,         168.697
  1429365609.400,         137.960,          72.434,          29.162,         101.193,         155.001,         168.586
  1429365609.500,         137.310,          71.467,          29.834,         102.073,         155.449,         168.469
  1429365609.600,         136.655,          70.499,          30.532,         102.949,         155.890,         168.344
  1429365609.700,         135.994,          69.530,          31.253,         103.821,         156.325,         168.211
  1429365609.800,         135.327,          68.560,          31.995,         104.688,         156.753,         168.072
  1429365609.900,         134.654,          67.589,          32.758,         105.552,         157.174,         167.925
  1429365610.000,         133.976,          66.617,          33.539,         106.412,         157.588,         167.770
  1429365610.100,         133.292,          65.644,          34.337,         107.267,         157.995,         167.609
  1429365610.200,         132.602,          64.672,          35.152,         108.118,         158.396,         167.440
  1429365610.300,         131.907,          63.699,          35.981,         108.966,         158.790,         167.264
  1429365610.400,         131.206,          62.726,          36.823,         109.808,         159.177,         167.080
  1429365610.500,         130.500,          61.752,          37.678,         110.647,         159.557,         166.889
  1429365610.600,         129.788,          60.780,          38.545,         111.481,         159.930,         166.691
  1429365610.700,         129.071,          59.807,          39.422,         112.310,         160.296,         166.486
  1429365610.800,         128.348,          58.836,          40.309,         113.135,         160.655,         166.273
  1429365610.900,         127.621,          57.865,          41.205,         113.956,         161.007,         166.054
  1429365611.000,         126.887,          56.895,          42.109,         114.772,         161.353,         165.827
  1429365611.100,         126.149,          55.926,          43.021,         115.583,         161.691,         165.592
  1429365611.200,         125.405,          54.959,          43.940,         116.390,         162.022,         165.351
  1429365611.300,         124.656,          53.994,          44.865,         117.192,         162.346,         165.102
  1429365611.400,         123.901,          53.031,          45.795,         117.989,         162.663,         164.847
  1429365611.500,         123.142,          52.070,          46.732,         118.781,         162.973,         164.584
  1429365611.600,         122.377,          51.112,          47.673,         119.569,         163.276,         164.314
  1429365611.700,         121.608,          50.157,          48.618,         120.351,         163.572,         164.036
  1429365611.800,         120.833,          49.206,          49.567,         121.129,         163.861,         163.752
  1429365611.900,         120.054,          48.258,          50.520,         121.901,         164.143,         163.460
  1429365612.000,         119.269,          47.314,          51.477,         122.669,         164.417,         163.162
  1429365612.100,         118.480,          46.375,          52.436,         123.432,         164.685,         162.856
  1429365612.200,         117.686,          45.440,          53.397,         124.189,         164.945,         162.543
  1429365612.300,         116.887,          44.512,          54.361,         124.941,         165.198,         162.223
  1429365612.400,         116.083,          43.589,          55.327,         125.688,         165.444,         161.896
  1429365612.500,         115.275,          42.673,          56.294,         126.430,         165.682,         161.563
  1429365612.600,         114.461,          41.764,          57.264,         127.167,         165.914,         161.222
  1429365612.700,         113.644,          40.863,          58.234,         127.898,         166.138,         160.874
  1429365612.800,         112.821,          39.970,          59.205,         128.624,         166.355,         160.519
  1429365612.900,         111.995,          39.087,          60.177,         129.344,         166.565,         160.157
  1429365613.000,         111.163,          38.213,          61.149,         130.060,         166.767,         159.788
  1429365613.100,         110.327,          37.351,          62.122,         130.769,         166.962,         159.412
  1429365613.200,         109.487,          36.501,          63.095,         131.473,         167.150,         159.030
  1429365613.300,         108.643,          35.663,          64.068,         132.172,         167.331,         158.640
  1429365613.400,         107.794,          34.839,          65.041,         132.865,         167.504,         158.244
  1429365613.500,         106.941,          34.031,          66.014,         133.553,         167.671,         157.840
  1429365613.600,         106.084,          33.239,          66.986,         134.234,         167.829,         157.430
  1429365613.700,         105.223,          32.464,          67.958,         134.910,         167.981,         157.013
  1429365613.800,         104.358,          31.709,          68.928,         135.581,         168.125,         156.590
