Time Stamp,GAL-001 E1,GAL-002 E1,GAL-003 E1,GAL-004 E1,GAL-005 E1,GAL-006 E1
  1429365600.100,          32.249,          27.912,          16.406,           4.478,          16.761,          28.122
  1429365600.200,          32.247,          27.805,          16.228,           4.493,          16.937,          28.226
  1429365600.300,          32.243,          27.697,          16.049,           4.518,          17.113,          28.328
  1429365600.400,          32.238,          27.588,          15.870,           4.553,          17.289,          28.428
  1429365600.500,          32.232,          27.478,          15.690,           4.597,          17.464,          28.528
  1429365600.600,          32.224,          27.366,          15.509,           4.651,          17.639,          28.626
  1429365600.700,          32.215,          27.253,          15.329,           4.714,          17.812,          28.724
  1429365600.800,          32.204,          27.139,          15.148,           4.786,          17.985,          28.820
  1429365600.900,          32.192,          27.024,          14.966,           4.865,          18.158,          28.914
  1429365601.000,          32.179,          26.908,          14.784,           4.953,          18.330,          29.008
  1429365601.100,          32.164,          26.790,          14.602,           5.048,          18.501,          29.100
  1429365601.200,          32.148,          26.672,          14.419,           5.150,          18.672,          29.191
  1429365601.300,          32.131,          26.552,          14.236,           5.258,          18.841,          29.280
  1429365601.400,          32.112,          26.431,          14.053,           5.373,          19.011,          29.369
  1429365601.500,          32.091,          26.309,          13.869,           5.493,          19.179,          29.456
  1429365601.600,          32.070,          26.186,          13.685,           5.618,          19.347,          29.542
  1429365601.700,          32.047,          26.062,          13.501,           5.749,          19.514,          29.626
  1429365601.800,          32.022,          25.937,          13.317,           5.884,          19.680,          29.710
  1429365601.900,          31.996,          25.810,          13.132,           6.024,          19.845,          29.792
  1429365602.000,          31.969,          25.683,          12.948,           6.167,          20.010,          29.873
  1429365602.100,          31.940,          25.554,          12.763,           6.314,          20.174,          29.952
  1429365602.200,          31.910,          25.425,          12.578,           6.465,          20.337,          30.030
  1429365602.300,          31.878,          25.294,          12.393,           6.618,          20.500,          30.107
  1429365602.400,          31.845,          25.162,          12.208,           6.775,          20.661,          30.182
  1429365602.500,          31.811,          25.029,          12.023,           6.934,          20.822,          30.257
  1429365602.600,          31.776,          24.895,          11.837,           7.095,          20.982,          30.330
  1429365602.700,          31.738,          24.760,          11.652,           7.259,          21.141,          30.401
  1429365602.800,          31.700,          24.624,          11.467,           7.425,          21.299,          30.472
  1429365602.900,          31.660,          24.487,          11.282,           7.593,          21.457,          30.540
  1429365603.000,          31.619,          24.349,          11.097,           7.763,          21.613,          30.608
  1429365603.100,          31.577,          24.210,          10.913,           7.934,          21.769,          30.674
  1429365603.200,          31.533,          24.070,          10.728,           8.107,          21.924,          30.739
  1429365603.300,          31.487,          23.929,          10.544,           8.282,          22.078,          30.803
  1429365603.400,          31.441,          23.787,          10.360,           8.457,          22.231,          30.865
  1429365603.500,          31.393,          23.644,          10.177,           8.634,          22.383,          30.926
  1429365603.600,          31.343,          23.500,           9.994,           8.811,          22.534,          30.986
  1429365603.700,          31.292,          23.355,           9.811,           8.990,          22.684,          31.044
  1429365603.800,          31.240,          23.209,           9.629,           9.170,          22.833,          31.101
  1429365603.900,          31.187,          23.062,           9.448,           9.350,          22.982,          31.157
  1429365604.000,          31.132,          22.914,           9.267,           9.531,          23.129,          31.211
  1429365604.100,          31.076,          22.765,           9.087,           9.713,          23.276,          31.264
  1429365604.200,          31.018,          22.615,           8.908,           9.895,          23.421,          31.315
  1429365604.300,          30.959,          22.464,           8.730,          10.078,          23.566,          31.365
  1429365604.400,          30.899,          22.313,           8.553,          10.261,          23.710,          31.414
  1429365604.500,          30.837,          22.160,           8.376,          10.445,          23.852,          31.462
  1429365604.600,          30.774,          22.007,           8.201,          10.629,          23.994,          31.508
  1429365604.700,          30.710,          21.852,           8.028,          10.813,          24.134,          31.552
  1429365604.800,          30.645,          21.697,           7.856,          10.997,          24.274,          31.596
  1429365604.900,          30.578,          21.541,           7.685,          11.182,          24.413,          31.638
  1429365605.000,          30.509,          21.384,           7.516,          11.367,          24.550,          31.678
  1429365605.100,          30.440,          21.226,           7.349,          11.552,          24.687,          31.717
  1429365605.200,          30.369,          21.068,           7.184,          11.737,          24.822,          31.755
  1429365605.300,          30.297,          20.908,           7.021,          11.922,          24.957,          31.792
  1429365605.400,          30.223,          20.748,           6.860,          12.107,          25.090,          31.827
  1429365605.500,          30.148,          20.587,           6.702,          12.293,          25.223,          31.860
  1429365605.600,          30.072,          20.425,           6.547,          12.478,          25.354,          31.892
  1429365605.700,          29.995,          20.262,           6.395,          12.663,          25.484,          31.923
  1429365605.800,          29.916,          20.099,           6.246,          12.848,          25.613,          31.953
  1429365605.900,          29.836,          19.934,           6.101,          13.032,          25.741,          31.981
  1429365606.000,          29.755,          19.769,           5.959,          13.217,          25.868,          32.008
  1429365606.100,          29.672,          19.603,           5.821,          13.401,          25.994,          32.033
  1429365606.200,          29.588,          19.437,           5.688,          13.586,          26.119,          32.057
  1429365606.300,          29.503,          19.269,           5.560,          13.770,          26.243,          32.079
  1429365606.400,          29.417,          19.101,           5.437,          13.953,          26.365,          32.100
  1429365606.500,          29.329,          18.933,           5.319,          14.137,          26.487,          32.120
  1429365606.600,          29.240,          18.763,           5.207,          14.320,          26.607,          32.138
  1429365606.700,          29.150,          18.593,           5.102,          14.503,          26.726,          32.155
  1429365606.800,          29.058,          18.422,           5.003,          14.685,          26.844,          32.171
  1429365606.900,          28.965,          18.251,           4.912,          14.868,          26.961,          32.185
  1429365607.000,          28.871,          18.078,           4.828,          15.049,          27.077,          32.198
  1429365607.100,          28.776,          17.906,           4.752,          15.231,          27.192,          32.209
  1429365607.200,          28.680,          17.732,           4.684,          15.412,          27.305,          32.219
  1429365607.300,          28.582,          17.558,           4.625,          15.592,          27.417,          32.227
  1429365607.400,          28.483,          17.383,           4.576,          15.772,          27.528,          32.234
  1429365607.500,          28.383,          17.208,           4.535,          15.952,          27.638,          32.240
  1429365607.600,          28.281,          17.032,           4.505,          16.131,          27.747,          32.244
  1429365607.700,          28.179,          16.856,           4.484,          16.309,          27.854,          32.247
  1429365607.800,          28.075,          16.679,           4.474,          16.488,          27.961,          32.249
  1429365607.900,          27.970,          16.501,           4.473,          16.665,          28.066,          32.249
  1429365608.000,          27.863,          16.323,           4.483,          16.842,          28.170,          32.247
  1429365608.100,          27.756,          16.145,           4.503,          17.019,          28.273,          32.245
  1429365608.200,          27.647,          15.965,           4.533,          17.195,          28.374,          32.240
  1429365608.300,          27.538,          15.786,           4.572,          17.370,          28.474,          32.235
  1429365608.400,          27.427,          15.606,           4.621,          17.545,          28.573,          32.228
  1429365608.500,          27.314,          15.425,           4.679,          17.719,          28.671,          32.219
  1429365608.600,          27.201,          15.244,           4.746,          17.892,          28.768,          32.210
  1429365608.700,          27.087,          15.063,           4.821,          18.065,          28.863,          32.198
  1429365608.800,          26.971,          14.881,           4.904,          18.237,          28.957,          32.186
  1429365608.900,          26.854,          14.699,           4.995,          18.409,          29.050,          32.172
  1429365609.000,          26.736,          14.517,           5.093,          18.580,          29.142,          32.157
  1429365609.100,          26.617,          14.334,           5.198,          18.750,          29.232,          32.140
  1429365609.200,          26.497,          14.151,           5.309,          18.920,          29.321,          32.122
  1429365609.300,          26.375,          13.967,           5.427,          19.088,          29.409,          32.102
  1429365609.400,          26.253,          13.784,           5.549,          19.256,          29.496,          32.081
  1429365609.500,          26.129,          13.600,           5.677,          19.424,          29.581,          32.059
  1429365609.600,          26.005,          13.416,           5.810,          19.590,          29.665,          32.035
  1429365609.700,          25.879,          13.231,           5.947,          19.756,          29.748,          32.010
  1429365609.800,          25.752,          13.046,           6.088,          19.922,          29.829,          31.983
  1429365609.900,          25.624,          12.862,           6.234,          20.086,          29.909,          31.955
  1429365610.000,          25.495,          12.677,           6.382,          20.249,          29.988,          31.926
  1429365610.100,          25.365,          12.492,           6.534,          20.412,          30.066,          31.895
  1429365610.200,          25.233,          12.307,           6.689,          20.574,          30.142,          31.863
  1429365610.300,          25.101,          12.121,           6.847,          20.735,          30.217,          31.829
  1429365610.400,          24.968,          11.936,           7.007,          20.896,          30.290,          31.794
  1429365610.500,          24.833,          11.751,           7.170,          21.055,          30.363,          31.758
  1429365610.600,          24.698,          11.566,           7.335,          21.214,          30.434,          31.720
  1429365610.700,          24.561,          11.381,           7.502,          21.372,          30.503,          31.681
  1429365610.800,          24.424,          11.196,           7.671,          21.529,          30.572,          31.641
  1429365610.900,          24.285,          11.011,           7.841,          21.685,          30.639,          31.599
  1429365611.000,          24.146,          10.827,           8.013,          21.840,          30.704,          31.556
  1429365611.100,          24.005,          10.642,           8.187,          21.995,          30.769,          31.511
  1429365611.200,          23.864,          10.458,           8.361,          22.148,          30.832,          31.465
  1429365611.300,          23.721,          10.275,           8.537,          22.301,          30.893,          31.418
  1429365611.400,          23.578,          10.091,           8.715,          22.453,          30.954,          31.369
  1429365611.500,          23.433,           9.909,           8.893,          22.603,          31.013,          31.319
  1429365611.600,          23.288,           9.726,           9.072,          22.753,          31.070,          31.268
  1429365611.700,          23.141,           9.545,           9.252,          22.902,          31.127,          31.215
  1429365611.800,          22.994,           9.364,           9.432,          23.050,          31.182,          31.161
  1429365611.900,          22.845,           9.183,           9.614,          23.197,          31.235,          31.105
  1429365612.000,          22.696,           9.004,           9.796,          23.343,          31.288,          31.049
  1429365612.100,          22.546,           8.825,           9.978,          23.488,          31.338,          30.990
  1429365612.200,          22.395,           8.647,          10.161,          23.632,          31.388,          30.931
  1429365612.300,          22.243,           8.470,          10.345,          23.776,          31.436,          30.870
  1429365612.400,          22.090,           8.295,          10.528,          23.918,          31.483,          30.808
  1429365612.500,          21.936,           8.120,          10.712,          24.059,          31.528,          30.744
  1429365612.600,          21.781,           7.947,          10.897,          24.199,          31.572,          30.679
  1429365612.700,          21.626,           7.776,          11.082,          24.338,          31.615,          30.613
  1429365612.800,          21.469,           7.606,          11.266,          24.476,          31.656,          30.546
  1429365612.900,          21.312,           7.438,          11.451,          24.613,          31.696,          30.477
