Time Stamp,GPS-001 L1,GPS-002 L1,GPS-003 L1,GPS-004 L1,GPS-005 L1,GPS-006 L1,GPS-007 L1,GPS-008 L1,GPS-009 L1,GPS-010 L1,GPS-011 L1,GPS-012 L1,GPS-013 L1,GPS-014 L1,GPS-015 L1,GPS-016 L1,GPS-017 L1,GPS-018 L1,GPS-019 L1,GPS-020 L1,GPS-021 L1,GPS-022 L1,GPS-023 L1,GPS-024 L1,GPS-025 L1,GPS-026 L1,GPS-027 L1,GPS-028 L1,GPS-029 L1,GPS-030 L1
  1429365600.100,,,    24466770.096,,,,,,    24282275.870,,,,,    20692398.082,    24878405.892,,,    21953575.570,    21606814.525,,,    23698576.713,    20732341.800,,,,    21297989.111,    24136150.439,,
  1429365600.200,,,    24466738.427,,,,,,    24282283.421,,,,,    20692401.884,    24878483.350,,,    21953526.746,    21606855.796,,,    23698520.276,    20732364.057,,,,    21297952.476,    24136207.531,,
  1429365600.300,,,    24466706.758,,,,,,    24282290.975,,,,,    20692405.689,    24878560.807,,,    21953477.924,    21606897.065,,,    23698463.841,    20732386.314,,,,    21297915.841,    24136264.622,,
  1429365600.400,,,    24466675.087,,,,,,    24282298.533,,,,,    20692409.497,    24878638.262,,,    21953429.104,    21606938.333,,,    23698407.409,    20732408.570,,,,    21297879.206,    24136321.713,,
  1429365600.500,,,    24466643.414,,,,,,    24282306.094,,,,,    20692413.308,    24878715.717,,,    21953380.286,    21606979.600,,,    23698350.979,    20732430.827,,,,    21297842.572,    24136378.802,,
  1429365600.600,,,    24466611.740,,,,,,    24282313.659,,,,,    20692417.121,    24878793.171,,,    21953331.470,    21607020.866,,,    23698294.552,    20732453.084,,,,    21297805.937,    24136435.891,,
  1429365600.700,,,    24466580.064,,,,,,    24282321.226,,,,,    20692420.937,    24878870.624,,,    21953282.657,    21607062.130,,,    23698238.127,    20732475.340,,,,    21297769.303,    24136492.978,,
  1429365600.800,,,    24466548.387,,,,,,    24282328.798,,,,,    20692424.755,    24878948.076,,,    21953233.846,    21607103.394,,,    23698181.705,    20732497.597,,,,    21297732.668,    24136550.065,,
  1429365600.900,,,    24466516.708,,,,,,    24282336.372,,,,,    20692428.576,    24879025.527,,,    21953185.037,    21607144.656,,,    23698125.285,    20732519.854,,,,    21297696.033,    24136607.151,,
  1429365601.000,,,    24466485.028,,,,,,    24282343.950,,,,,    20692432.400,    24879102.977,,,    21953136.230,    21607185.917,,,    23698068.868,    20732542.111,,,,    21297659.399,    24136664.237,,
  1429365601.100,,,    24466453.347,,,,,,    24282351.532,,,,,    20692436.227,    24879180.425,,,    21953087.426,    21607227.177,,,    23698012.454,    20732564.367,,,,    21297622.764,    24136721.321,,
  1429365601.200,,,    24466421.664,,,,,,    24282359.117,,,,,    20692440.056,    24879257.873,,,    21953038.624,    21607268.435,,,    23697956.041,    20732586.624,,,,    21297586.129,    24136778.405,,
  1429365601.300,,,    24466389.979,,,,,,    24282366.705,,,,,    20692443.888,    24879335.320,,,    21952989.824,    21607309.693,,,    23697899.631,    20732608.881,,,,    21297549.494,    24136835.488,,
  1429365601.400,,,    24466358.294,,,,,,    24282374.297,,,,,    20692447.723,    24879412.765,,,    21952941.026,    21607350.949,,,    23697843.224,    20732631.138,,,,    21297512.859,    24136892.571,,
  1429365601.500,,,    24466326.606,,,,,,    24282381.893,,,,,    20692451.560,    24879490.209,,,    21952892.231,    21607392.204,,,    23697786.818,    20732653.395,,,,    21297476.224,    24136949.653,,
  1429365601.600,,,    24466294.918,,,,,,    24282389.492,,,,,    20692455.400,    24879567.652,,,    21952843.438,    21607433.457,,,    23697730.416,    20732675.652,,,,    21297439.589,    24137006.734,,
  1429365601.700,,,    24466263.228,,,,,,    24282397.094,,,,,    20692459.242,    24879645.094,,,    21952794.647,    21607474.710,,,    23697674.015,    20732697.909,,,,    21297402.954,    24137063.815,,
  1429365601.800,,,    24466231.537,,,,,,    24282404.700,,,,,    20692463.087,    24879722.534,,,    21952745.858,    21607515.961,,,    23697617.617,    20732720.166,,,,    21297366.318,    24137120.895,,
  1429365601.900,,,    24466199.845,,,,,,    24282412.310,,,,,    20692466.935,    24879799.973,,,    21952697.072,    21607557.211,,,    23697561.221,    20732742.423,,,,    21297329.683,    24137177.974,,
  1429365602.000,,,    24466168.151,,,,,,    24282419.923,,,,,    20692470.785,    24879877.410,,,    21952648.288,    21607598.460,,,    23697504.827,    20732764.681,,,,    21297293.047,    24137235.053,,
  1429365602.100,,,    24466136.456,,,,,,    24282427.540,,,,,    20692474.638,    24879954.846,,,    21952599.506,    21607639.708,,,    23697448.436,    20732786.938,,,,    21297256.411,    24137292.132,,
  1429365602.200,,,    24466104.760,,,,,,    24282435.161,,,,,    20692478.494,    24880032.281,,,    21952550.727,    21607680.954,,,    23697392.046,    20732809.196,,,,    21297219.774,    24137349.210,,
  1429365602.300,,,    24466073.062,,,,,,    24282442.785,,,,,    20692482.352,    24880109.714,,,    21952501.950,    21607722.199,,,    23697335.659,    20732831.454,,,,    21297183.138,    24137406.288,,
  1429365602.400,,,    24466041.363,,,,,,    24282450.413,,,,,    20692486.212,    24880187.146,,,    21952453.175,    21607763.443,,,    23697279.274,    20732853.711,,,,    21297146.501,    24137463.366,,
  1429365602.500,,,    24466009.663,,,,,,    24282458.044,,,,,    20692490.075,    24880264.576,,,    21952404.403,    21607804.686,,,    23697222.891,    20732875.969,,,,    21297109.864,    24137520.443,,
  1429365602.600,,,    24465977.962,,,,,,    24282465.679,,,,,    20692493.941,    24880342.005,,,    21952355.633,    21607845.927,,,    23697166.511,    20732898.228,,,,    21297073.226,    24137577.520,,
  1429365602.700,,,    24465946.260,,,,,,    24282473.318,,,,,    20692497.809,    24880419.432,,,    21952306.865,    21607887.168,,,    23697110.132,    20732920.486,,,,    21297036.589,    24137634.597,,
  1429365602.800,,,    24465914.557,,,,,,    24282480.961,,,,,    20692501.680,    24880496.857,,,    21952258.100,    21607928.406,,,    23697053.756,    20732942.745,,,,    21296999.951,    24137691.673,,
  1429365602.900,,,    24465882.852,,,,,,    24282488.607,,,,,    20692505.553,    24880574.281,,,    21952209.337,    21607969.644,,,    23696997.381,    20732965.003,,,,    21296963.312,    24137748.749,,
  1429365603.000,,,    24465851.147,,,,,,    24282496.257,,,,,    20692509.429,    24880651.704,,,    21952160.576,    21608010.881,,,    23696941.009,    20732987.262,,,,    21296926.674,    24137805.825,,
  1429365603.100,,,    24465819.440,,,,,,    24282503.911,,,,,    20692513.307,    24880729.124,,,    21952111.818,    21608052.116,,,    23696884.639,    20733009.521,,,,    21296890.035,    24137862.901,,
  1429365603.200,,,    24465787.733,,,,,,    24282511.569,,,,,    20692517.188,    24880806.543,,,    21952063.062,    21608093.350,,,    23696828.270,    20733031.781,,,,    21296853.395,    24137919.977,,
  1429365603.300,,,    24465756.024,,,,,,    24282519.230,,,,,    20692521.071,    24880883.960,,,    21952014.308,    21608134.583,,,    23696771.904,    20733054.040,,,,    21296816.755,    24137977.052,,
  1429365603.400,,,    24465724.314,,,,,,    24282526.895,,,,,    20692524.957,    24880961.375,,,    21951965.557,    21608175.815,,,    23696715.539,    20733076.300,,,,    21296780.115,    24138034.128,,
  1429365603.500,,,    24465692.604,,,,,,    24282534.564,,,,,    20692528.845,    24881038.789,,,    21951916.808,    21608217.046,,,    23696659.177,    20733098.560,,,,    21296743.475,    24138091.204,,
  1429365603.600,,,    24465660.892,,,,,,    24282542.236,,,,,    20692532.735,    24881116.200,,,    21951868.061,    21608258.275,,,    23696602.816,    20733120.820,,,,    21296706.834,    24138148.279,,
  1429365603.700,,,    24465629.180,,,,,,    24282549.913,,,,,    20692536.628,    24881193.610,,,    21951819.317,    21608299.503,,,    23696546.457,    20733143.081,,,,    21296670.192,    24138205.355,,
  1429365603.800,,,    24465597.467,,,,,,    24282557.593,,,,,    20692540.523,    24881271.018,,,    21951770.575,    21608340.730,,,    23696490.100,    20733165.342,,,,    21296633.550,    24138262.431,,
  1429365603.900,,,    24465565.752,,,,,,    24282565.277,,,,,    20692544.421,    24881348.424,,,    21951721.836,    21608381.956,,,    23696433.745,    20733187.603,,,,    21296596.908,    24138319.507,,
  1429365604.000,,,    24465534.037,,,,,,    24282572.964,,,,,    20692548.321,    24881425.828,,,    21951673.098,    21608423.181,,,    23696377.391,    20733209.864,,,,    21296560.265,    24138376.583,,
  1429365604.100,,,    24465502.321,,,,,,    24282580.656,,,,,    20692552.224,    24881503.231,,,    21951624.364,    21608464.404,,,    23696321.040,    20733232.126,,,,    21296523.622,    24138433.659,,
  1429365604.200,,,    24465470.605,,,,,,    24282588.352,,,,,    20692556.128,    24881580.631,,,    21951575.631,    21608505.626,,,    23696264.690,    20733254.388,,,,    21296486.978,    24138490.736,,
