Time Stamp,GAL-001 E1,GAL-002 E1,GAL-003 E1,GAL-004 E1,GAL-005 E1,GAL-006 E1
  1429365601.000,,         229.076,         124.350,          28.645,         152.290,
  1429365602.000,,         219.695,         109.789,          40.262,         165.535,
  1429365603.000,,         209.538,          94.947,          54.244,         178.218,
  1429365604.000,,         198.642,          79.943,          69.033,         190.286,
  1429365605.000,,         187.051,          64.954,          84.050,         201.690,
  1429365606.000,,         174.810,          50.305,          99.023,         212.388,
  1429365607.000,,         161.968,          36.742,         113.798,         222.336,
  1429365608.000,,         148.578,          26.346,         128.266,         231.498,
  1429365609.000,         235.382,         134.700,          23.926,         142.345,         239.838,
  1429365610.000,         226.588,         120.398,          31.412,         155.963,,
  1429365611.000,         216.992,         105.750,          43.942,         169.060,,
  1429365612.000,         206.629,          90.850,          58.237,         181.579,,
  1429365613.000,         195.539,          75.828,          73.127,         193.470,,
  1429365614.000,         183.766,          60.890,          88.151,         204.686,,
  1429365615.000,         171.355,          46.433,         103.084,         215.182,,
  1429365616.000,         158.358,          33.432,         117.784,         224.919,,
  1429365617.000,         144.829,          24.646,         132.154,         233.859,,
  1429365618.000,         130.828,          25.150,         146.113,,,         233.058
  1429365619.000,         116.424,          34.535,         159.595,,,         224.041
  1429365620.000,         101.697,          47.747,         172.539,,,         214.231
  1429365621.000,          86.749,          62.276,         184.892,,,         203.665
  1429365622.000,          71.725,          77.234,         196.603,,,         192.384
  1429365623.000,          56.865,          92.251,         207.627,,,         180.432
  1429365624.000,          42.667,         107.132,         217.920,,,         167.856
  1429365625.000,          30.418,         121.750,         227.443,,,         154.708
  1429365626.000,          23.683,         136.015,         236.160,,         239.092,         141.044
  1429365627.000,          27.065,         149.850,,,         230.673,         126.926
  1429365628.000,          37.917,         163.191,,,         221.436,         112.425
  1429365629.000,          51.637,         175.979,,,         211.416,          97.626
  1429365630.000,          66.339,         188.162,,,         200.651,          82.641
  1429365631.000,          81.340,         199.689,,,         189.183,          67.631
  1429365632.000,          96.335,         210.517,,,         177.055,          52.885
  1429365633.000,         111.155,         220.604,,,         164.318,          39.034
  1429365634.000,         125.685,         229.910,,,         151.023,          27.796
  1429365635.000,         139.840,,,,         137.229,          23.549
  1429365636.000,         153.546,,,         228.229,         122.998,          29.541
  1429365637.000,         166.742,,,         218.774,         108.407,          41.502
  1429365638.000,         179.369,,,         208.547,          93.545,          55.601
  1429365639.000,         191.377,,,         197.585,          78.534,          70.429
  1429365640.000,         202.718,,,         185.932,          63.560,          85.451
  1429365641.000,         213.348,,,         173.633,          48.971,         100.412
  1429365642.000,         223.225,,,         160.738,          35.582,         115.163
  1429365643.000,         232.311,,,         147.301,          25.689,         129.598
  1429365644.000,,,,         133.380,          24.258,         143.637
  1429365645.000,,,         225.729,         119.043,          32.445,         157.209
  1429365646.000,,,         216.060,         104.368,          45.232,         170.255
  1429365647.000,,,         205.628,          89.451,          59.614,         182.718
  1429365648.000,,,         194.473,          74.427,          74.531,         194.548
  1429365649.000,,,         182.638,          59.513,          89.555,         205.699
  1429365650.000,,,         170.171,          45.136,         104.471,         216.126
  1429365651.000,,,         157.122,          32.368,         119.145,         225.790
  1429365652.000,,,         143.546,          24.231,         133.479,         234.655
  1429365653.000,,         232.255,         129.504,          25.736,         147.396,
  1429365654.000,,         223.162,         115.066,          35.668,         160.831,
  1429365655.000,,         213.280,         100.314,          49.071,         173.722,
  1429365656.000,,         202.646,          85.352,          63.664,         186.017,
  1429365657.000,,         191.300,          70.330,          78.640,         197.665,
  1429365658.000,,         179.287,          55.505,          93.651,         208.622,
  1429365659.000,,         166.656,          41.414,         108.511,         218.844,
  1429365660.000,,         153.456,          29.478,         123.100,         228.293,
  1429365661.000,         238.344,         139.746,          23.546,         137.328,         236.933,
  1429365662.000,         229.847,         125.589,          27.859,         151.119,,
  1429365663.000,         220.536,         111.056,          39.125,         164.410,,
  1429365664.000,         210.444,          96.234,          52.987,         177.144,,
  1429365665.000,         199.611,          81.238,          67.736,         189.266,,
  1429365666.000,         188.079,          66.238,          82.746,         200.730,,
  1429365667.000,         175.892,          51.540,          97.730,         211.490,,
  1429365668.000,         163.100,          37.831,         112.527,         221.504,,
  1429365669.000,         149.755,          27.011,         127.026,         230.736,,
  1429365670.000,         135.917,          23.700,         141.141,         239.149,,         236.102
