Time Stamp,GAL-001 E1,GAL-002 E1,GAL-003 E1,GAL-004 E1,GAL-005 E1,GAL-006 E1
  1429365601.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365602.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365603.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365604.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365605.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365606.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365607.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365608.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365609.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365610.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365611.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365612.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365613.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365614.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365615.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365616.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365617.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365618.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365619.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365620.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365621.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365622.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365623.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365624.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365625.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365626.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365627.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365628.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365629.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365630.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365631.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365632.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365633.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365634.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365635.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365636.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365637.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365638.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365639.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365640.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365641.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365642.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365643.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365644.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365645.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365646.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365647.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365648.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365649.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365650.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365651.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365652.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365653.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365654.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365655.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365656.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365657.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365658.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365659.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365660.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365661.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365662.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365663.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365664.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365665.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365666.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365667.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365668.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365669.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365670.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365671.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365672.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365673.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365674.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365675.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365676.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365677.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365678.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365679.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365680.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365681.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365682.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365683.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365684.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
