Time Stamp,GAL-001 E1,GAL-002 E1,GAL-003 E1,GAL-004 E1,GAL-005 E1,GAL-006 E1
  1429365601.100,,         228.174,         122.909,          29.610,         153.638,
  1429365601.200,,         227.263,         121.465,          30.632,         154.981,
  1429365601.300,,         226.345,         120.017,          31.704,         156.319,
  1429365601.400,,         225.419,         118.565,          32.823,         157.652,
  1429365601.500,,         224.485,         117.110,          33.982,         158.980,
  1429365601.600,,         223.543,         115.652,          35.179,         160.302,
  1429365601.700,,         222.592,         114.191,          36.408,         161.618,
  1429365601.800,,         221.634,         112.726,          37.667,         162.929,
  1429365601.900,,         220.669,         111.259,          38.953,         164.235,
  1429365602.000,,         219.695,         109.789,          40.262,         165.535,
  1429365602.100,,         218.714,         108.315,          41.593,         166.830,
  1429365602.200,,         217.724,         106.839,          42.944,         168.119,
  1429365602.300,,         216.728,         105.361,          44.311,         169.402,
  1429365602.400,,         215.723,         103.880,          45.695,         170.679,
  1429365602.500,,         214.711,         102.396,          47.092,         171.950,
  1429365602.600,,         213.691,         100.911,          48.502,         173.216,
  1429365602.700,,         212.664,          99.423,          49.923,         174.475,
  1429365602.800,,         211.629,          97.933,          51.354,         175.729,
  1429365602.900,,         210.587,          96.441,          52.795,         176.977,
  1429365603.000,,         209.538,          94.947,          54.244,         178.218,
  1429365603.100,,         208.481,          93.452,          55.700,         179.453,
  1429365603.200,,         207.416,          91.955,          57.163,         180.682,
  1429365603.300,,         206.345,          90.456,          58.632,         181.905,
  1429365603.400,,         205.266,          88.957,          60.106,         183.122,
  1429365603.500,,         204.180,          87.456,          61.585,         184.332,
  1429365603.600,,         203.086,          85.954,          63.068,         185.536,
  1429365603.700,,         201.986,          84.452,          64.555,         186.733,
  1429365603.800,,         200.879,          82.949,          66.045,         187.924,
  1429365603.900,,         199.764,          81.446,          67.538,         189.108,
  1429365604.000,,         198.642,          79.943,          69.033,         190.286,
  1429365604.100,,         197.514,          78.439,          70.530,         191.457,
  1429365604.200,,         196.379,          76.936,          72.029,         192.621,
  1429365604.300,,         195.236,          75.434,          73.530,         193.779,
  1429365604.400,,         194.087,          73.932,          75.031,         194.930,
  1429365604.500,,         192.931,          72.431,          76.534,         196.074,
  1429365604.600,,         191.769,          70.932,          78.037,         197.211,
  1429365604.700,,         190.599,          69.434,          79.540,         198.341,
  1429365604.800,,         189.423,          67.938,          81.043,         199.465,
  1429365604.900,,         188.241,          66.444,          82.547,         200.581,
  1429365605.000,,         187.051,          64.954,          84.050,         201.690,
  1429365605.100,,         185.856,          63.466,          85.552,         202.793,
  1429365605.200,,         184.654,          61.982,          87.054,         203.888,
  1429365605.300,,         183.445,          60.502,          88.555,         204.976,
  1429365605.400,,         182.230,          59.026,          90.054,         206.057,
  1429365605.500,,         181.009,          57.556,          91.553,         207.130,
  1429365605.600,,         179.782,          56.091,          93.050,         208.196,
  1429365605.700,,         178.548,          54.633,          94.546,         209.255,
  1429365605.800,,         177.308,          53.182,          96.040,         210.307,
  1429365605.900,,         176.062,          51.739,          97.533,         211.351,
  1429365606.000,,         174.810,          50.305,          99.023,         212.388,
  1429365606.100,,         173.552,          48.881,         100.512,         213.417,
  1429365606.200,,         172.288,          47.468,         101.998,         214.438,
  1429365606.300,,         171.018,          46.067,         103.482,         215.453,
  1429365606.400,,         169.743,          44.680,         104.964,         216.459,
  1429365606.500,,         168.461,          43.308,         106.443,         217.458,
  1429365606.600,,         167.174,          41.953,         107.920,         218.449,
  1429365606.700,,         165.881,          40.616,         109.394,         219.432,
  1429365606.800,,         164.582,          39.301,         110.865,         220.408,
  1429365606.900,,         163.278,          38.008,         112.333,         221.376,
  1429365607.000,,         161.968,          36.742,         113.798,         222.336,
  1429365607.100,,         160.653,          35.504,         115.260,         223.288,
  1429365607.200,,         159.332,          34.299,         116.719,         224.232,
  1429365607.300,,         158.006,          33.129,         118.175,         225.169,
  1429365607.400,,         156.675,          31.999,         119.627,         226.097,
  1429365607.500,,         155.338,          30.914,         121.076,         227.017,
  1429365607.600,,         153.996,          29.878,         122.522,         227.930,
  1429365607.700,,         152.649,          28.897,         123.963,         228.834,
  1429365607.800,,         151.297,          27.977,         125.401,         229.730,
  1429365607.900,,         149.940,          27.125,         126.836,         230.618,
  1429365608.000,,         148.578,          26.346,         128.266,         231.498,
  1429365608.100,,         147.211,          25.648,         129.693,         232.369,
  1429365608.200,,         145.840,          25.037,         131.116,         233.233,
  1429365608.300,,         144.463,          24.521,         132.534,         234.088,
  1429365608.400,,         143.082,          24.105,         133.949,         234.934,
  1429365608.500,,         141.696,          23.795,         135.359,         235.773,
  1429365608.600,,         140.306,          23.595,         136.765,         236.603,
  1429365608.700,,         138.911,          23.507,         138.166,         237.424,
  1429365608.800,,         137.511,          23.534,         139.564,         238.238,
  1429365608.900,,         136.108,          23.674,         140.956,         239.042,
  1429365609.000,,         134.700,          23.926,         142.345,         239.838,
  1429365609.100,         234.540,         133.287,          24.285,         143.728,         240.626,
  1429365609.200,         233.690,         131.871,          24.749,         145.107,,
  1429365609.300,         232.831,         130.450,          25.309,         146.481,,
  1429365609.400,         231.963,         129.026,          25.961,         147.851,,
  1429365609.500,         231.088,         127.597,          26.698,         149.215,,
  1429365609.600,         230.204,         126.165,          27.512,         150.575,,
  1429365609.700,         229.312,         124.729,          28.396,         151.930,,
  1429365609.800,         228.413,         123.289,          29.345,         153.279,,
  1429365609.900,         227.505,         121.845,          30.352,         154.624,,
  1429365610.000,         226.588,         120.398,          31.412,         155.963,,
  1429365610.100,         225.664,         118.947,          32.518,         157.297,,
  1429365610.200,         224.732,         117.493,          33.667,         158.626,,
  1429365610.300,         223.792,         116.036,          34.854,         159.949,,
  1429365610.400,         222.844,         114.576,          36.075,         161.268,,
  1429365610.500,         221.888,         113.112,          37.326,         162.580,,
  1429365610.600,         220.924,         111.645,          38.605,         163.887,,
  1429365610.700,         219.953,         110.176,          39.908,         165.189,,
  1429365610.800,         218.974,         108.703,          41.234,         166.485,,
  1429365610.900,         217.987,         107.228,          42.579,         167.775,,
  1429365611.000,         216.992,         105.750,          43.942,         169.060,,
  1429365611.100,         215.989,         104.270,          45.322,         170.339,,
  1429365611.200,         214.979,         102.787,          46.715,         171.612,,
  1429365611.300,         213.962,         101.302,          48.122,         172.879,,
  1429365611.400,         212.936,          99.814,          49.540,         174.140,,
  1429365611.500,         211.904,          98.325,          50.969,         175.395,,
  1429365611.600,         210.863,          96.833,          52.407,         176.644,,
  1429365611.700,         209.816,          95.340,          53.854,         177.887,,
  1429365611.800,         208.761,          93.845,          55.308,         179.124,,
  1429365611.900,         207.698,          92.348,          56.770,         180.355,,
