Time Stamp,GPS-001 L1,GPS-002 L1,GPS-003 L1,GPS-004 L1,GPS-005 L1,GPS-006 L1,GPS-007 L1,GPS-008 L1,GPS-009 L1,GPS-010 L1,GPS-011 L1,GPS-012 L1,GPS-013 L1,GPS-014 L1,GPS-015 L1,GPS-016 L1,GPS-017 L1,GPS-018 L1,GPS-019 L1,GPS-020 L1,GPS-021 L1,GPS-022 L1,GPS-023 L1,GPS-024 L1,GPS-025 L1,GPS-026 L1,GPS-027 L1,GPS-028 L1,GPS-029 L1,GPS-030 L1
  1429365600.100,,,   128573669.560,,,,,,   127604279.200,,,,,   108739318.754,   130736879.760,,,   115366864.427,   113544517.363,,,   124536924.247,   108949161.910,,,,   111921653.421,   126836275.713,,
  1429365600.200,,,   128573503.473,,,,,,   127604319.524,,,,,   108739338.593,   130737285.813,,,   115366608.182,   113544734.043,,,   124536627.227,   108949279.077,,,,   111921460.345,   126836576.506,,
  1429365600.300,,,   128573337.393,,,,,,   127604359.855,,,,,   108739358.439,   130737691.866,,,   115366351.941,   113544950.726,,,   124536330.210,   108949396.249,,,,   111921267.275,   126836877.302,,
  1429365600.400,,,   128573171.317,,,,,,   127604400.192,,,,,   108739378.293,   130738097.920,,,   115366095.701,   113545167.413,,,   124536033.195,   108949513.424,,,,   111921074.210,   126837178.102,,
  1429365600.500,,,   128573005.245,,,,,,   127604440.536,,,,,   108739398.153,   130738503.973,,,   115365839.464,   113545384.102,,,   124535736.182,   108949630.603,,,,   111920881.152,   126837478.906,,
  1429365600.600,,,   128572839.179,,,,,,   127604480.886,,,,,   108739418.021,   130738910.026,,,   115365583.228,   113545600.796,,,   124535439.171,   108949747.785,,,,   111920688.099,   126837779.712,,
  1429365600.700,,,   128572673.118,,,,,,   127604521.243,,,,,   108739437.896,   130739316.080,,,   115365326.995,   113545817.493,,,   124535142.161,   108949864.971,,,,   111920495.052,   126838080.522,,
  1429365600.800,,,   128572507.062,,,,,,   127604561.606,,,,,   108739457.778,   130739722.133,,,   115365070.765,   113546034.193,,,   124534845.153,   108949982.161,,,,   111920302.011,   126838381.335,,
  1429365600.900,,,   128572341.010,,,,,,   127604601.976,,,,,   108739477.668,   130740128.188,,,   115364814.535,   113546250.898,,,   124534548.147,   108950099.355,,,,   111920108.975,   126838682.152,,
  1429365601.000,,,   128572174.964,,,,,,   127604642.352,,,,,   108739497.564,   130740534.242,,,   115364558.309,   113546467.605,,,   124534251.143,   108950216.553,,,,   111919915.945,   126838982.973,,
  1429365601.100,,,   128572008.923,,,,,,   127604682.735,,,,,   108739517.468,   130740940.296,,,   115364302.085,   113546684.316,,,   124533954.142,   108950333.754,,,,   111919722.921,   126839283.796,,
  1429365601.200,,,   128571842.886,,,,,,   127604723.124,,,,,   108739537.380,   130741346.352,,,   115364045.862,   113546901.030,,,   124533657.141,   108950450.959,,,,   111919529.902,   126839584.624,,
  1429365601.300,,,   128571676.855,,,,,,   127604763.520,,,,,   108739557.298,   130741752.406,,,   115363789.642,   113547117.748,,,   124533360.143,   108950568.168,,,,   111919336.889,   126839885.454,,
  1429365601.400,,,   128571510.828,,,,,,   127604803.922,,,,,   108739577.224,   130742158.462,,,   115363533.424,   113547334.469,,,   124533063.146,   108950685.380,,,,   111919143.882,   126840186.288,,
  1429365601.500,,,   128571344.807,,,,,,   127604844.331,,,,,   108739597.156,   130742564.517,,,   115363277.208,   113547551.194,,,   124532766.152,   108950802.597,,,,   111918950.881,   126840487.126,,
  1429365601.600,,,   128571178.790,,,,,,   127604884.746,,,,,   108739617.097,   130742970.572,,,   115363020.995,   113547767.922,,,   124532469.160,   108950919.816,,,,   111918757.886,   126840787.966,,
