Time Stamp,GAL-001 E1,GAL-002 E1,GAL-003 E1,GAL-004 E1,GAL-005 E1,GAL-006 E1
  1429365601.000,,          43.592,          23.663,           5.451,          28.980,
  1429365602.000,,          41.807,          20.892,           7.662,          31.500,
  1429365603.000,,          39.874,          18.068,          10.322,          33.914,
  1429365604.000,,          37.800,          15.213,          13.137,          36.210,
  1429365605.000,,          35.595,          12.360,          15.994,          38.380,
  1429365606.000,,          33.265,           9.573,          18.844,          40.416,
  1429365607.000,,          30.821,           6.992,          21.655,          42.309,
  1429365608.000,,          28.273,           5.013,          24.408,          44.053,
  1429365609.000,          44.792,          25.632,           4.553,          27.087,          45.640,
  1429365610.000,          43.118,          22.911,           5.977,          29.679,,
  1429365611.000,          41.292,          20.124,           8.362,          32.171,,
  1429365612.000,          39.320,          17.288,          11.082,          34.553,,
  1429365613.000,          37.210,          14.430,          13.916,          36.816,,
  1429365614.000,          34.969,          11.587,          16.775,          38.950,,
  1429365615.000,          32.608,           8.836,          19.616,          40.948,,
  1429365616.000,          30.135,           6.362,          22.414,          42.801,,
  1429365617.000,          27.560,           4.690,          25.148,          44.502,,
  1429365618.000,          24.896,           4.786,          27.804,,,          44.349
  1429365619.000,          22.155,           6.572,          30.370,,,          42.634
  1429365620.000,          19.352,           9.086,          32.833,,,          40.767
  1429365621.000,          16.508,          11.851,          35.184,,,          38.756
  1429365622.000,          13.649,          14.697,          37.412,,,          36.610
  1429365623.000,          10.821,          17.555,          39.510,,,          34.335
  1429365624.000,           8.119,          20.386,          41.469,,,          31.942
  1429365625.000,           5.788,          23.168,          43.281,,,          29.440
  1429365626.000,           4.507,          25.883,          44.940,,          45.498,          26.840
  1429365627.000,           5.150,          28.516,,,          43.896,          24.153
  1429365628.000,           7.215,          31.054,,,          42.138,          21.394
  1429365629.000,           9.826,          33.488,,,          40.231,          18.578
  1429365630.000,          12.624,          35.806,,,          38.183,          15.726
  1429365631.000,          15.478,          38.000,,,          36.000,          12.870
  1429365632.000,          18.332,          40.060,,,          33.693,          10.064
  1429365633.000,          21.152,          41.979,,,          31.269,           7.428
  1429365634.000,          23.917,          43.750,,,          28.739,           5.289
  1429365635.000,          26.611,,,,          26.114,           4.481
  1429365636.000,          29.219,,,          43.431,          23.406,           5.622
  1429365637.000,          31.730,,,          41.631,          20.629,           7.898
  1429365638.000,          34.133,,,          39.685,          17.801,          10.581
  1429365639.000,          36.418,,,          37.599,          14.944,          13.402
  1429365640.000,          38.576,,,          35.382,          12.095,          16.261
  1429365641.000,          40.599,,,          33.041,           9.319,          19.108
  1429365642.000,          42.478,,,          30.587,           6.771,          21.915
  1429365643.000,          44.207,,,          28.030,           4.888,          24.662
  1429365644.000,,,,          25.381,           4.616,          27.333
  1429365645.000,,,          42.955,          22.653,           6.174,          29.916
  1429365646.000,,,          41.115,          19.861,           8.607,          32.398
  1429365647.000,,,          39.130,          17.022,          11.344,          34.770
  1429365648.000,,,          37.007,          14.163,          14.183,          37.021
  1429365649.000,,,          34.755,          11.325,          17.042,          39.143
  1429365650.000,,,          32.382,           8.589,          19.880,          41.127
  1429365651.000,,,          29.899,           6.159,          22.672,          42.966
  1429365652.000,,,          27.316,           4.611,          25.400,          44.653
  1429365653.000,,          44.197,          24.644,           4.897,          28.049,
  1429365654.000,,          42.466,          21.896,           6.787,          30.605,
  1429365655.000,,          40.586,          19.089,           9.338,          33.058,
  1429365656.000,,          38.562,          16.242,          12.115,          35.398,
  1429365657.000,,          36.403,          13.383,          14.965,          37.614,
  1429365658.000,,          34.117,          10.562,          17.821,          39.699,
  1429365659.000,,          31.713,           7.881,          20.649,          41.645,
  1429365660.000,,          29.202,           5.609,          23.425,          43.443,
  1429365661.000,          45.355,          26.593,           4.481,          26.133,          45.087,
  1429365662.000,          43.739,          23.899,           5.301,          28.757,,
  1429365663.000,          41.967,          21.133,           7.445,          31.286,,
  1429365664.000,          40.046,          18.313,          10.083,          33.709,,
  1429365665.000,          37.985,          15.459,          12.890,          36.016,,
  1429365666.000,          35.790,          12.605,          15.746,          38.198,,
  1429365667.000,          33.471,           9.808,          18.597,          40.245,,
  1429365668.000,          31.037,           7.199,          21.413,          42.151,,
  1429365669.000,          28.497,           5.140,          24.172,          43.908,,
  1429365670.000,          25.864,           4.510,          26.858,          45.508,,          44.929
  1429365671.000,          23.149,           5.803,          29.458,,,          43.269
  1429365672.000,          20.367,           8.138,          31.959,,,          41.456
  1429365673.000,          17.535,          10.841,          34.351,,,          39.496
  1429365674.000,          14.677,          13.669,          36.625,,,          37.397
  1429365675.000,          11.831,          16.528,          38.771,,,          35.168
  1429365676.000,           9.067,          19.372,          40.780,,,          32.816
  1429365677.000,           6.556,          22.174,          42.646,,,          30.352
  1429365678.000,           4.778,          24.915,          44.361,,,          27.786
  1429365679.000,           4.696,          27.578,,,          44.490,          25.129
  1429365680.000,           6.377,          30.152,,,          42.788,          22.394
  1429365681.000,           8.854,          32.625,,,          40.934,          19.596
  1429365682.000,          11.606,          34.986,,,          38.936,          16.755
  1429365683.000,          14.449,          37.225,,,          36.801,          13.896
  1429365684.000,          17.307,          39.334,,,          34.537,          11.063
  1429365685.000,          20.143,          41.305,,,          32.154,           8.344
  1429365686.000,          22.929,          43.131,,,          29.661,           5.963
  1429365687.000,          25.650,,,,          27.069,           4.548
  1429365688.000,          28.291,,,          44.041,          24.389,           5.022
  1429365689.000,          30.838,,,          42.296,          21.635,           7.007
  1429365690.000,          33.281,,,          40.402,          18.823,           9.591
  1429365691.000,          35.610,,,          38.366,          15.974,          12.379
  1429365692.000,          37.815,,,          36.194,          13.116,          15.231
  1429365693.000,          39.887,,,          33.897,          10.303,          18.087
  1429365694.000,          41.819,,,          31.483,           7.644,          20.911
  1429365695.000,          43.603,,,          28.962,           5.438,          23.681
  1429365696.000,,,,          26.345,           4.472,          26.381
  1429365697.000,,,          43.580,          23.643,           5.463,          28.997
  1429365698.000,,,          41.794,          20.872,           7.679,          31.517
  1429365699.000,,,          39.860,          18.047,          10.341,          33.930
  1429365700.000,,,          37.786,          15.192,          13.156,          36.226
  1429365701.000,,,          35.580,          12.340,          16.014,          38.395
  1429365702.000,,,          33.249,           9.553,          18.863,          40.430
  1429365703.000,,,          30.805,           6.975,          21.674,          42.322
  1429365704.000,,,          28.256,           5.003,          24.427,          44.064
  1429365705.000,,          44.781,          25.615,           4.557,          27.105,          45.650
  1429365706.000,,          43.107,          22.893,           5.992,          29.696,
  1429365707.000,,          41.279,          20.105,           8.380,          32.188,
  1429365708.000,,          39.306,          17.270,          11.102,          34.570,
  1429365709.000,,          37.195,          14.411,          13.936,          36.831,
  1429365710.000,,          34.954,          11.569,          16.795,          38.965,
