Time Stamp,GPS-001 L1,GPS-002 L1,GPS-003 L1,GPS-004 L1,GPS-005 L1,GPS-006 L1,GPS-007 L1,GPS-008 L1,GPS-009 L1,GPS-010 L1,GPS-011 L1,GPS-012 L1,GPS-013 L1,GPS-014 L1,GPS-015 L1,GPS-016 L1,GPS-017 L1,GPS-018 L1,GPS-019 L1,GPS-020 L1,GPS-021 L1,GPS-022 L1,GPS-023 L1,GPS-024 L1,GPS-025 L1,GPS-026 L1,GPS-027 L1,GPS-028 L1,GPS-029 L1,GPS-030 L1
  1429365601.000,,,    24466494.081,,,,,,    24282335.845,,,,,    20692427.504,    24879106.921,,,    21953129.438,    21607192.882,,,    23698060.891,    20732544.747,,,,    21297663.495,    24136669.745,,
  1429365602.000,,,    24466176.779,,,,,,    24282411.302,,,,,    20692466.084,    24879882.251,,,    21952641.262,    21607605.531,,,    23697497.364,    20732767.088,,,,    21297297.627,    24137239.760,,
  1429365603.000,,,    24465859.267,,,,,,    24282487.199,,,,,    20692504.968,    24880657.399,,,    21952153.383,    21608017.992,,,    23696934.132,    20732989.416,,,,    21296931.695,    24137809.682,,
  1429365604.000,,,    24465541.571,,,,,,    24282563.553,,,,,    20692544.144,    24881432.329,,,    21951665.804,    21608430.265,,,    23696371.168,    20733211.744,,,,    21296565.683,    24138379.550,,
  1429365605.000,,,    24465223.718,,,,,,    24282640.374,,,,,    20692583.598,    24882207.010,,,    21951178.528,    21608842.354,,,    23695808.441,    20733434.083,,,,    21296199.577,    24138949.404,,
  1429365606.000,,,    24464905.741,,,,,,    24282717.670,,,,,    20692623.315,    24882981.412,,,    21950691.551,    21609254.267,,,    23695245.918,    20733656.448,,,,    21295833.363,    24139519.282,,
  1429365607.000,,,    24464587.674,,,,,,    24282795.442,,,,,    20692663.275,    24883755.512,,,    21950204.868,    21609666.014,,,    23694683.562,    20733878.851,,,,    21295467.033,    24140089.228,,
  1429365608.000,,,    24464269.556,,,,,,    24282873.687,,,,,    20692703.461,    24884529.290,,,    21949718.468,    21610077.611,,,    23694121.337,    20734101.308,,,,    21295100.582,    24140659.281,,
  1429365609.000,,,    24463951.425,,,,,,    24282952.394,,,,,    20692743.852,    24885302.731,,,    21949232.340,    21610489.074,,,    23693559.203,    20734323.834,,,,    21294734.008,    24141229.483,,
  1429365610.000,,,    24463633.324,,,,,,    24283031.552,,,,,    20692784.426,    24886075.823,,,    21948746.466,    21610900.423,,,    23692997.120,    20734546.442,,,,    21294367.311,    24141799.873,,
  1429365611.000,,,    24463315.294,,,,,,    24283111.141,,,,,    20692825.160,    24886848.563,,,    21948260.826,    21611311.682,,,    23692435.049,    20734769.149,,,,    21294000.497,    24142370.488,,
  1429365612.000,,,    24462997.379,,,,,,    24283191.140,,,,,    20692866.033,    24887620.949,,,    21947775.399,    21611722.876,,,    23691872.949,    20734991.967,,,,    21293633.572,    24142941.363,,
  1429365613.000,,,    24462679.620,,,,,,    24283271.520,,,,,    20692907.022,    24888392.987,,,    21947290.159,    21612134.032,,,    23691310.781,    20735214.912,,,,    21293266.548,    24143512.531,,
  1429365614.000,,,    24462362.058,,,,,,    24283352.252,,,,,    20692948.104,    24889164.686,,,    21946805.080,    21612545.177,,,    23690748.509,    20735437.995,,,,    21292899.438,    24144084.022,,
