Time Stamp,GAL-001 E1,GAL-002 E1,GAL-003 E1,GAL-004 E1,GAL-005 E1,GAL-006 E1
  1429365601.000,,          43.592,          23.663,           5.451,          28.980,
  1429365601.100,,          43.420,          23.389,           5.635,          29.236,
  1429365601.200,,          43.247,          23.114,           5.829,          29.492,
  1429365601.300,,          43.072,          22.838,           6.033,          29.747,
  1429365601.400,,          42.896,          22.562,           6.246,          30.000,
  1429365601.500,,          42.718,          22.285,           6.467,          30.253,
  1429365601.600,,          42.539,          22.008,           6.694,          30.504,
  1429365601.700,,          42.358,          21.730,           6.928,          30.755,
  1429365601.800,,          42.176,          21.451,           7.168,          31.004,
  1429365601.900,,          41.992,          21.172,           7.412,          31.253,
  1429365602.000,,          41.807,          20.892,           7.662,          31.500,
  1429365602.100,,          41.620,          20.612,           7.915,          31.747,
  1429365602.200,,          41.432,          20.331,           8.172,          31.992,
  1429365602.300,,          41.242,          20.050,           8.432,          32.236,
  1429365602.400,,          41.051,          19.768,           8.695,          32.479,
  1429365602.500,,          40.858,          19.485,           8.961,          32.721,
  1429365602.600,,          40.664,          19.203,           9.230,          32.962,
  1429365602.700,,          40.469,          18.920,           9.500,          33.202,
  1429365602.800,,          40.272,          18.636,           9.772,          33.440,
  1429365602.900,,          40.073,          18.352,          10.047,          33.678,
  1429365603.000,,          39.874,          18.068,          10.322,          33.914,
  1429365603.100,,          39.673,          17.783,          10.599,          34.149,
  1429365603.200,,          39.470,          17.498,          10.878,          34.383,
  1429365603.300,,          39.266,          17.213,          11.157,          34.615,
  1429365603.400,,          39.061,          16.928,          11.438,          34.847,
  1429365603.500,,          38.854,          16.642,          11.719,          35.077,
  1429365603.600,,          38.646,          16.357,          12.001,          35.306,
  1429365603.700,,          38.437,          16.071,          12.284,          35.534,
  1429365603.800,,          38.226,          15.785,          12.568,          35.761,
  1429365603.900,,          38.014,          15.499,          12.852,          35.986,
  1429365604.000,,          37.800,          15.213,          13.137,          36.210,
  1429365604.100,,          37.586,          14.926,          13.421,          36.433,
  1429365604.200,,          37.370,          14.640,          13.707,          36.655,
  1429365604.300,,          37.152,          14.355,          13.992,          36.875,
  1429365604.400,,          36.934,          14.069,          14.278,          37.094,
  1429365604.500,,          36.714,          13.783,          14.564,          37.312,
  1429365604.600,,          36.492,          13.498,          14.850,          37.528,
  1429365604.700,,          36.270,          13.213,          15.136,          37.743,
  1429365604.800,,          36.046,          12.928,          15.422,          37.957,
  1429365604.900,,          35.821,          12.644,          15.708,          38.169,
  1429365605.000,,          35.595,          12.360,          15.994,          38.380,
  1429365605.100,,          35.367,          12.077,          16.280,          38.590,
  1429365605.200,,          35.138,          11.795,          16.566,          38.799,
  1429365605.300,,          34.908,          11.513,          16.851,          39.006,
  1429365605.400,,          34.677,          11.232,          17.137,          39.211,
  1429365605.500,,          34.445,          10.952,          17.422,          39.416,
  1429365605.600,,          34.211,          10.674,          17.707,          39.618,
  1429365605.700,,          33.977,          10.396,          17.992,          39.820,
  1429365605.800,,          33.741,          10.120,          18.276,          40.020,
  1429365605.900,,          33.504,           9.846,          18.560,          40.219,
  1429365606.000,,          33.265,           9.573,          18.844,          40.416,
  1429365606.100,,          33.026,           9.302,          19.127,          40.612,
  1429365606.200,,          32.785,           9.033,          19.410,          40.806,
  1429365606.300,,          32.544,           8.766,          19.692,          40.999,
  1429365606.400,,          32.301,           8.502,          19.974,          41.191,
  1429365606.500,,          32.057,           8.241,          20.255,          41.381,
  1429365606.600,,          31.812,           7.983,          20.536,          41.569,
  1429365606.700,,          31.566,           7.729,          20.817,          41.757,
  1429365606.800,,          31.319,           7.479,          21.097,          41.942,
  1429365606.900,,          31.071,           7.233,          21.376,          42.126,
  1429365607.000,,          30.821,           6.992,          21.655,          42.309,
  1429365607.100,,          30.571,           6.756,          21.933,          42.490,
  1429365607.200,,          30.320,           6.527,          22.211,          42.670,
  1429365607.300,,          30.068,           6.304,          22.488,          42.848,
  1429365607.400,,          29.814,           6.089,          22.764,          43.025,
  1429365607.500,,          29.560,           5.883,          23.040,          43.200,
  1429365607.600,,          29.304,           5.686,          23.315,          43.374,
  1429365607.700,,          29.048,           5.499,          23.589,          43.546,
  1429365607.800,,          28.791,           5.324,          23.863,          43.716,
  1429365607.900,,          28.533,           5.162,          24.136,          43.885,
  1429365608.000,,          28.273,           5.013,          24.408,          44.053,
  1429365608.100,,          28.013,           4.881,          24.680,          44.218,
  1429365608.200,,          27.752,           4.764,          24.950,          44.383,
  1429365608.300,,          27.490,           4.666,          25.220,          44.545,
  1429365608.400,,          27.228,           4.587,          25.490,          44.707,
  1429365608.500,,          26.964,           4.528,          25.758,          44.866,
  1429365608.600,,          26.699,           4.490,          26.025,          45.024,
  1429365608.700,,          26.434,           4.473,          26.292,          45.180,
  1429365608.800,,          26.168,           4.478,          26.558,          45.335,
  1429365608.900,,          25.900,           4.505,          26.823,          45.488,
  1429365609.000,          44.792,          25.632,           4.553,          27.087,          45.640,
  1429365609.100,          44.632,          25.364,           4.621,          27.351,          45.790,
  1429365609.200,          44.470,          25.094,           4.709,          27.613,,
  1429365609.300,          44.306,          24.824,           4.816,          27.874,,
  1429365609.400,          44.141,          24.553,           4.940,          28.135,,
  1429365609.500,          43.975,          24.281,           5.080,          28.395,,
  1429365609.600,          43.806,          24.008,           5.235,          28.653,,
  1429365609.700,          43.637,          23.735,           5.404,          28.911,,
  1429365609.800,          43.465,          23.461,           5.584,          29.168,,
  1429365609.900,          43.293,          23.186,           5.776,          29.424,,
  1429365610.000,          43.118,          22.911,           5.977,          29.679,,
  1429365610.100,          42.942,          22.635,           6.188,          29.933,,
  1429365610.200,          42.765,          22.358,           6.407,          30.186,,
  1429365610.300,          42.586,          22.081,           6.632,          30.437,,
  1429365610.400,          42.406,          21.803,           6.865,          30.688,,
  1429365610.500,          42.224,          21.524,           7.103,          30.938,,
  1429365610.600,          42.041,          21.245,           7.346,          31.187,,
  1429365610.700,          41.856,          20.966,           7.594,          31.434,,
  1429365610.800,          41.669,          20.686,           7.847,          31.681,,
  1429365610.900,          41.481,          20.405,           8.103,          31.927,,
  1429365611.000,          41.292,          20.124,           8.362,          32.171,,
  1429365611.100,          41.101,          19.842,           8.624,          32.414,,
  1429365611.200,          40.909,          19.560,           8.890,          32.657,,
  1429365611.300,          40.716,          19.277,           9.157,          32.898,,
  1429365611.400,          40.520,          18.994,           9.427,          33.138,,
  1429365611.500,          40.324,          18.711,           9.699,          33.377,,
  1429365611.600,          40.126,          18.427,           9.973,          33.614,,
  1429365611.700,          39.927,          18.143,          10.248,          33.851,,
  1429365611.800,          39.726,          17.858,          10.525,          34.086,,
  1429365611.900,          39.524,          17.573,          10.803,          34.320,,
  1429365612.000,          39.320,          17.288,          11.082,          34.553,,
  1429365612.100,          39.115,          17.003,          11.362,          34.785,,
  1429365612.200,          38.909,          16.717,          11.644,          35.016,,
  1429365612.300,          38.701,          16.432,          11.926,          35.245,,
  1429365612.400,          38.492,          16.146,          12.208,          35.473,,
  1429365612.500,          38.282,          15.860,          12.492,          35.700,,
  1429365612.600,          38.070,          15.574,          12.776,          35.926,,
  1429365612.700,          37.857,          15.288,          13.060,          36.150,,
  1429365612.800,          37.643,          15.002,          13.345,          36.374,,
  1429365612.900,          37.427,          14.716,          13.630,          36.596,,
  1429365613.000,          37.210,          14.430,          13.916,          36.816,,
  1429365613.100,          36.992,          14.144,          14.201,          37.036,,
  1429365613.200,          36.772,          13.858,          14.487,          37.254,,
  1429365613.300,          36.551,          13.573,          14.773,          37.470,,
  1429365613.400,          36.329,          13.288,          15.059,          37.686,,
  1429365613.500,          36.105,          13.003,          15.345,          37.900,,
  1429365613.600,          35.881,          12.719,          15.631,          38.113,,
  1429365613.700,          35.655,          12.435,          15.917,          38.324,,
  1429365613.800,          35.428,          12.151,          16.203,          38.534,,
  1429365613.900,          35.199,          11.869,          16.489,          38.743,,
  1429365614.000,          34.969,          11.587,          16.775,          38.950,,
  1429365614.100,          34.739,          11.306,          17.060,          39.156,,
  1429365614.200,          34.507,          11.026,          17.345,          39.361,,
  1429365614.300,          34.273,          10.747,          17.630,          39.564,,
  1429365614.400,          34.039,          10.469,          17.915,          39.766,,
  1429365614.500,          33.803,          10.193,          18.200,          39.967,,
  1429365614.600,          33.566,           9.918,          18.484,          40.166,,
  1429365614.700,          33.329,           9.644,          18.767,          40.363,,
  1429365614.800,          33.089,           9.373,          19.051,          40.560,,
  1429365614.900,          32.849,           9.103,          19.334,          40.754,,
  1429365615.000,          32.608,           8.836,          19.616,          40.948,,
  1429365615.100,          32.365,           8.571,          19.898,          41.140,,
  1429365615.200,          32.122,           8.309,          20.180,          41.330,,
  1429365615.300,          31.877,           8.051,          20.461,          41.519,,
  1429365615.400,          31.631,           7.795,          20.742,          41.707,,
  1429365615.500,          31.385,           7.544,          21.022,          41.893,,
  1429365615.600,          31.137,           7.297,          21.301,          42.077,,
  1429365615.700,          30.888,           7.054,          21.580,          42.260,,
  1429365615.800,          30.638,           6.817,          21.859,          42.442,,
  1429365615.900,          30.387,           6.586,          22.136,          42.622,,
  1429365616.000,          30.135,           6.362,          22.414,          42.801,,
  1429365616.100,          29.881,           6.145,          22.690,          42.978,,
  1429365616.200,          29.627,           5.936,          22.966,          43.153,,
  1429365616.300,          29.372,           5.736,          23.241,          43.327,,
  1429365616.400,          29.116,           5.547,          23.516,          43.500,,
  1429365616.500,          28.859,           5.369,          23.790,          43.671,,
  1429365616.600,          28.601,           5.203,          24.063,          43.840,,
