Time Stamp,GAL-001 E1,GAL-002 E1,GAL-003 E1,GAL-004 E1,GAL-005 E1,GAL-006 E1
  1429365600.100,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365600.200,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365600.300,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365600.400,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365600.500,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365600.600,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365600.700,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365600.800,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365600.900,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365601.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365601.100,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365601.200,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365601.300,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365601.400,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365601.500,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365601.600,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365601.700,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365601.800,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365601.900,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365602.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365602.100,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365602.200,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365602.300,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365602.400,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365602.500,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365602.600,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365602.700,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365602.800,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365602.900,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365603.000,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365603.100,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
  1429365603.200,          27.115,          27.116,          27.116,          27.115,          27.115,          27.115
