Time Stamp,GPS-001 L1,GPS-002 L1,GPS-003 L1,GPS-004 L1,GPS-005 L1,GPS-006 L1,GPS-007 L1,GPS-008 L1,GPS-009 L1,GPS-010 L1,GPS-011 L1,GPS-012 L1,GPS-013 L1,GPS-014 L1,GPS-015 L1,GPS-016 L1,GPS-017 L1,GPS-018 L1,GPS-019 L1,GPS-020 L1,GPS-021 L1,GPS-022 L1,GPS-023 L1,GPS-024 L1,GPS-025 L1,GPS-026 L1,GPS-027 L1,GPS-028 L1,GPS-029 L1,GPS-030 L1
  1429365601.000,,,   128572106.309,,,,,,   127604691.058,,,,,   108739541.573,   130740523.485,,,   115364606.623,   113546426.823,,,   124534318.164,   108950201.698,,,,   111919902.070,   126838933.219,,
  1429365602.000,,,   128570449.542,,,,,,   127605084.028,,,,,   108739738.773,   130744595.302,,,   115362036.912,   113548600.618,,,   124531346.478,   108951373.903,,,,   111917979.734,   126841938.783,,
  1429365603.000,,,   128568797.410,,,,,,   127605475.416,,,,,   108739934.516,   130748667.162,,,   115359465.220,   113550777.239,,,   124528371.098,   108952547.865,,,,   111916058.729,   126844948.103,,
  1429365604.000,,,   128567149.442,,,,,,   127605866.051,,,,,   108740129.070,   130752738.361,,,   115356892.154,   113552956.126,,,   124525392.373,   108953723.497,,,,   111914138.534,   126847961.143,,
  1429365605.000,,,   128565504.939,,,,,,   127606256.852,,,,,   108740322.825,   130756808.241,,,   115354318.422,   113555136.600,,,   124522410.875,   108954900.632,,,,   111912218.611,   126850977.656,,
  1429365606.000,,,   128563863.019,,,,,,   127606648.768,,,,,   108740516.264,   130760876.225,,,   115351744.782,   113557317.903,,,   124519427.357,   108956079.032,,,,   111910298.444,   126853997.201,,
  1429365607.000,,,   128562222.670,,,,,,   127607042.719,,,,,   108740709.933,   130764941.855,,,   115349172.004,   113559499.249,,,   124516442.711,   108957258.405,,,,   111908377.564,   126857019.170,,
  1429365608.000,,,   128560582.813,,,,,,   127607439.537,,,,,   108740904.411,   130769004.823,,,   115346600.815,   113561679.871,,,   124513457.910,   108958438.418,,,,   111906455.584,   126860042.825,,
  1429365609.000,,,   128558942.369,,,,,,   127607839.919,,,,,   108741100.270,   130773064.986,,,   115344031.858,   113563859.066,,,   124510473.949,   108959618.724,,,,   111904532.220,   126863067.345,,
  1429365610.000,,,   128557300.327,,,,,,   127608244.379,,,,,   108741298.041,   130777122.374,,,   115341465.648,   113566036.244,,,   124507491.782,   108960798.982,,,,   111902607.312,   126866091.877,,
  1429365611.000,,,   128555655.806,,,,,,   127608653.221,,,,,   108741498.183,   130781177.195,,,   115338902.545,   113568210.960,,,   124504512.262,   108961978.873,,,,   111900680.828,   126869115.586,,
  1429365612.000,,,   128554008.109,,,,,,   127609066.514,,,,,   108741701.052,   130785229.815,,,   115336342.729,   113570382.946,,,   124501536.092,   108963158.126,,,,   111898752.870,   126872137.714,,
  1429365613.000,,,   128552356.770,,,,,,   127609484.091,,,,,   108741906.876,   130789280.741,,,   115333786.186,   113572552.122,,,   124498563.775,   108964336.533,,,,   111896823.671,   126875157.617,,
  1429365614.000,,,   128550701.577,,,,,,   127609905.561,,,,,   108742115.750,   130793330.584,,,   115331232.715,   113574718.608,,,   124495595.589,   108965513.962,,,,   111894893.573,   126878174.815,,
  1429365615.000,,,   128549042.589,,,,,,   127610330.331,,,,,   108742327.621,   130797380.022,,,   115328681.936,   113576882.710,,,   124492631.563,   108966690.363,,,,   111892963.009,   126881189.014,,
  1429365616.000,,,   128547380.134,,,,,,   127610757.641,,,,,   108742542.295,   130801429.763,,,   115326133.316,   113579044.907,,,   124489671.481,   108967865.775,,,,   111891032.478,   126884200.130,,
  1429365617.000,,,   128545714.783,,,,,,   127611186.617,,,,,   108742759.449,   130805480.496,,,   115323586.200,   113581205.815,,,   124486714.895,   108969040.321,,,,   111889102.513,   126887208.291,,
  1429365618.000,,,   128544047.320,,,,,,   127611616.318,,,,,   108742978.651,   130809532.849,,,   115321039.854,   113583366.154,,,   124483761.148,   108970214.201,,,,   111887173.646,   126890213.830,,
  1429365619.000,,,   128542378.690,,,,,,   127612045.801,,,,,   108743199.389,   130813587.350,,,   115318493.509,   113585526.701,,,   124480809.421,   108971387.681,,,,   111885246.377,   126893217.263,,
  1429365620.000,,,   128540709.943,,,,,,   127612474.176,,,,,   108743421.096,   130817644.396,,,   115315946.410,   113587688.242,,,   124477858.780,   108972561.074,,,,   111883321.142,   126896219.260,,
  1429365621.000,,,   128539042.164,,,,,,   127612900.661,,,,,   108743643.192,   130821704.225,,,   115313397.864,   113589851.521,,,   124474908.233,   108973734.721,,,,   111881398.287,   126899220.600,,
  1429365622.000,,,   128537376.412,,,,,,   127613324.633,,,,,   108743865.120,   130825766.906,,,   115310847.279,   113592017.198,,,   124471956.799,   108974908.974,,,,   111879478.044,   126902222.124,,
  1429365623.000,,,   128535713.648,,,,,,   127613745.665,,,,,   108744086.373,   130829832.329,,,   115308294.204,   113594185.805,,,   124469003.559,   108976084.166,,,,   111877560.521,   126905224.683,,
  1429365624.000,,,   128534054.680,,,,,,   127614163.552,,,,,   108744306.537,   130833900.214,,,   115305738.357,   113596357.712,,,   124466047.720,   108977260.600,,,,   111875645.691,   126908229.087,,
  1429365625.000,,,   128532400.112,,,,,,   127614578.325,,,,,   108744525.304,   130837970.133,,,   115303179.642,   113598533.107,,,   124463088.662,   108978438.522,,,,   111873733.394,   126911236.048,,
