Time Stamp,GAL-001 E1,GAL-002 E1,GAL-003 E1,GAL-004 E1,GAL-005 E1,GAL-006 E1
  1429365601.000,           5.084,           9.571,          22.928,          29.900,          24.377,          12.656
  1429365602.000,           6.671,           7.593,          21.232,          28.824,          24.159,          13.803
  1429365603.000,           8.881,           5.597,          18.950,          27.101,          23.410,          14.840
  1429365604.000,          11.510,           4.462,          16.185,          24.832,          22.252,          15.910
  1429365605.000,          14.418,           5.477,          13.086,          22.145,          20.839,          17.117
  1429365606.000,          17.464,           8.099,           9.863,          19.193,          19.332,          18.494
  1429365607.000,          20.495,          11.259,           6.850,          16.135,          17.878,          19.987
  1429365608.000,          23.352,          14.459,           4.759,          13.131,          16.572,          21.473
  1429365609.000,          25.875,          17.435,           4.750,          10.328,          15.434,          22.795
  1429365610.000,          27.922,          20.006,           6.429,           7.862,          14.394,          23.793
  1429365611.000,          29.374,          22.043,           8.476,           5.889,          13.327,          24.324
  1429365612.000,          30.148,          23.464,          10.347,           4.675,          12.090,          24.283
  1429365613.000,          30.196,          24.230,          11.906,           4.592,          10.573,          23.603
  1429365614.000,          29.517,          24.354,          13.175,           5.676,           8.740,          22.269
  1429365615.000,          28.151,          23.893,          14.257,           7.567,           6.699,          20.309
  1429365616.000,          26.177,          22.949,          15.292,           9.978,           4.911,          17.803
  1429365617.000,          23.709,          21.661,          16.412,          12.744,           4.618,          14.872
  1429365618.000,          20.888,          20.187,          17.694,          15.730,           6.496,          11.689
  1429365619.000,          17.870,          18.687,          19.133,          18.789,           9.441,           8.503
  1429365620.000,          14.817,          17.290,          20.640,          21.765,          12.660,           5.763
  1429365621.000,          11.883,          16.060,          22.076,          24.496,          15.789,           4.460
  1429365622.000,           9.209,          14.977,          23.276,          26.829,          18.608,           5.366
  1429365623.000,           6.934,          13.944,          24.088,          28.631,          20.961,           7.319
  1429365624.000,           5.248,          12.820,          24.382,          29.797,          22.739,           9.323
  1429365625.000,           4.484,          11.471,          24.069,          30.259,          23.878,          11.063
  1429365626.000,           4.938,           9.815,          23.105,          29.990,          24.361,          12.488
  1429365627.000,           6.419,           7.866,          21.493,          29.006,          24.221,          13.661
  1429365628.000,           8.561,           5.841,          19.284,          27.364,          23.536,          14.704
  1429365629.000,          11.142,           4.507,          16.575,          25.160,          22.424,          15.761
  1429365630.000,          14.021,           5.219,          13.510,          22.520,          21.035,          16.947
  1429365631.000,          17.057,           7.704,          10.288,          19.594,          19.532,          18.303
  1429365632.000,          20.099,          10.830,           7.219,          16.541,          18.064,          19.786
  1429365633.000,          22.988,          14.043,           4.939,          13.521,          16.736,          21.281
  1429365634.000,          25.564,          17.060,           4.620,          10.684,          15.577,          22.635
  1429365635.000,          27.682,          19.693,           6.165,           8.165,          14.531,          23.684
  1429365636.000,          29.219,          21.807,           8.209,           6.115,          13.476,          24.285
  1429365637.000,          30.086,          23.312,          10.115,           4.778,          12.269,          24.324
  1429365638.000,          30.232,          24.166,          11.717,           4.530,          10.792,          23.732
  1429365639.000,          29.648,          24.373,          13.021,           5.478,           9.000,          22.483
  1429365640.000,          28.369,          23.984,          14.119,           7.282,           6.971,          20.603
  1429365641.000,          26.470,          23.097,          15.152,           9.634,           5.098,          18.163
  1429365642.000,          24.060,          21.846,          16.255,          12.361,           4.520,          15.279
  1429365643.000,          21.277,          20.388,          17.514,          15.326,           6.159,          12.118
  1429365644.000,          18.276,          18.883,          18.935,          18.384,           9.024,           8.913
  1429365645.000,          15.219,          17.467,          20.441,          21.380,          12.232,           6.073
  1429365646.000,          12.260,          16.214,          21.895,          24.153,          15.388,           4.502
  1429365647.000,           9.544,          15.115,          23.136,          26.547,          18.258,           5.152
  1429365648.000,           7.208,          14.083,          24.008,          28.426,          20.680,           7.045
  1429365649.000,           5.428,          12.979,          24.376,          29.682,          22.539,           9.069
  1429365650.000,           4.518,          11.667,          24.148,          30.240,          23.764,          10.851
  1429365651.000,           4.810,          10.053,          23.271,          30.068,          24.334,          12.316
  1429365652.000,           6.178,           8.137,          21.743,          29.176,          24.273,          13.515
  1429365653.000,           8.247,           6.096,          19.608,          27.617,          23.654,          14.568
  1429365654.000,          10.780,           4.592,          16.959,          25.481,          22.591,          15.616
  1429365655.000,          13.626,           4.993,          13.931,          22.891,          21.230,          16.780
  1429365656.000,          16.650,           7.319,          10.716,          19.993,          19.732,          18.114
  1429365657.000,          19.701,          10.402,           7.600,          16.948,          18.252,          19.585
