Time Stamp,GPS-001 L1,GPS-002 L1,GPS-003 L1,GPS-004 L1,GPS-005 L1,GPS-006 L1,GPS-007 L1,GPS-008 L1,GPS-009 L1,GPS-010 L1,GPS-011 L1,GPS-012 L1,GPS-013 L1,GPS-014 L1,GPS-015 L1,GPS-016 L1,GPS-017 L1,GPS-018 L1,GPS-019 L1,GPS-020 L1,GPS-021 L1,GPS-022 L1,GPS-023 L1,GPS-024 L1,GPS-025 L1,GPS-026 L1,GPS-027 L1,GPS-028 L1,GPS-029 L1,GPS-030 L1
  1429365601.000,,,    24466458.329,,,,,,    24282365.328,,,,,    20692446.744,    24879094.398,,,    21953154.705,    21607166.593,,,    23698092.793,    20732534.033,,,,    21297649.224,    24136646.456,,
  1429365602.000,,,    24466143.057,,,,,,    24282440.107,,,,,    20692484.270,    24879869.239,,,    21952665.706,    21607580.253,,,    23697527.300,    20732757.096,,,,    21297283.416,    24137218.396,,
  1429365603.000,,,    24465828.666,,,,,,    24282514.586,,,,,    20692521.519,    24880644.088,,,    21952176.329,    21607994.450,,,    23696961.104,    20732980.494,,,,    21296917.861,    24137791.050,,
  1429365604.000,,,    24465515.068,,,,,,    24282588.921,,,,,    20692558.541,    24881418.811,,,    21951686.691,    21608409.078,,,    23696394.271,    20733204.209,,,,    21296552.460,    24138364.413,,
  1429365605.000,,,    24465202.130,,,,,,    24282663.288,,,,,    20692595.412,    24882193.284,,,    21951196.926,    21608824.009,,,    23695826.911,    20733428.211,,,,    21296187.111,    24138938.436,,
  1429365606.000,,,    24464889.683,,,,,,    24282737.868,,,,,    20692632.222,    24882967.395,,,    21950707.178,    21609239.097,,,    23695259.166,    20733652.453,,,,    21295821.715,    24139513.037,,
  1429365607.000,,,    24464577.535,,,,,,    24282812.834,,,,,    20692669.076,    24883741.059,,,    21950217.595,    21609654.193,,,    23694691.207,    20733876.880,,,,    21295456.184,    24140088.098,,
  1429365608.000,,,    24464265.481,,,,,,    24282888.346,,,,,    20692706.084,    24884514.216,,,    21949728.314,    21610069.152,,,    23694123.218,    20734101.429,,,,    21295090.443,    24140663.480,,
  1429365609.000,,,    24463953.314,,,,,,    24282964.536,,,,,    20692743.354,    24885286.839,,,    21949239.458,    21610483.839,,,    23693555.390,    20734326.034,,,,    21294724.439,    24141239.028,,
  1429365610.000,,,    24463640.844,,,,,,    24283041.502,,,,,    20692780.989,    24886058.935,,,    21948751.124,    21610898.142,,,    23692987.902,    20734550.629,,,,    21294358.141,    24141814.577,,
  1429365611.000,,,    24463327.902,,,,,,    24283119.302,,,,,    20692819.075,    24886830.541,,,    21948263.382,    21611311.977,,,    23692420.918,    20734775.155,,,,    21293991.543,    24142389.970,,
  1429365612.000,,,    24463014.356,,,,,,    24283197.949,,,,,    20692857.679,    24887601.729,,,    21947776.265,    21611725.292,,,    23691854.572,    20734999.559,,,,    21293624.665,    24142965.061,,
  1429365613.000,,,    24462700.117,,,,,,    24283277.412,,,,,    20692896.847,    24888372.595,,,    21947289.771,    21612138.072,,,    23691288.959,    20735223.803,,,,    21293257.551,    24143539.730,,
  1429365614.000,,,    24462385.144,,,,,,    24283357.615,,,,,    20692936.594,    24889143.254,,,    21946803.862,    21612550.341,,,    23690724.132,    20735447.860,,,,    21292890.265,    24144113.883,,
  1429365615.000,,,    24462069.449,,,,,,    24283438.446,,,,,    20692976.912,    24889913.837,,,    21946318.465,    21612962.156,,,    23690160.096,    20735671.722,,,,    21292522.891,    24144687.466,,
  1429365616.000,,,    24461753.094,,,,,,    24283519.760,,,,,    20693017.763,    24890684.477,,,    21945833.478,    21613373.608,,,    23689596.812,    20735895.395,,,,    21292155.524,    24145260.463,,
  1429365617.000,,,    24461436.188,,,,,,    24283601.391,,,,,    20693059.086,    24891455.306,,,    21945348.778,    21613784.815,,,    23689034.192,    20736118.904,,,,    21291788.263,    24145832.897,,
  1429365618.000,,,    24461118.881,,,,,,    24283683.161,,,,,    20693100.799,    24892226.443,,,    21944864.225,    21614195.914,,,    23688472.113,    20736342.286,,,,    21291421.212,    24146404.832,,
  1429365619.000,,,    24460801.351,,,,,,    24283764.889,,,,,    20693142.804,    24892997.989,,,    21944379.671,    21614607.053,,,    23687910.418,    20736565.592,,,,    21291054.465,    24146976.366,,
  1429365620.000,,,    24460483.799,,,,,,    24283846.406,,,,,    20693184.993,    24893770.019,,,    21943894.975,    21615018.380,,,    23687348.929,    20736788.881,,,,    21290688.105,    24147547.627,,
  1429365621.000,,,    24460166.431,,,,,,    24283927.563,,,,,    20693227.257,    24894542.579,,,    21943410.002,    21615430.039,,,    23686787.459,    20737012.219,,,,    21290322.198,    24148118.763,,
  1429365622.000,,,    24459849.449,,,,,,    24284008.242,,,,,    20693269.488,    24895315.681,,,    21942924.642,    21615842.153,,,    23686225.820,    20737235.671,,,,    21289956.788,    24148689.934,,
  1429365623.000,,,    24459533.036,,,,,,    24284088.362,,,,,    20693311.591,    24896089.305,,,    21942438.808,    21616254.825,,,    23685663.837,    20737459.303,,,,    21289591.895,    24149261.302,,
  1429365624.000,,,    24459217.345,,,,,,    24284167.883,,,,,    20693353.487,    24896863.398,,,    21941952.447,    21616668.126,,,    23685101.359,    20737683.171,,,,    21289227.515,    24149833.021,,
  1429365625.000,,,    24458902.491,,,,,,    24284246.812,,,,,    20693395.117,    24897637.878,,,    21941465.539,    21617082.090,,,    23684538.269,    20737907.322,,,,    21288863.617,    24150405.227,,
  1429365626.000,,,    24458588.542,,,,,,    24284325.199,,,,,    20693436.449,    24898412.639,,,    21940978.105,    21617496.716,,,    23683974.489,    20738131.790,,,,    21288500.148,    24150978.029,,
  1429365627.000,,,    24458275.518,,,,,,    24284403.136,,,,,    20693477.476,    24899187.558,,,    21940490.196,    21617911.965,,,    23683409.987,    20738356.593,,,,    21288137.035,    24151551.504,,
  1429365628.000,,,    24457963.383,,,,,,    24284480.750,,,,,    20693518.220,    24899962.502,,,    21940001.899,    21618327.766,,,    23682844.776,    20738581.734,,,,    21287774.190,    24152125.692,,
  1429365629.000,,,    24457652.056,,,,,,    24284558.196,,,,,    20693558.730,    24900737.338,,,    21939513.325,    21618744.013,,,    23682278.919,    20738807.198,,,,    21287411.513,    24152700.590,,
  1429365630.000,,,    24457341.409,,,,,,    24284635.648,,,,,    20693599.075,    24901511.938,,,    21939024.607,    21619160.580,,,    23681712.518,    20739032.955,,,,    21287048.904,    24153276.158,,
  1429365631.000,,,    24457031.279,,,,,,    24284713.287,,,,,    20693639.345,    24902286.190,,,    21938535.888,    21619577.324,,,    23681145.714,    20739258.960,,,,    21286686.263,    24153852.315,,
  1429365632.000,,,    24456721.476,,,,,,    24284791.289,,,,,    20693679.643,    24903060.003,,,    21938047.315,    21619994.094,,,    23680578.672,    20739485.159,,,,    21286323.498,    24154428.951,,
