Time Stamp,GAL-001 E1,GAL-002 E1,GAL-003 E1,GAL-004 E1,GAL-005 E1,GAL-006 E1
  1429365600.100,          23.537,          58.407,         125.614,         159.029,         126.374,          60.024
  1429365600.200,          23.638,          57.574,         125.183,         158.971,         126.702,          60.807
  1429365600.300,          23.805,          56.724,         124.717,         158.874,         126.996,          61.573
  1429365600.400,          24.039,          55.857,         124.216,         158.739,         127.255,          62.323
  1429365600.500,          24.336,          54.972,         123.680,         158.566,         127.480,          63.058
  1429365600.600,          24.696,          54.071,         123.110,         158.354,         127.671,          63.777
  1429365600.700,          25.117,          53.152,         122.505,         158.104,         127.829,          64.481
  1429365600.800,          25.596,          52.217,         121.866,         157.816,         127.953,          65.171
  1429365600.900,          26.130,          51.265,         121.193,         157.490,         128.045,          65.847
  1429365601.000,          26.719,          50.298,         120.485,         157.126,         128.103,          66.510
  1429365601.100,          27.359,          49.315,         119.743,         156.725,         128.129,          67.159
  1429365601.200,          28.047,          48.317,         118.968,         156.286,         128.122,          67.797
  1429365601.300,          28.782,          47.304,         118.159,         155.811,         128.084,          68.423
  1429365601.400,          29.562,          46.278,         117.316,         155.299,         128.014,          69.038
  1429365601.500,          30.383,          45.240,         116.440,         154.750,         127.913,          69.642
  1429365601.600,          31.245,          44.190,         115.532,         154.165,         127.781,          70.237
  1429365601.700,          32.145,          43.130,         114.591,         153.545,         127.620,          70.824
  1429365601.800,          33.082,          42.061,         113.617,         152.889,         127.428,          71.402
  1429365601.900,          34.054,          40.984,         112.612,         152.198,         127.208,          71.973
  1429365602.000,          35.059,          39.902,         111.576,         151.473,         126.959,          72.537
  1429365602.100,          36.096,          38.817,         110.508,         150.713,         126.681,          73.095
  1429365602.200,          37.163,          37.731,         109.410,         149.920,         126.376,          73.648
  1429365602.300,          38.260,          36.646,         108.282,         149.093,         126.045,          74.197
  1429365602.400,          39.385,          35.566,         107.124,         148.234,         125.686,          74.743
  1429365602.500,          40.537,          34.494,         105.937,         147.342,         125.302,          75.286
  1429365602.600,          41.716,          33.434,         104.721,         146.419,         124.893,          75.827
  1429365602.700,          42.919,          32.391,         103.478,         145.464,         124.460,          76.367
  1429365602.800,          44.147,          31.368,         102.206,         144.479,         124.003,          76.906
  1429365602.900,          45.398,          30.373,         100.908,         143.463,         123.523,          77.446
  1429365603.000,          46.672,          29.411,          99.584,         142.419,         123.020,          77.987
  1429365603.100,          47.967,          28.489,          98.234,         141.345,         122.496,          78.530
  1429365603.200,          49.284,          27.614,          96.860,         140.243,         121.951,          79.075
  1429365603.300,          50.621,          26.796,          95.461,         139.113,         121.386,          79.624
  1429365603.400,          51.977,          26.044,          94.038,         137.957,         120.802,          80.176
  1429365603.500,          53.352,          25.366,          92.593,         136.774,         120.199,          80.733
  1429365603.600,          54.746,          24.774,          91.126,         135.566,         119.579,          81.295
  1429365603.700,          56.157,          24.277,          89.637,         134.333,         118.942,          81.863
  1429365603.800,          57.584,          23.884,          88.129,         133.075,         118.288,          82.437
  1429365603.900,          59.028,          23.605,          86.600,         131.794,         117.620,          83.018
  1429365604.000,          60.487,          23.448,          85.053,         130.491,         116.937,          83.606
  1429365604.100,          61.960,          23.418,          83.489,         129.165,         116.241,          84.202
  1429365604.200,          63.448,          23.519,          81.907,         127.818,         115.532,          84.805
  1429365604.300,          64.949,          23.753,          80.310,         126.451,         114.811,          85.417
  1429365604.400,          66.462,          24.118,          78.697,         125.064,         114.079,          86.038
  1429365604.500,          67.987,          24.612,          77.071,         123.658,         113.338,          86.667
  1429365604.600,          69.524,          25.228,          75.432,         122.234,         112.587,          87.305
  1429365604.700,          71.070,          25.961,          73.781,         120.792,         111.828,          87.953
  1429365604.800,          72.627,          26.803,          72.120,         119.334,         111.061,          88.610
  1429365604.900,          74.192,          27.746,          70.449,         117.861,         110.288,          89.276
  1429365605.000,          75.765,          28.781,          68.770,         116.373,         109.509,          89.952
  1429365605.100,          77.346,          29.899,          67.084,         114.870,         108.725,          90.636
  1429365605.200,          78.933,          31.093,          65.392,         113.355,         107.938,          91.330
  1429365605.300,          80.526,          32.355,          63.696,         111.827,         107.147,          92.034
  1429365605.400,          82.124,          33.678,          61.997,         110.288,         106.354,          92.746
  1429365605.500,          83.726,          35.054,          60.296,         108.738,         105.559,          93.466
  1429365605.600,          85.331,          36.480,          58.596,         107.178,         104.764,          94.195
  1429365605.700,          86.940,          37.948,          56.897,         105.609,         103.969,          94.932
  1429365605.800,          88.550,          39.453,          55.203,         104.032,         103.174,          95.677
  1429365605.900,          90.161,          40.992,          53.513,         102.448,         102.381,          96.429
  1429365606.000,          91.772,          42.560,          51.831,         100.858,         101.591,          97.188
  1429365606.100,          93.382,          44.154,          50.159,          99.262,         100.803,          97.954
  1429365606.200,          94.991,          45.770,          48.499,          97.662,         100.019,          98.725
  1429365606.300,          96.597,          47.405,          46.853,          96.057,          99.239,          99.501
  1429365606.400,          98.200,          49.056,          45.224,          94.450,          98.465,         100.282
  1429365606.500,          99.799,          50.720,          43.615,          92.840,          97.695,         101.067
  1429365606.600,         101.393,          52.396,          42.030,          91.230,          96.932,         101.856
  1429365606.700,         102.981,          54.080,          40.471,          89.619,          96.175,         102.647
  1429365606.800,         104.563,          55.772,          38.943,          88.008,          95.426,         103.441
  1429365606.900,         106.137,          57.468,          37.449,          86.398,          94.683,         104.235
  1429365607.000,         107.703,          59.167,          35.995,          84.791,          93.949,         105.031
  1429365607.100,         109.259,          60.867,          34.585,          83.186,          93.222,         105.826
  1429365607.200,         110.806,          62.567,          33.226,          81.585,          92.505,         106.620
  1429365607.300,         112.341,          64.266,          31.923,          79.989,          91.795,         107.412
  1429365607.400,         113.865,          65.960,          30.683,          78.398,          91.095,         108.202
  1429365607.500,         115.376,          67.650,          29.513,          76.812,          90.404,         108.988
  1429365607.600,         116.874,          69.334,          28.422,          75.234,          89.722,         109.770
  1429365607.700,         118.357,          71.011,          27.417,          73.663,          89.050,         110.547
  1429365607.800,         119.825,          72.678,          26.508,          72.101,          88.387,         111.318
  1429365607.900,         121.277,          74.336,          25.701,          70.548,          87.733,         112.082
  1429365608.000,         122.713,          75.983,          25.006,          69.005,          87.088,         112.839
  1429365608.100,         124.131,          77.618,          24.430,          67.472,          86.453,         113.587
  1429365608.200,         125.531,          79.240,          23.979,          65.951,          85.827,         114.325
  1429365608.300,         126.911,          80.847,          23.658,          64.441,          85.209,         115.053
  1429365608.400,         128.271,          82.439,          23.469,          62.945,          84.600,         115.770
  1429365608.500,         129.611,          84.015,          23.412,          61.462,          83.999,         116.474
  1429365608.600,         130.930,          85.574,          23.485,          59.993,          83.406,         117.166
  1429365608.700,         132.226,          87.115,          23.684,          58.539,          82.820,         117.844
  1429365608.800,         133.499,          88.636,          24.002,          57.101,          82.242,         118.508
  1429365608.900,         134.748,          90.138,          24.431,          55.679,          81.670,         119.156
  1429365609.000,         135.973,          91.620,          24.961,          54.273,          81.104,         119.787
  1429365609.100,         137.173,          93.079,          25.583,          52.886,          80.543,         120.402
  1429365609.200,         138.347,          94.517,          26.287,          51.517,          79.988,         120.998
  1429365609.300,         139.494,          95.932,          27.063,          50.167,          79.437,         121.576
  1429365609.400,         140.614,          97.322,          27.900,          48.837,          78.889,         122.134
  1429365609.500,         141.707,          98.689,          28.792,          47.527,          78.345,         122.672
  1429365609.600,         142.771,         100.030,          29.728,          46.239,          77.803,         123.189
  1429365609.700,         143.806,         101.345,          30.702,          44.973,          77.262,         123.684
  1429365609.800,         144.811,         102.634,          31.707,          43.729,          76.722,         124.157
  1429365609.900,         145.786,         103.896,          32.737,          42.509,          76.183,         124.606
  1429365610.000,         146.730,         105.131,          33.787,          41.314,          75.643,         125.031
  1429365610.100,         147.643,         106.337,          34.851,          40.144,          75.101,         125.432
  1429365610.200,         148.523,         107.514,          35.926,          39.001,          74.557,         125.807
  1429365610.300,         149.372,         108.662,          37.008,          37.885,          74.011,         126.156
  1429365610.400,         150.187,         109.780,          38.093,          36.798,          73.460,         126.479
  1429365610.500,         150.969,         110.868,          39.180,          35.741,          72.905,         126.775
  1429365610.600,         151.717,         111.925,          40.264,          34.714,          72.345,         127.043
  1429365610.700,         152.431,         112.951,          41.344,          33.720,          71.779,         127.282
  1429365610.800,         153.110,         113.945,          42.418,          32.760,          71.205,         127.493
  1429365610.900,         153.754,         114.908,          43.485,          31.836,          70.625,         127.675
  1429365611.000,         154.363,         115.838,          44.541,          30.948,          70.035,         127.826
  1429365611.100,         154.935,         116.735,          45.588,          30.100,          69.437,         127.947
  1429365611.200,         155.472,         117.600,          46.622,          29.292,          68.829,         128.038
  1429365611.300,         155.972,         118.431,          47.643,          28.527,          68.210,         128.097
  1429365611.400,         156.435,         119.229,          48.651,          27.807,          67.581,         128.125
  1429365611.500,         156.861,         119.993,          49.644,          27.135,          66.939,         128.120
  1429365611.600,         157.249,         120.724,          50.622,          26.512,          66.285,         128.084
  1429365611.700,         157.600,         121.420,          51.584,          25.942,          65.618,         128.014
  1429365611.800,         157.914,         122.082,          52.530,          25.425,          64.938,         127.912
  1429365611.900,         158.189,         122.709,          53.460,          24.966,          64.243,         127.777
  1429365612.000,         158.426,         123.302,          54.373,          24.566,          63.534,         127.608
  1429365612.100,         158.625,         123.861,          55.268,          24.226,          62.810,         127.405
  1429365612.200,         158.786,         124.385,          56.147,          23.950,          62.070,         127.168
  1429365612.300,         158.908,         124.874,          57.009,          23.739,          61.314,         126.898
  1429365612.400,         158.991,         125.328,          57.853,          23.593,          60.543,         126.593
  1429365612.500,         159.036,         125.748,          58.681,          23.515,          59.754,         126.253
  1429365612.600,         159.043,         126.134,          59.491,          23.504,          58.949,         125.879
  1429365612.700,         159.010,         126.484,          60.285,          23.560,          58.128,         125.471
  1429365612.800,         158.940,         126.801,          61.062,          23.684,          57.289,         125.027
  1429365612.900,         158.830,         127.082,          61.823,          23.873,          56.433,         124.550
  1429365613.000,         158.682,         127.330,          62.567,          24.129,          55.560,         124.037
  1429365613.100,         158.496,         127.544,          63.297,          24.447,          54.669,         123.490
  1429365613.200,         158.271,         127.724,          64.011,          24.828,          53.762,         122.908
  1429365613.300,         158.008,         127.870,          64.710,          25.268,          52.838,         122.292
  1429365613.400,         157.707,         127.984,          65.395,          25.766,          51.897,         121.641
  1429365613.500,         157.368,         128.064,          66.067,          26.319,          50.940,         120.956
  1429365613.600,         156.992,         128.111,          66.725,          26.925,          49.967,         120.237
  1429365613.700,         156.578,         128.126,          67.370,          27.581,          48.979,         119.484
  1429365613.800,         156.127,         128.108,          68.004,          28.285,          47.976,         118.697
  1429365613.900,         155.639,         128.059,          68.626,          29.036,          46.959,         117.877
  1429365614.000,         155.115,         127.979,          69.237,          29.829,          45.929,         117.023
  1429365614.100,         154.554,         127.868,          69.839,          30.665,          44.887,         116.136
  1429365614.200,         153.957,         127.726,          70.431,          31.540,          43.833,         115.216
  1429365614.300,         153.325,         127.555,          71.014,          32.453,          42.770,         114.265
  1429365614.400,         152.657,         127.353,          71.590,          33.401,          41.698,         113.281
