Time Stamp,GAL-001 E1,GAL-002 E1,GAL-003 E1,GAL-004 E1,GAL-005 E1,GAL-006 E1
  1429365600.100,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365600.200,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365600.300,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365600.400,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365600.500,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365600.600,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365600.700,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365600.800,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365600.900,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365601.000,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365601.100,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365601.200,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365601.300,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365601.400,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365601.500,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365601.600,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365601.700,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365601.800,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365601.900,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365602.000,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365602.100,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365602.200,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365602.300,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365602.400,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365602.500,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365602.600,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365602.700,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365602.800,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365602.900,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365603.000,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365603.100,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365603.200,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365603.300,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365603.400,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365603.500,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365603.600,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365603.700,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365603.800,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365603.900,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365604.000,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365604.100,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365604.200,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365604.300,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365604.400,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365604.500,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365604.600,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365604.700,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365604.800,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365604.900,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365605.000,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365605.100,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365605.200,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365605.300,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365605.400,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365605.500,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365605.600,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365605.700,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365605.800,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365605.900,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365606.000,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365606.100,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365606.200,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365606.300,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365606.400,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365606.500,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365606.600,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365606.700,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365606.800,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365606.900,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365607.000,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365607.100,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365607.200,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365607.300,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365607.400,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365607.500,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365607.600,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365607.700,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365607.800,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365607.900,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365608.000,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365608.100,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365608.200,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365608.300,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365608.400,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365608.500,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365608.600,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365608.700,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365608.800,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365608.900,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365609.000,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365609.100,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365609.200,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365609.300,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365609.400,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365609.500,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365609.600,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365609.700,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
  1429365609.800,          16.194,          12.052,          12.052,          16.194,          12.052,          12.052
