Time Stamp,GAL-001 E1,GAL-002 E1,GAL-003 E1,GAL-004 E1,GAL-005 E1,GAL-006 E1
  1429365601.000,          26.719,          50.298,         120.485,         157.126,         128.103,          66.510
  1429365602.000,          35.059,          39.902,         111.576,         151.473,         126.959,          72.537
  1429365603.000,          46.672,          29.411,          99.584,         142.419,         123.020,          77.987
  1429365604.000,          60.487,          23.448,          85.053,         130.491,         116.937,          83.606
  1429365605.000,          75.765,          28.781,          68.770,         116.373,         109.509,          89.952
  1429365606.000,          91.772,          42.560,          51.831,         100.858,         101.591,          97.188
  1429365607.000,         107.703,          59.167,          35.995,          84.791,          93.949,         105.031
  1429365608.000,         122.713,          75.983,          25.006,          69.005,          87.088,         112.839
  1429365609.000,         135.973,          91.620,          24.961,          54.273,          81.104,         119.787
  1429365610.000,         146.730,         105.131,          33.787,          41.314,          75.643,         125.031
  1429365611.000,         154.363,         115.838,          44.541,          30.948,          70.035,         127.826
  1429365612.000,         158.426,         123.302,          54.373,          24.566,          63.534,         127.608
  1429365613.000,         158.682,         127.330,          62.567,          24.129,          55.560,         124.037
  1429365614.000,         155.115,         127.979,          69.237,          29.829,          45.929,         117.023
  1429365615.000,         147.934,         125.556,          74.921,          39.766,          35.203,         106.726
  1429365616.000,         137.559,         120.598,          80.359,          52.434,          25.806,          93.553
  1429365617.000,         124.591,         113.828,          86.245,          66.971,          24.269,          78.151
  1429365618.000,         109.766,         106.084,          92.984,          82.661,          34.135,          61.424
  1429365619.000,          93.908,          98.203,         100.544,          98.738,          49.615,          44.681
  1429365620.000,          77.863,          90.860,         108.466,         114.375,          66.531,          30.283
  1429365621.000,          62.445,          84.396,         116.008,         128.726,          82.973,          23.438
  1429365622.000,          48.395,          78.706,         122.318,         140.987,          97.787,          28.198
  1429365623.000,          36.441,          73.275,         126.583,         150.457,         110.152,          38.463
  1429365624.000,          27.578,          67.367,         128.129,         156.585,         119.494,          48.991
  1429365625.000,          23.562,          60.281,         126.484,         159.014,         125.478,          58.138
  1429365626.000,          25.949,          51.579,         121.417,         157.601,         128.018,          65.627
  1429365627.000,          33.732,          41.337,         112.945,         152.428,         127.283,          71.786
  1429365628.000,          44.986,          30.696,         101.336,         143.799,         123.682,          77.269
  1429365629.000,          58.553,          23.684,          87.103,         132.216,         117.840,          82.827
  1429365630.000,          73.678,          27.427,          70.997,         118.345,         110.542,          89.057
  1429365631.000,          89.633,          40.485,          54.066,         102.968,         102.641,          96.182
  1429365632.000,         105.623,          56.912,          37.934,          86.925,          94.925,         103.975
  1429365633.000,         120.804,          73.795,          25.953,          71.055,          87.946,         111.833
  1429365634.000,         134.342,          89.649,          24.279,          56.142,          81.856,         118.945
  1429365635.000,         145.470,         103.486,          32.398,          42.906,          76.360,         124.461
  1429365636.000,         153.547,         114.596,          43.136,          32.134,          70.816,         127.618
