Time Stamp,GPS-001 L1,GPS-002 L1,GPS-003 L1,GPS-004 L1,GPS-005 L1,GPS-006 L1,GPS-007 L1,GPS-008 L1,GPS-009 L1,GPS-010 L1,GPS-011 L1,GPS-012 L1,GPS-013 L1,GPS-014 L1,GPS-015 L1,GPS-016 L1,GPS-017 L1,GPS-018 L1,GPS-019 L1,GPS-020 L1,GPS-021 L1,GPS-022 L1,GPS-023 L1,GPS-024 L1,GPS-025 L1,GPS-026 L1,GPS-027 L1,GPS-028 L1,GPS-029 L1,GPS-030 L1
  1429365601.000,,,   128572106.309,,,,,,   127604691.058,,,,,   108739541.573,   130740523.485,,,   115364606.623,   113546426.823,,,   124534318.164,   108950201.698,,,,   111919902.070,   126838933.219,,
  1429365601.100,,,   128571940.415,,,,,,   127604730.447,,,,,   108739561.363,   130740930.644,,,   115364349.756,   113546644.062,,,   124534021.167,   108950318.839,,,,   111919709.763,   126839233.609,,
  1429365601.200,,,   128571774.570,,,,,,   127604769.814,,,,,   108739581.138,   130741337.811,,,   115364092.865,   113546861.334,,,   124533724.131,   108950435.997,,,,   111919517.473,   126839534.036,,
  1429365601.300,,,   128571608.774,,,,,,   127604809.159,,,,,   108739600.897,   130741744.984,,,   115363835.949,   113547078.637,,,   124533427.057,   108950553.174,,,,   111919325.200,   126839834.499,,
  1429365601.400,,,   128571443.026,,,,,,   127604848.484,,,,,   108739620.640,   130742152.162,,,   115363579.010,   113547295.972,,,   124533129.945,   108950670.367,,,,   111919132.944,   126840135.000,,
  1429365601.500,,,   128571277.326,,,,,,   127604887.788,,,,,   108739640.367,   130742559.344,,,   115363322.048,   113547513.338,,,   124532832.795,   108950787.579,,,,   111918940.704,   126840435.537,,
  1429365601.600,,,   128571111.675,,,,,,   127604927.072,,,,,   108739660.078,   130742966.530,,,   115363065.065,   113547730.734,,,   124532535.607,   108950904.808,,,,   111918748.481,   126840736.111,,
  1429365601.700,,,   128570946.071,,,,,,   127604966.338,,,,,   108739679.775,   130743373.721,,,   115362808.058,   113547948.162,,,   124532238.381,   108951022.055,,,,   111918556.272,   126841036.723,,
  1429365601.800,,,   128570780.514,,,,,,   127605005.585,,,,,   108739699.456,   130743780.913,,,   115362551.030,   113548165.618,,,   124531941.118,   108951139.320,,,,   111918364.079,   126841337.371,,
  1429365601.900,,,   128570615.005,,,,,,   127605044.815,,,,,   108739719.122,   130744188.108,,,   115362293.981,   113548383.104,,,   124531643.817,   108951256.603,,,,   111918171.899,   126841638.058,,
  1429365602.000,,,   128570449.542,,,,,,   127605084.028,,,,,   108739738.773,   130744595.302,,,   115362036.912,   113548600.618,,,   124531346.478,   108951373.903,,,,   111917979.734,   126841938.783,,
  1429365602.100,,,   128570284.127,,,,,,   127605123.226,,,,,   108739758.409,   130745002.497,,,   115361779.823,   113548818.161,,,   124531049.103,   108951491.221,,,,   111917787.582,   126842239.544,,
  1429365602.200,,,   128570118.757,,,,,,   127605162.408,,,,,   108739778.031,   130745409.693,,,   115361522.715,   113549035.733,,,   124530751.689,   108951608.557,,,,   111917595.442,   126842540.344,,
  1429365602.300,,,   128569953.433,,,,,,   127605201.575,,,,,   108739797.639,   130745816.887,,,   115361265.587,   113549253.330,,,   124530454.240,   108951725.909,,,,   111917403.316,   126842841.181,,
  1429365602.400,,,   128569788.154,,,,,,   127605240.729,,,,,   108739817.233,   130746224.081,,,   115361008.441,   113549470.956,,,   124530156.755,   108951843.280,,,,   111917211.200,   126843142.057,,
  1429365602.500,,,   128569622.921,,,,,,   127605279.871,,,,,   108739836.813,   130746631.271,,,   115360751.279,   113549688.607,,,   124529859.233,   108951960.668,,,,   111917019.097,   126843442.971,,
  1429365602.600,,,   128569457.732,,,,,,   127605319.000,,,,,   108739856.379,   130747038.458,,,   115360494.099,   113549906.284,,,   124529561.676,   108952078.073,,,,   111916827.004,   126843743.921,,
  1429365602.700,,,   128569292.586,,,,,,   127605358.118,,,,,   108739875.932,   130747445.642,,,   115360236.902,   113550123.987,,,   124529264.083,   108952195.496,,,,   111916634.921,   126844044.910,,
  1429365602.800,,,   128569127.485,,,,,,   127605397.227,,,,,   108739895.473,   130747852.820,,,   115359979.690,   113550341.714,,,   124528966.456,   108952312.935,,,,   111916442.848,   126844345.936,,
  1429365602.900,,,   128568962.426,,,,,,   127605436.325,,,,,   108739915.000,   130748259.994,,,   115359722.462,   113550559.465,,,   124528668.794,   108952430.392,,,,   111916250.784,   126844647.001,,
  1429365603.000,,,   128568797.410,,,,,,   127605475.416,,,,,   108739934.516,   130748667.162,,,   115359465.220,   113550777.239,,,   124528371.098,   108952547.865,,,,   111916058.729,   126844948.103,,
  1429365603.100,,,   128568632.436,,,,,,   127605514.498,,,,,   108739954.019,   130749074.322,,,   115359207.965,   113550995.036,,,   124528073.368,   108952665.355,,,,   111915866.682,   126845249.242,,
  1429365603.200,,,   128568467.503,,,,,,   127605553.574,,,,,   108739973.511,   130749481.476,,,   115358950.695,   113551212.856,,,   124527775.605,   108952782.862,,,,   111915674.642,   126845550.418,,
  1429365603.300,,,   128568302.611,,,,,,   127605592.645,,,,,   108739992.991,   130749888.621,,,   115358693.414,   113551430.696,,,   124527477.809,   108952900.385,,,,   111915482.610,   126845851.631,,
  1429365603.400,,,   128568137.757,,,,,,   127605631.710,,,,,   108740012.461,   130750295.759,,,   115358436.120,   113551648.558,,,   124527179.982,   108953017.925,,,,   111915290.583,   126846152.881,,
  1429365603.500,,,   128567972.944,,,,,,   127605670.771,,,,,   108740031.920,   130750702.886,,,   115358178.817,   113551866.440,,,   124526882.123,   108953135.481,,,,   111915098.564,   126846454.168,,
  1429365603.600,,,   128567808.170,,,,,,   127605709.830,,,,,   108740051.369,   130751110.003,,,   115357921.502,   113552084.341,,,   124526584.233,   108953253.053,,,,   111914906.549,   126846755.491,,
  1429365603.700,,,   128567643.433,,,,,,   127605748.886,,,,,   108740070.808,   130751517.111,,,   115357664.178,   113552302.261,,,   124526286.311,   108953370.641,,,,   111914714.539,   126847056.851,,
  1429365603.800,,,   128567478.733,,,,,,   127605787.941,,,,,   108740090.237,   130751924.206,,,   115357406.845,   113552520.198,,,   124525988.361,   108953488.244,,,,   111914522.534,   126847358.246,,
  1429365603.900,,,   128567314.069,,,,,,   127605826.996,,,,,   108740109.658,   130752331.290,,,   115357149.503,   113552738.154,,,   124525690.381,   108953605.863,,,,   111914330.532,   126847659.677,,
  1429365604.000,,,   128567149.442,,,,,,   127605866.051,,,,,   108740129.070,   130752738.361,,,   115356892.154,   113552956.126,,,   124525392.373,   108953723.497,,,,   111914138.534,   126847961.143,,
  1429365604.100,,,   128566984.849,,,,,,   127605905.108,,,,,   108740148.475,   130753145.418,,,   115356634.800,   113553174.114,,,   124525094.337,   108953841.146,,,,   111913946.538,   126848262.643,,
  1429365604.200,,,   128566820.290,,,,,,   127605944.168,,,,,   108740167.871,   130753552.463,,,   115356377.437,   113553392.117,,,   124524796.273,   108953958.810,,,,   111913754.544,   126848564.179,,
