Time Stamp,GPS-001 L1,GPS-002 L1,GPS-003 L1,GPS-004 L1,GPS-005 L1,GPS-006 L1,GPS-007 L1,GPS-008 L1,GPS-009 L1,GPS-010 L1,GPS-011 L1,GPS-012 L1,GPS-013 L1,GPS-014 L1,GPS-015 L1,GPS-016 L1,GPS-017 L1,GPS-018 L1,GPS-019 L1,GPS-020 L1,GPS-021 L1,GPS-022 L1,GPS-023 L1,GPS-024 L1,GPS-025 L1,GPS-026 L1,GPS-027 L1,GPS-028 L1,GPS-029 L1,GPS-030 L1
  1429365601.000,,,    24466458.329,,,,,,    24282365.328,,,,,    20692446.744,    24879094.398,,,    21953154.705,    21607166.593,,,    23698092.793,    20732534.033,,,,    21297649.224,    24136646.456,,
  1429365601.100,,,    24466426.760,,,,,,    24282372.823,,,,,    20692450.510,    24879171.877,,,    21953105.825,    21607207.933,,,    23698036.276,    20732556.324,,,,    21297612.629,    24136703.618,,
  1429365601.200,,,    24466395.201,,,,,,    24282380.315,,,,,    20692454.273,    24879249.359,,,    21953056.940,    21607249.278,,,    23697979.752,    20732578.619,,,,    21297576.038,    24136760.788,,
  1429365601.300,,,    24466363.651,,,,,,    24282387.802,,,,,    20692458.033,    24879326.841,,,    21953008.051,    21607290.629,,,    23697923.221,    20732600.917,,,,    21297539.449,    24136817.964,,
  1429365601.400,,,    24466332.110,,,,,,    24282395.285,,,,,    20692461.790,    24879404.324,,,    21952959.157,    21607331.987,,,    23697866.682,    20732623.218,,,,    21297502.864,    24136875.147,,
  1429365601.500,,,    24466300.579,,,,,,    24282402.764,,,,,    20692465.544,    24879481.809,,,    21952910.259,    21607373.350,,,    23697810.137,    20732645.523,,,,    21297466.282,    24136932.338,,
  1429365601.600,,,    24466269.056,,,,,,    24282410.240,,,,,    20692469.295,    24879559.294,,,    21952861.356,    21607414.719,,,    23697753.584,    20732667.831,,,,    21297429.703,    24136989.535,,
  1429365601.700,,,    24466237.543,,,,,,    24282417.712,,,,,    20692473.043,    24879636.779,,,    21952812.450,    21607456.094,,,    23697697.023,    20732690.142,,,,    21297393.127,    24137046.740,,
  1429365601.800,,,    24466206.039,,,,,,    24282425.180,,,,,    20692476.788,    24879714.265,,,    21952763.539,    21607497.475,,,    23697640.456,    20732712.457,,,,    21297356.554,    24137103.951,,
  1429365601.900,,,    24466174.543,,,,,,    24282432.645,,,,,    20692480.531,    24879791.752,,,    21952714.624,    21607538.861,,,    23697583.881,    20732734.775,,,,    21297319.984,    24137161.170,,
  1429365602.000,,,    24466143.057,,,,,,    24282440.107,,,,,    20692484.270,    24879869.239,,,    21952665.706,    21607580.253,,,    23697527.300,    20732757.096,,,,    21297283.416,    24137218.396,,
  1429365602.100,,,    24466111.579,,,,,,    24282447.566,,,,,    20692488.007,    24879946.725,,,    21952616.783,    21607621.650,,,    23697470.711,    20732779.421,,,,    21297246.850,    24137275.629,,
  1429365602.200,,,    24466080.110,,,,,,    24282455.023,,,,,    20692491.741,    24880024.212,,,    21952567.857,    21607663.052,,,    23697414.115,    20732801.750,,,,    21297210.288,    24137332.869,,
  1429365602.300,,,    24466048.650,,,,,,    24282462.476,,,,,    20692495.472,    24880101.699,,,    21952518.927,    21607704.460,,,    23697357.513,    20732824.081,,,,    21297173.727,    24137390.117,,
  1429365602.400,,,    24466017.199,,,,,,    24282469.927,,,,,    20692499.201,    24880179.185,,,    21952469.994,    21607745.873,,,    23697300.903,    20732846.416,,,,    21297137.169,    24137447.371,,
  1429365602.500,,,    24465985.756,,,,,,    24282477.375,,,,,    20692502.927,    24880256.671,,,    21952421.058,    21607787.290,,,    23697244.287,    20732868.754,,,,    21297100.613,    24137504.633,,
  1429365602.600,,,    24465954.322,,,,,,    24282484.821,,,,,    20692506.650,    24880334.156,,,    21952372.118,    21607828.713,,,    23697187.663,    20732891.096,,,,    21297064.059,    24137561.902,,
  1429365602.700,,,    24465922.895,,,,,,    24282492.265,,,,,    20692510.371,    24880411.640,,,    21952323.175,    21607870.140,,,    23697131.033,    20732913.440,,,,    21297027.506,    24137619.179,,
  1429365602.800,,,    24465891.478,,,,,,    24282499.707,,,,,    20692514.089,    24880489.124,,,    21952274.229,    21607911.572,,,    23697074.397,    20732935.788,,,,    21296990.956,    24137676.462,,
  1429365602.900,,,    24465860.068,,,,,,    24282507.147,,,,,    20692517.805,    24880566.606,,,    21952225.280,    21607953.009,,,    23697017.753,    20732958.140,,,,    21296954.407,    24137733.753,,
  1429365603.000,,,    24465828.666,,,,,,    24282514.586,,,,,    20692521.519,    24880644.088,,,    21952176.329,    21607994.450,,,    23696961.104,    20732980.494,,,,    21296917.861,    24137791.050,,
  1429365603.100,,,    24465797.273,,,,,,    24282522.023,,,,,    20692525.230,    24880721.568,,,    21952127.375,    21608035.895,,,    23696904.448,    20733002.852,,,,    21296881.315,    24137848.355,,
  1429365603.200,,,    24465765.887,,,,,,    24282529.459,,,,,    20692528.939,    24880799.047,,,    21952078.418,    21608077.345,,,    23696847.785,    20733025.212,,,,    21296844.771,    24137905.667,,
  1429365603.300,,,    24465734.509,,,,,,    24282536.894,,,,,    20692532.646,    24880876.524,,,    21952029.459,    21608118.799,,,    23696791.117,    20733047.576,,,,    21296808.229,    24137962.986,,
  1429365603.400,,,    24465703.139,,,,,,    24282544.328,,,,,    20692536.351,    24880953.999,,,    21951980.498,    21608160.256,,,    23696734.442,    20733069.943,,,,    21296771.687,    24138020.312,,
  1429365603.500,,,    24465671.776,,,,,,    24282551.761,,,,,    20692540.054,    24881031.473,,,    21951931.534,    21608201.718,,,    23696677.761,    20733092.314,,,,    21296735.147,    24138077.645,,
  1429365603.600,,,    24465640.420,,,,,,    24282559.194,,,,,    20692543.755,    24881108.945,,,    21951882.569,    21608243.183,,,    23696621.075,    20733114.687,,,,    21296698.608,    24138134.985,,
  1429365603.700,,,    24465609.072,,,,,,    24282566.626,,,,,    20692547.454,    24881186.415,,,    21951833.602,    21608284.652,,,    23696564.382,    20733137.063,,,,    21296662.070,    24138192.332,,
  1429365603.800,,,    24465577.731,,,,,,    24282574.058,,,,,    20692551.152,    24881263.883,,,    21951784.633,    21608326.124,,,    23696507.684,    20733159.442,,,,    21296625.532,    24138249.685,,
  1429365603.900,,,    24465546.396,,,,,,    24282581.489,,,,,    20692554.847,    24881341.348,,,    21951735.663,    21608367.600,,,    23696450.980,    20733181.824,,,,    21296588.996,    24138307.046,,
  1429365604.000,,,    24465515.068,,,,,,    24282588.921,,,,,    20692558.541,    24881418.811,,,    21951686.691,    21608409.078,,,    23696394.271,    20733204.209,,,,    21296552.460,    24138364.413,,
  1429365604.100,,,    24465483.748,,,,,,    24282596.354,,,,,    20692562.234,    24881496.272,,,    21951637.718,    21608450.560,,,    23696337.557,    20733226.597,,,,    21296515.924,    24138421.786,,
