Time Stamp,GAL-001 E1,GAL-002 E1,GAL-003 E1,GAL-004 E1,GAL-005 E1,GAL-006 E1
  1429365600.100,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365600.200,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365600.300,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365600.400,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365600.500,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365600.600,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365600.700,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365600.800,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365600.900,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365601.000,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365601.100,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365601.200,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365601.300,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365601.400,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365601.500,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365601.600,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365601.700,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365601.800,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365601.900,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365602.000,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365602.100,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365602.200,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365602.300,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365602.400,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365602.500,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365602.600,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365602.700,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365602.800,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365602.900,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365603.000,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365603.100,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365603.200,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365603.300,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365603.400,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365603.500,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365603.600,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365603.700,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365603.800,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365603.900,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365604.000,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365604.100,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365604.200,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365604.300,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365604.400,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365604.500,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365604.600,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365604.700,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365604.800,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365604.900,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365605.000,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365605.100,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365605.200,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365605.300,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365605.400,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365605.500,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365605.600,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365605.700,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365605.800,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365605.900,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365606.000,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365606.100,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365606.200,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365606.300,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365606.400,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365606.500,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365606.600,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365606.700,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365606.800,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365606.900,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365607.000,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365607.100,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365607.200,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365607.300,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365607.400,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365607.500,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365607.600,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365607.700,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365607.800,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365607.900,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365608.000,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365608.100,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365608.200,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365608.300,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365608.400,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365608.500,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365608.600,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365608.700,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365608.800,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365608.900,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365609.000,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365609.100,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365609.200,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365609.300,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365609.400,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365609.500,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365609.600,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365609.700,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365609.800,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365609.900,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365610.000,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365610.100,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365610.200,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365610.300,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365610.400,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365610.500,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365610.600,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365610.700,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
  1429365610.800,          85.101,          63.332,          63.332,          85.101,          63.334,          63.334
