Time Stamp,GAL-001 E1,GAL-002 E1,GAL-003 E1,GAL-004 E1,GAL-005 E1,GAL-006 E1
  1429365601.000,          30.239,          61.519,         164.319,         217.597,         174.336,          84.716
  1429365602.000,          46.432,          43.607,         148.184,         205.600,         168.642,          91.560
  1429365603.000,          68.299,          26.067,         125.641,         186.756,         157.409,          98.344
  1429365604.000,          94.084,          29.369,          98.328,         162.677,         142.715,         107.525
  1429365605.000,         122.034,          54.624,          68.577,         135.390,         127.095,         120.142
  1429365606.000,         150.062,          84.414,          40.057,         107.126,         113.064,         135.295
  1429365607.000,         175.925,         113.217,          23.450,          80.077,         102.267,         150.754
  1429365608.000,         197.469,         138.254,          34.571,          56.162,          94.597,         163.914
  1429365609.000,         212.864,         157.575,          53.483,          37.017,          88.125,         172.440
  1429365610.000,         220.787,         169.897,          69.338,          25.109,          80.170,         174.599
  1429365611.000,         220.556,         174.668,          80.700,          25.502,          68.566,         169.404
  1429365612.000,         212.189,         172.119,          88.506,          37.931,          52.470,         156.668
  1429365613.000,         196.408,         163.282,          94.975,          57.390,          33.537,         136.987
  1429365614.000,         174.570,         149.927,         102.783,          81.525,          23.639,         111.680
  1429365615.000,         148.527,         134.416,         113.777,         108.696,          41.512,          82.739
  1429365616.000,         120.444,         119.355,         127.953,         136.965,          70.257,          53.007
  1429365617.000,          92.562,         106.924,         143.590,         164.131,          99.948,          28.359
  1429365618.000,          66.954,          97.922,         158.154,         187.968,         127.048,          26.781
  1429365619.000,          45.353,          91.207,         169.126,         206.465,         149.270,          44.682
  1429365620.000,          29.556,          84.278,         174.460,         218.043,         165.011,          62.408
  1429365621.000,          23.527,          74.597,         172.809,         221.702,         173.365,          75.877
  1429365622.000,          30.949,          60.614,         163.604,         217.126,         174.191,          85.148
  1429365623.000,          47.527,          42.526,         147.078,         204.712,         168.142,          91.916
  1429365624.000,          69.655,          25.419,         124.218,         185.528,         156.655,          98.777
  1429365625.000,          95.611,          30.447,          96.699,         161.212,         141.839,         108.141
  1429365626.000,         123.623,          56.252,          66.899,         133.810,         126.246,         120.941
  1429365627.000,         151.590,          86.086,          38.632,         105.558,         112.365,         136.177
  1429365628.000,         177.266,         114.741,          23.375,          78.638,         101.765,         151.576
  1429365629.000,         198.509,         139.504,          35.619,          54.948,          94.227,         164.534
  1429365630.000,         213.515,         158.460,          54.483,          36.123,          87.743,         172.743
  1429365631.000,         220.993,         170.366,          70.092,          24.756,          79.631,         174.508
  1429365632.000,         220.298,         174.713,          81.216,          25.934,          67.783,         168.888
  1429365633.000,         211.490,         171.777,          88.879,          38.868,          51.448,         155.740
