Time Stamp,GPS-001 L1,GPS-002 L1,GPS-003 L1,GPS-004 L1,GPS-005 L1,GPS-006 L1,GPS-007 L1,GPS-008 L1,GPS-009 L1,GPS-010 L1,GPS-011 L1,GPS-012 L1,GPS-013 L1,GPS-014 L1,GPS-015 L1,GPS-016 L1,GPS-017 L1,GPS-018 L1,GPS-019 L1,GPS-020 L1,GPS-021 L1,GPS-022 L1,GPS-023 L1,GPS-024 L1,GPS-025 L1,GPS-026 L1,GPS-027 L1,GPS-028 L1,GPS-029 L1,GPS-030 L1
  1429365601.000,,,   128572077.438,,,,,,   127604709.736,,,,,   108739556.912,   130740519.570,,,   115364623.865,   113546408.067,,,   124534344.731,   108950192.436,,,,   111919894.417,   126838911.298,,
  1429365601.100,,,   128571911.871,,,,,,   127604748.447,,,,,   108739576.511,   130740927.338,,,   115364366.515,   113546625.743,,,   124534047.508,   108950309.624,,,,   111919702.548,   126839211.652,,
  1429365601.200,,,   128571746.397,,,,,,   127604787.107,,,,,   108739596.071,   130741335.120,,,   115364109.113,   113546843.481,,,   124533750.203,   108950426.846,,,,   111919510.709,   126839512.077,,
  1429365601.300,,,   128571581.016,,,,,,   127604825.718,,,,,   108739615.591,   130741742.912,,,   115363851.662,   113547061.279,,,   124533452.821,   108950544.100,,,,   111919318.898,   126839812.573,,
  1429365601.400,,,   128571415.728,,,,,,   127604864.280,,,,,   108739635.072,   130742150.715,,,   115363594.161,   113547279.136,,,   124533155.359,   108950661.385,,,,   111919127.114,   126840113.141,,
  1429365601.500,,,   128571250.531,,,,,,   127604902.796,,,,,   108739654.514,   130742558.524,,,   115363336.614,   113547497.052,,,   124532857.819,   108950778.703,,,,   111918935.357,   126840413.778,,
  1429365601.600,,,   128571085.426,,,,,,   127604941.268,,,,,   108739673.918,   130742966.340,,,   115363079.020,   113547715.024,,,   124532560.200,   108950896.052,,,,   111918743.625,   126840714.488,,
  1429365601.700,,,   128570920.410,,,,,,   127604979.696,,,,,   108739693.284,   130743374.161,,,   115362821.380,   113547933.054,,,   124532262.504,   108951013.433,,,,   111918551.916,   126841015.269,,
  1429365601.800,,,   128570755.484,,,,,,   127605018.084,,,,,   108739712.612,   130743781.985,,,   115362563.697,   113548151.137,,,   124531964.731,   108951130.846,,,,   111918360.231,   126841316.122,,
  1429365601.900,,,   128570590.646,,,,,,   127605056.432,,,,,   108739731.905,   130744189.811,,,   115362305.971,   113548369.276,,,   124531666.882,   108951248.291,,,,   111918168.566,   126841617.048,,
  1429365602.000,,,   128570425.895,,,,,,   127605094.743,,,,,   108739751.160,   130744597.636,,,   115362048.204,   113548587.465,,,   124531368.958,   108951365.766,,,,   111917976.923,   126841918.044,,
  1429365602.100,,,   128570261.231,,,,,,   127605133.019,,,,,   108739770.381,   130745005.459,,,   115361790.398,   113548805.706,,,   124531070.959,   108951483.273,,,,   111917785.299,   126842219.111,,
  1429365602.200,,,   128570096.651,,,,,,   127605171.261,,,,,   108739789.567,   130745413.281,,,   115361532.553,   113549023.998,,,   124530772.886,   108951600.811,,,,   111917593.692,   126842520.251,,
  1429365602.300,,,   128569932.156,,,,,,   127605209.471,,,,,   108739808.718,   130745821.097,,,   115361274.671,   113549242.337,,,   124530474.741,   108951718.379,,,,   111917402.103,   126842821.461,,
  1429365602.400,,,   128569767.741,,,,,,   127605247.652,,,,,   108739827.836,   130746228.907,,,   115361016.753,   113549460.724,,,   124530176.524,   108951835.978,,,,   111917210.529,   126843122.743,,
  1429365602.500,,,   128569603.409,,,,,,   127605285.805,,,,,   108739846.922,   130746636.709,,,   115360758.802,   113549679.156,,,   124529878.237,   108951953.606,,,,   111917018.969,   126843424.094,,
  1429365602.600,,,   128569439.156,,,,,,   127605323.933,,,,,   108739865.976,   130747044.501,,,   115360500.819,   113549897.632,,,   124529579.880,   108952071.264,,,,   111916827.423,   126843725.514,,
