Time Stamp,GAL-001 E1,GAL-002 E1,GAL-003 E1,GAL-004 E1,GAL-005 E1,GAL-006 E1
  1429365601.000,           5.754,          11.707,          31.269,          41.407,          33.175,          16.121
  1429365601.100,           5.999,          11.398,          31.023,          41.244,          33.123,          16.266
  1429365601.200,           6.260,          11.080,          30.763,          41.066,          33.057,          16.407
  1429365601.300,           6.537,          10.755,          30.489,          40.873,          32.979,          16.544
  1429365601.400,           6.827,          10.422,          30.202,          40.666,          32.888,          16.677
  1429365601.500,           7.131,          10.082,          29.901,          40.444,          32.785,          16.806
  1429365601.600,           7.449,           9.736,          29.586,          40.208,          32.669,          16.933
  1429365601.700,           7.778,           9.383,          29.259,          39.957,          32.542,          17.058
  1429365601.800,           8.120,           9.025,          28.918,          39.693,          32.403,          17.181
  1429365601.900,           8.472,           8.663,          28.564,          39.415,          32.253,          17.302
  1429365602.000,           8.836,           8.298,          28.199,          39.124,          32.092,          17.423
  1429365602.100,           9.210,           7.931,          27.820,          38.820,          31.920,          17.544
  1429365602.200,           9.594,           7.563,          27.430,          38.503,          31.737,          17.665
  1429365602.300,           9.988,           7.198,          27.028,          38.173,          31.545,          17.788
  1429365602.400,          10.392,           6.836,          26.614,          37.831,          31.343,          17.911
  1429365602.500,          10.805,           6.481,          26.189,          37.477,          31.132,          18.037
  1429365602.600,          11.226,           6.136,          25.754,          37.112,          30.913,          18.166
  1429365602.700,          11.657,           5.806,          25.308,          36.735,          30.685,          18.297
  1429365602.800,          12.095,           5.496,          24.851,          36.347,          30.448,          18.432
  1429365602.900,          12.542,           5.211,          24.385,          35.948,          30.205,          18.571
  1429365603.000,          12.997,           4.960,          23.909,          35.539,          29.954,          18.714
  1429365603.100,          13.459,           4.750,          23.424,          35.119,          29.696,          18.862
  1429365603.200,          13.928,           4.590,          22.930,          34.690,          29.433,          19.016
  1429365603.300,          14.404,           4.487,          22.427,          34.252,          29.163,          19.174
  1429365603.400,          14.887,           4.448,          21.917,          33.805,          28.889,          19.339
  1429365603.500,          15.376,           4.478,          21.399,          33.349,          28.609,          19.510
  1429365603.600,          15.871,           4.577,          20.874,          32.885,          28.326,          19.687
  1429365603.700,          16.372,           4.743,          20.342,          32.414,          28.038,          19.870
  1429365603.800,          16.878,           4.972,          19.804,          31.935,          27.747,          20.061
  1429365603.900,          17.388,           5.256,          19.260,          31.449,          27.454,          20.258
  1429365604.000,          17.903,           5.589,          18.711,          30.956,          27.158,          20.461
  1429365604.100,          18.423,           5.963,          18.157,          30.458,          26.860,          20.672
  1429365604.200,          18.946,           6.373,          17.599,          29.953,          26.561,          20.890
  1429365604.300,          19.473,           6.812,          17.037,          29.444,          26.262,          21.114
  1429365604.400,          20.003,           7.276,          16.472,          28.929,          25.962,          21.345
  1429365604.500,          20.535,           7.760,          15.904,          28.410,          25.662,          21.583
  1429365604.600,          21.070,           8.263,          15.335,          27.887,          25.363,          21.827
  1429365604.700,          21.606,           8.779,          14.764,          27.361,          25.066,          22.077
  1429365604.800,          22.144,           9.308,          14.192,          26.831,          24.770,          22.333
  1429365604.900,          22.683,           9.847,          13.621,          26.299,          24.476,          22.595
  1429365605.000,          23.222,          10.395,          13.050,          25.764,          24.185,          22.862
  1429365605.100,          23.762,          10.949,          12.481,          25.227,          23.898,          23.135
  1429365605.200,          24.301,          11.509,          11.914,          24.689,          23.614,          23.412
  1429365605.300,          24.840,          12.073,          11.351,          24.150,          23.334,          23.693
  1429365605.400,          25.378,          12.640,          10.793,          23.611,          23.058,          23.978
  1429365605.500,          25.914,          13.209,          10.240,          23.071,          22.787,          24.267
  1429365605.600,          26.448,          13.781,           9.695,          22.532,          22.521,          24.558
  1429365605.700,          26.980,          14.352,           9.159,          21.993,          22.261,          24.852
  1429365605.800,          27.508,          14.924,           8.633,          21.455,          22.006,          25.149
  1429365605.900,          28.034,          15.494,           8.120,          20.919,          21.758,          25.447
  1429365606.000,          28.556,          16.063,           7.623,          20.385,          21.515,          25.746
  1429365606.100,          29.074,          16.630,           7.143,          19.854,          21.279,          26.045
  1429365606.200,          29.587,          17.195,           6.686,          19.325,          21.050,          26.345
  1429365606.300,          30.095,          17.756,           6.254,          18.799,          20.828,          26.645
  1429365606.400,          30.598,          18.313,           5.854,          18.277,          20.612,          26.943
  1429365606.500,          31.095,          18.865,           5.491,          17.758,          20.403,          27.240
  1429365606.600,          31.585,          19.413,           5.171,          17.244,          20.201,          27.536
  1429365606.700,          32.069,          19.955,           4.902,          16.735,          20.006,          27.829
  1429365606.800,          32.546,          20.491,           4.690,          16.231,          19.818,          28.118
  1429365606.900,          33.016,          21.021,           4.542,          15.732,          19.636,          28.405
  1429365607.000,          33.477,          21.544,           4.462,          15.238,          19.461,          28.688
  1429365607.100,          33.931,          22.060,           4.452,          14.751,          19.292,          28.966
  1429365607.200,          34.375,          22.568,           4.509,          14.270,          19.129,          29.239
  1429365607.300,          34.811,          23.068,           4.629,          13.796,          18.972,          29.507
  1429365607.400,          35.237,          23.560,           4.804,          13.328,          18.820,          29.769
  1429365607.500,          35.654,          24.042,           5.026,          12.868,          18.673,          30.024
  1429365607.600,          36.060,          24.516,           5.288,          12.416,          18.531,          30.273
  1429365607.700,          36.456,          24.979,           5.580,          11.971,          18.393,          30.515
  1429365607.800,          36.841,          25.433,           5.896,          11.535,          18.259,          30.749
  1429365607.900,          37.215,          25.876,           6.231,          11.107,          18.129,          30.975
  1429365608.000,          37.577,          26.309,           6.579,          10.687,          18.001,          31.192
  1429365608.100,          37.928,          26.731,           6.936,          10.277,          17.876,          31.400
  1429365608.200,          38.266,          27.141,           7.299,           9.876,          17.753,          31.599
  1429365608.300,          38.592,          27.540,           7.666,           9.485,          17.631,          31.789
  1429365608.400,          38.906,          27.927,           8.033,           9.103,          17.510,          31.968
  1429365608.500,          39.206,          28.302,           8.400,           8.732,          17.389,          32.137
  1429365608.600,          39.494,          28.664,           8.765,           8.372,          17.268,          32.295
  1429365608.700,          39.768,          29.014,           9.125,           8.022,          17.146,          32.442
  1429365608.800,          40.028,          29.351,           9.482,           7.684,          17.022,          32.578
  1429365608.900,          40.274,          29.675,           9.833,           7.358,          16.897,          32.702
  1429365609.000,          40.507,          29.986,          10.178,           7.044,          16.770,          32.814
  1429365609.100,          40.725,          30.283,          10.516,           6.744,          16.639,          32.914
  1429365609.200,          40.928,          30.567,          10.846,           6.457,          16.505,          33.002
  1429365609.300,          41.117,          30.836,          11.169,           6.185,          16.368,          33.076
  1429365609.400,          41.291,          31.092,          11.484,           5.928,          16.225,          33.138
  1429365609.500,          41.449,          31.334,          11.791,           5.688,          16.078,          33.186
  1429365609.600,          41.593,          31.562,          12.089,           5.465,          15.926,          33.222
  1429365609.700,          41.722,          31.776,          12.379,           5.262,          15.768,          33.243
  1429365609.800,          41.835,          31.975,          12.660,           5.079,          15.604,          33.251
  1429365609.900,          41.932,          32.160,          12.932,           4.917,          15.433,          33.245
  1429365610.000,          42.014,          32.330,          13.195,           4.778,          15.256,          33.225
  1429365610.100,          42.081,          32.486,          13.449,           4.664,          15.071,          33.191
  1429365610.200,          42.132,          32.628,          13.694,           4.575,          14.879,          33.143
  1429365610.300,          42.167,          32.755,          13.931,           4.513,          14.680,          33.080
  1429365610.400,          42.186,          32.867,          14.159,           4.479,          14.472,          33.003
  1429365610.500,          42.189,          32.965,          14.378,           4.473,          14.256,          32.912
  1429365610.600,          42.177,          33.048,          14.590,           4.495,          14.032,          32.806
  1429365610.700,          42.149,          33.117,          14.793,           4.545,          13.799,          32.685
  1429365610.800,          42.105,          33.172,          14.988,           4.622,          13.557,          32.550
  1429365610.900,          42.046,          33.212,          15.176,           4.725,          13.307,          32.401
  1429365611.000,          41.970,          33.238,          15.357,           4.853,          13.048,          32.237
  1429365611.100,          41.880,          33.250,          15.530,           5.005,          12.780,          32.058
  1429365611.200,          41.773,          33.249,          15.697,           5.179,          12.503,          31.865
  1429365611.300,          41.651,          33.233,          15.858,           5.373,          12.217,          31.658
