Time Stamp,GPS-001 L1,GPS-002 L1,GPS-003 L1,GPS-004 L1,GPS-005 L1,GPS-006 L1,GPS-007 L1,GPS-008 L1,GPS-009 L1,GPS-010 L1,GPS-011 L1,GPS-012 L1,GPS-013 L1,GPS-014 L1,GPS-015 L1,GPS-016 L1,GPS-017 L1,GPS-018 L1,GPS-019 L1,GPS-020 L1,GPS-021 L1,GPS-022 L1,GPS-023 L1,GPS-024 L1,GPS-025 L1,GPS-026 L1,GPS-027 L1,GPS-028 L1,GPS-029 L1,GPS-030 L1
  1429365600.100,,,    24466737.202,,,,,,    24282302.102,,,,,    20692415.750,    24878395.446,,,    21953598.271,    21606790.770,,,    23698606.204,    20732331.840,,,,    21297976.654,    24136128.471,,
  1429365600.200,,,    24466705.533,,,,,,    24282309.567,,,,,    20692419.549,    24878473.008,,,    21953549.393,    21606832.082,,,    23698549.780,    20732354.086,,,,    21297940.083,    24136185.511,,
  1429365600.300,,,    24466673.883,,,,,,    24282317.021,,,,,    20692423.340,    24878550.574,,,    21953500.505,    21606873.406,,,    23698493.342,    20732376.338,,,,    21297903.520,    24136242.563,,
  1429365600.400,,,    24466642.250,,,,,,    24282324.463,,,,,    20692427.124,    24878628.145,,,    21953451.605,    21606914.743,,,    23698436.888,    20732398.596,,,,    21297866.965,    24136299.628,,
  1429365600.500,,,    24466610.636,,,,,,    24282331.894,,,,,    20692430.900,    24878705.720,,,    21953402.695,    21606956.092,,,    23698380.420,    20732420.860,,,,    21297830.416,    24136356.705,,
  1429365600.600,,,    24466579.040,,,,,,    24282339.313,,,,,    20692434.668,    24878783.299,,,    21953353.774,    21606997.454,,,    23698323.936,    20732443.130,,,,    21297793.873,    24136413.795,,
  1429365600.700,,,    24466547.462,,,,,,    24282346.721,,,,,    20692438.428,    24878860.883,,,    21953304.843,    21607038.828,,,    23698267.437,    20732465.406,,,,    21297757.337,    24136470.898,,
  1429365600.800,,,    24466515.901,,,,,,    24282354.119,,,,,    20692442.181,    24878938.469,,,    21953255.901,    21607080.215,,,    23698210.923,    20732487.688,,,,    21297720.808,    24136528.013,,
  1429365600.900,,,    24466484.359,,,,,,    24282361.505,,,,,    20692445.926,    24879016.060,,,    21953206.949,    21607121.614,,,    23698154.393,    20732509.976,,,,    21297684.285,    24136585.143,,
  1429365601.000,,,    24466452.835,,,,,,    24282368.882,,,,,    20692449.663,    24879093.653,,,    21953157.986,    21607163.024,,,    23698097.848,    20732532.271,,,,    21297647.768,    24136642.285,,
