Time Stamp,GAL-001 E1,GAL-002 E1,GAL-003 E1,GAL-004 E1,GAL-005 E1,GAL-006 E1
  1429365600.100,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365600.200,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365600.300,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365600.400,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365600.500,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365600.600,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365600.700,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365600.800,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365600.900,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365601.000,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365601.100,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365601.200,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365601.300,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365601.400,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365601.500,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365601.600,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365601.700,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365601.800,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365601.900,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365602.000,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365602.100,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365602.200,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365602.300,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365602.400,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365602.500,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365602.600,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365602.700,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365602.800,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365602.900,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365603.000,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365603.100,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365603.200,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365603.300,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365603.400,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365603.500,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365603.600,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365603.700,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365603.800,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365603.900,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365604.000,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365604.100,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365604.200,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365604.300,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365604.400,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365604.500,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365604.600,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
  1429365604.700,         116.357,          80.602,          80.602,         116.357,          80.599,          80.599
