Time Stamp,GPS-001 L1,GPS-002 L1,GPS-003 L1,GPS-004 L1,GPS-005 L1,GPS-006 L1,GPS-007 L1,GPS-008 L1,GPS-009 L1,GPS-010 L1,GPS-011 L1,GPS-012 L1,GPS-013 L1,GPS-014 L1,GPS-015 L1,GPS-016 L1,GPS-017 L1,GPS-018 L1,GPS-019 L1,GPS-020 L1,GPS-021 L1,GPS-022 L1,GPS-023 L1,GPS-024 L1,GPS-025 L1,GPS-026 L1,GPS-027 L1,GPS-028 L1,GPS-029 L1,GPS-030 L1
  1429365601.000,,,   128572077.438,,,,,,   127604709.736,,,,,   108739556.912,   130740519.570,,,   115364623.865,   113546408.067,,,   124534344.731,   108950192.436,,,,   111919894.417,   126838911.298,,
  1429365602.000,,,   128570425.895,,,,,,   127605094.743,,,,,   108739751.160,   130744597.636,,,   115362048.204,   113548587.465,,,   124531368.958,   108951365.766,,,,   111917976.923,   126841918.044,,
  1429365603.000,,,   128568782.906,,,,,,   127605476.234,,,,,   108739941.893,   130748675.545,,,   115359468.596,   113550771.947,,,   124528385.787,   108952542.186,,,,   111916061.344,   126844931.889,,
  1429365604.000,,,   128567146.977,,,,,,   127605856.287,,,,,   108740129.943,   130752751.749,,,   115356886.620,   113552960.005,,,   124525396.417,   108953721.351,,,,   111914146.444,   126847952.377,,
  1429365605.000,,,   128565516.031,,,,,,   127606237.165,,,,,   108740316.452,   130756824.852,,,   115354304.087,   113555149.845,,,   124522402.619,   108954902.706,,,,   111912230.981,   126850978.488,,
  1429365606.000,,,   128563887.589,,,,,,   127606621.118,,,,,   108740502.758,   130760893.739,,,   115351722.877,   113557339.542,,,   124519406.576,   108956085.532,,,,   111910313.812,   126854008.732,,
  1429365607.000,,,   128562258.992,,,,,,   127607010.179,,,,,   108740690.285,   130764957.673,,,   115349144.767,   113559527.216,,,   124516410.688,   108957269.012,,,,   111908393.998,   126857041.279,,
  1429365608.000,,,   128560627.643,,,,,,   127607405.981,,,,,   108740880.413,   130769016.359,,,   115346571.280,   113561711.197,,,   124513417.356,   108958452.303,,,,   111906470.886,   126860074.125,,
  1429365609.000,,,   128558991.231,,,,,,   127607809.618,,,,,   108741074.351,   130773069.975,,,   115344003.542,   113563890.178,,,   124510428.773,   108959634.613,,,,   111904544.171,   126863105.269,,
  1429365610.000,,,   128557347.943,,,,,,   127608221.538,,,,,   108741273.036,   130777119.152,,,   115341442.186,   113566063.328,,,   124507446.721,   108960815.268,,,,   111902613.919,   126866132.894,,
  1429365611.000,,,   128555696.625,,,,,,   127608641.510,,,,,   108741477.043,   130781164.920,,,   115338887.294,   113568230.369,,,   124504472.417,   108961993.777,,,,   111900680.564,   126869155.526,,
  1429365612.000,,,   128554036.884,,,,,,   127609068.641,,,,,   108741686.539,   130785208.615,,,   115336338.388,   113570391.598,,,   124501506.402,   108963169.872,,,,   111898744.866,   126872172.168,,
  1429365613.000,,,   128552369.123,,,,,,   127609501.457,,,,,   108741901.263,   130789251.761,,,   115333794.477,   113572547.865,,,   124498548.493,   108964343.536,,,,   111896807.847,   126875182.388,,
  1429365614.000,,,   128550694.505,,,,,,   127609938.035,,,,,   108742120.554,   130793295.930,,,   115331254.140,   113574700.493,,,   124495597.800,   108965515.001,,,,   111894870.698,   126878186.360,,
  1429365615.000,,,   128549014.852,,,,,,   127610376.173,,,,,   108742343.407,   130797342.607,,,   115328715.661,   113576851.163,,,   124492652.803,   108966684.730,,,,   111892934.671,   126881184.844,,
