Time Stamp,GPS-001 L1,GPS-002 L1,GPS-003 L1,GPS-004 L1,GPS-005 L1,GPS-006 L1,GPS-007 L1,GPS-008 L1,GPS-009 L1,GPS-010 L1,GPS-011 L1,GPS-012 L1,GPS-013 L1,GPS-014 L1,GPS-015 L1,GPS-016 L1,GPS-017 L1,GPS-018 L1,GPS-019 L1,GPS-020 L1,GPS-021 L1,GPS-022 L1,GPS-023 L1,GPS-024 L1,GPS-025 L1,GPS-026 L1,GPS-027 L1,GPS-028 L1,GPS-029 L1,GPS-030 L1
  1429365601.000,,,    24466452.835,,,,,,    24282368.882,,,,,    20692449.663,    24879093.653,,,    21953157.986,    21607163.024,,,    23698097.848,    20732532.271,,,,    21297647.768,    24136642.285,,
  1429365602.000,,,    24466138.557,,,,,,    24282442.146,,,,,    20692486.627,    24879869.683,,,    21952667.854,    21607577.750,,,    23697531.578,    20732755.548,,,,    21297282.881,    24137214.449,,
  1429365603.000,,,    24465825.906,,,,,,    24282514.742,,,,,    20692522.923,    24880645.683,,,    21952176.971,    21607993.443,,,    23696963.899,    20732979.413,,,,    21296918.358,    24137787.965,,
  1429365604.000,,,    24465514.599,,,,,,    24282587.063,,,,,    20692558.708,    24881421.359,,,    21951685.638,    21608409.816,,,    23696395.041,    20733203.801,,,,    21296553.965,    24138362.745,,
  1429365605.000,,,    24465204.241,,,,,,    24282659.542,,,,,    20692594.199,    24882196.445,,,    21951194.198,    21608826.529,,,    23695825.340,    20733428.605,,,,    21296189.465,    24138938.595,,
  1429365606.000,,,    24464894.358,,,,,,    24282732.606,,,,,    20692629.652,    24882970.728,,,    21950703.010,    21609243.215,,,    23695255.212,    20733653.690,,,,    21295824.639,    24139515.231,,
  1429365607.000,,,    24464584.447,,,,,,    24282806.642,,,,,    20692665.337,    24883744.069,,,    21950212.412,    21609659.515,,,    23694685.113,    20733878.898,,,,    21295459.311,    24140092.305,,
  1429365608.000,,,    24464274.011,,,,,,    24282881.960,,,,,    20692701.517,    24884516.411,,,    21949722.694,    21610075.113,,,    23694115.501,    20734104.071,,,,    21295093.355,    24140669.437,,
  1429365609.000,,,    24463962.613,,,,,,    24282958.770,,,,,    20692738.422,    24885287.789,,,    21949234.069,    21610489.759,,,    23693546.793,    20734329.057,,,,    21294726.713,    24141246.244,,
  1429365610.000,,,    24463649.905,,,,,,    24283037.156,,,,,    20692776.231,    24886058.321,,,    21948746.659,    21610903.296,,,    23692979.327,    20734553.728,,,,    21294359.398,    24141822.382,,
  1429365611.000,,,    24463335.670,,,,,,    24283117.074,,,,,    20692815.052,    24886828.206,,,    21948260.480,    21611315.670,,,    23692413.336,    20734777.991,,,,    21293991.493,    24142397.570,,
  1429365612.000,,,    24463019.832,,,,,,    24283198.354,,,,,    20692854.918,    24887597.695,,,    21947775.439,    21611726.938,,,    23691848.922,    20735001.795,,,,    21293623.142,    24142971.618,,
  1429365613.000,,,    24462702.467,,,,,,    24283280.716,,,,,    20692895.778,    24888367.080,,,    21947291.349,    21612137.262,,,    23691286.051,    20735225.136,,,,    21293254.540,    24143544.444,,
  1429365614.000,,,    24462383.798,,,,,,    24283363.794,,,,,    20692937.508,    24889136.660,,,    21946807.939,    21612546.894,,,    23690724.553,    20735448.058,,,,    21292885.912,    24144116.080,,
  1429365615.000,,,    24462064.171,,,,,,    24283447.169,,,,,    20692979.916,    24889906.717,,,    21946324.882,    21612956.153,,,    23690164.138,    20735670.650,,,,    21292517.499,    24144686.673,,
  1429365616.000,,,    24461744.025,,,,,,    24283530.406,,,,,    20693022.761,    24890677.491,,,    21945841.824,    21613365.398,,,    23689604.426,    20735893.035,,,,    21292149.528,    24145256.465,,
  1429365617.000,,,    24461423.857,,,,,,    24283613.095,,,,,    20693065.780,    24891449.159,,,    21945358.413,    21613774.995,,,    23689044.972,    20736115.363,,,,    21291782.199,    24145825.778,,
  1429365618.000,,,    24461104.171,,,,,,    24283694.882,,,,,    20693108.700,    24892221.818,,,    21944874.334,    21614185.286,,,    23688485.316,    20736337.794,,,,    21291415.663,    24146394.981,,
  1429365619.000,,,    24460785.438,,,,,,    24283775.510,,,,,    20693151.275,    24892995.475,,,    21944389.335,    21614596.554,,,    23687925.017,    20736560.485,,,,    21291050.012,    24146964.460,,
