Time Stamp,GPS-001 L1,GPS-002 L1,GPS-003 L1,GPS-004 L1,GPS-005 L1,GPS-006 L1,GPS-007 L1,GPS-008 L1,GPS-009 L1,GPS-010 L1,GPS-011 L1,GPS-012 L1,GPS-013 L1,GPS-014 L1,GPS-015 L1,GPS-016 L1,GPS-017 L1,GPS-018 L1,GPS-019 L1,GPS-020 L1,GPS-021 L1,GPS-022 L1,GPS-023 L1,GPS-024 L1,GPS-025 L1,GPS-026 L1,GPS-027 L1,GPS-028 L1,GPS-029 L1,GPS-030 L1
  1429365600.100,,,    24466755.806,,,,,,    24282286.954,,,,,    20692404.343,    24878401.020,,,    21953584.351,    21606803.235,,,    23698588.714,    20732336.168,,,,    21297982.495,    24136140.749,,
  1429365600.200,,,    24466724.201,,,,,,    24282294.627,,,,,    20692408.119,    24878478.289,,,    21953535.589,    21606844.468,,,    23698532.193,    20732358.464,,,,    21297945.754,    24136197.989,,
  1429365600.300,,,    24466692.596,,,,,,    24282302.302,,,,,    20692411.895,    24878555.558,,,    21953486.828,    21606885.701,,,    23698475.673,    20732380.761,,,,    21297909.014,    24136255.228,,
  1429365600.400,,,    24466660.993,,,,,,    24282309.978,,,,,    20692415.673,    24878632.828,,,    21953438.067,    21606926.935,,,    23698419.152,    20732403.059,,,,    21297872.275,    24136312.468,,
  1429365600.500,,,    24466629.391,,,,,,    24282317.655,,,,,    20692419.452,    24878710.097,,,    21953389.307,    21606968.170,,,    23698362.633,    20732425.357,,,,    21297835.537,    24136369.709,,
  1429365600.600,,,    24466597.790,,,,,,    24282325.333,,,,,    20692423.233,    24878787.367,,,    21953340.547,    21607009.406,,,    23698306.113,    20732447.656,,,,    21297798.801,    24136426.951,,
  1429365600.700,,,    24466566.189,,,,,,    24282333.013,,,,,    20692427.015,    24878864.636,,,    21953291.788,    21607050.642,,,    23698249.594,    20732469.956,,,,    21297762.065,    24136484.193,,
  1429365600.800,,,    24466534.590,,,,,,    24282340.694,,,,,    20692430.799,    24878941.905,,,    21953243.028,    21607091.878,,,    23698193.076,    20732492.257,,,,    21297725.330,    24136541.436,,
  1429365600.900,,,    24466502.991,,,,,,    24282348.376,,,,,    20692434.584,    24879019.175,,,    21953194.270,    21607133.116,,,    23698136.557,    20732514.558,,,,    21297688.597,    24136598.680,,
  1429365601.000,,,    24466471.394,,,,,,    24282356.059,,,,,    20692438.370,    24879096.445,,,    21953145.511,    21607174.354,,,    23698080.039,    20732536.860,,,,    21297651.864,    24136655.924,,
  1429365601.100,,,    24466439.797,,,,,,    24282363.744,,,,,    20692442.157,    24879173.714,,,    21953096.754,    21607215.592,,,    23698023.522,    20732559.163,,,,    21297615.133,    24136713.169,,
  1429365601.200,,,    24466408.201,,,,,,    24282371.430,,,,,    20692445.946,    24879250.984,,,    21953047.996,    21607256.832,,,    23697967.004,    20732581.466,,,,    21297578.403,    24136770.414,,
  1429365601.300,,,    24466376.607,,,,,,    24282379.117,,,,,    20692449.737,    24879328.253,,,    21952999.239,    21607298.072,,,    23697910.488,    20732603.770,,,,    21297541.674,    24136827.660,,
