gps_time,id,sv_id,pseudorange,carrier_phase,doppler_shift,CN0,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,clkErr,predicted_multipath
1429364551.5,GG01,1,23719452.4177416,-6688.84898338094,-3039.00800645351,42.9754604929987,15274110.1643101,-20336275.884265,7613142.93123914,-161.228925976902,991.765585739166,2973.46928840782,0.0002323170053629,0
1429364551.6,GG01,1,23719394.3739935,-6992.87381318584,-3046.57034575939,42.9754604929987,15274094.0458633,-20336176.7231903,7613440.28607658,-161.238877886906,991.800444871187,2973.4530633036,0.000232317006894,0
1429364551.7,GG01,1,23719336.4516073,-7297.17959346995,-3042.06274449825,42.9754604929987,15274077.9264218,-20336077.5586337,7613737.63927967,-161.248829267919,991.835303973407,2973.43683756609,0.000232317008425,0
1429364551.8,GG01,1,23719278.4599116,-7601.35068662837,-3041.42944514751,41.1287315927293,15274061.8059848,-20335978.390591,7614034.99086104,-161.25878011249,991.87016306445,2973.42061119806,0.000232317009956,0
1429364551.9,GG01,1,23719220.7978452,-7905.54884032905,-3042.21175611019,41.1287315927293,15274045.6845534,-20335879.2190679,7614332.34080359,-161.268730422482,991.905022151768,2973.40438419487,0.000232317011487,0
1429364552.0,GG01,1,23719163.2744442,-8209.71434998885,-3041.2245541811,41.1287315927293,15274029.562126,-20335780.0440538,7614629.68913875,-161.278680194169,991.939881209284,2973.38815655746,0.000232317013018,0
1429364552.2,GG01,1,23719047.3865448,-8817.99807899818,-3039.44572806358,41.1287315927293,15273997.3142853,-20335581.6835668,7615224.38094501,-161.298578141257,992.009599301964,2973.35569938365,0.0002323170160801,0
1429364552.3,GG01,1,23718989.8225493,-9122.09245256707,-3046.59828543663,41.1287315927293,15273981.1888718,-20335482.4980922,7615521.72442104,-161.308526314795,992.044458333403,2973.33946984541,0.0002323170176111,0
1429364552.4,GG01,1,23718931.9274174,-9426.30967039615,-3039.46435451508,41.1287315927293,15273965.062464,-20335383.3091357,7615819.06626209,-161.318473951891,992.079317338765,2973.32323967852,0.0002323170191421,0
1429364552.5,GG01,1,23718874.2926976,-9730.47261140496,-3039.39916193485,41.1287315927293,15273948.9350616,-20335284.1166959,7616116.4064727,-161.328421052545,992.114176332951,2973.3070088746,0.0002323170206731,0
1429364552.6,GG01,1,23718816.4931065,-10034.6084396802,-3043.61805319786,41.1287315927293,15273932.8066635,-20335184.9207653,7616413.74507507,-161.338367624208,992.149035312235,2973.29077743366,0.0002323170222041,0
1429364552.7,GG01,1,23718758.8078392,-10338.6997128651,-3039.18495774269,41.1287315927293,15273916.6772708,-20335085.7213511,7616711.08204771,-161.348313657567,992.18389428407,2973.27454536501,0.0002323170237352,0
1429364552.8,GG01,1,23718701.3177483,-10642.8717918247,-3039.36190903187,43.639680566916,15273900.5468836,-20334986.518453,7617008.41739135,-161.358259152621,992.218753244728,2973.25831266213,0.0002323170252662,0
1429364552.9,GG01,1,23718643.4024464,-10946.9799344391,-3041.81128740311,43.639680566916,15273884.4155013,-20334887.3120674,7617305.75111693,-161.368204114959,992.253612179309,2973.24207932316,0.0002323170267972,0
1429364553.0,GG01,1,23718585.3960559,-11251.1589591429,-3042.5563454628,43.639680566916,15273868.2831249,-20334788.102199,7617603.08321023,-161.37814855203,992.28847110644,2973.22584535368,0.0002323170283282,0
1429364553.2,GG01,1,23718469.6870931,-11859.3682608306,-3041.93235933781,43.639680566916,15273836.0153877,-20334589.6720034,7618197.74253031,-161.398035809398,992.358188919723,2973.19337551203,0.0002323170313903,0
1429364553.3,GG01,1,23718411.589422,-12163.6530252993,-3037.63896226883,43.639680566916,15273819.8800274,-20334490.4516777,7618495.06975258,-161.407978633419,992.393047798425,2973.17713964265,0.0002323170329213,0
1429364553.4,GG01,1,23718353.5140235,-12467.7260757759,-3038.96144032478,43.639680566916,15273803.7436725,-20334391.2278654,7618792.39535371,-161.417920926586,992.427906673402,2973.16090313997,0.0002323170344524,0
1429364553.5,GG01,1,23718296.0717566,-12771.9902353138,-3040.19078612328,43.639680566916,15273787.6063235,-20334292.0005702,7619089.71932259,-161.427862688899,992.462765518576,2973.1446660012,0.0002323170359834,0
1429364553.6,GG01,1,23718237.870786,-13076.0188631564,-3037.97423839569,43.639680566916,15273771.4679796,-20334192.7697857,7619387.04167815,-161.437803911045,992.497624367476,2973.12842823192,0.0002323170375144,0
1429364553.7,GG01,1,23718179.2471546,-13380.243871063,-3042.68673062325,43.639680566916,15273755.3286419,-20334093.5355184,7619684.36240071,-161.44774459675,992.532483194023,2973.11218983028,0.0002323170390454,0
1429364553.8,GG01,1,23718121.5736033,-13684.4644744247,-3041.57845675945,42.4524532206873,15273739.1883091,-20333994.2977609,7619981.68151305,-161.4576847516,992.56734200567,2973.09595079161,0.0002323170405765,0
1429364553.9,GG01,1,23718063.1651127,-13988.5778400078,-3052.63325572014,42.4524532206873,15273723.0469825,-20333895.0565202,7620278.99899318,-161.467624375597,992.602200802416,2973.07971112151,0.0002323170421075,0
1429364554.0,GG01,1,23718005.4671393,-14292.7671583295,-3033.37350487709,42.4524532206873,15273706.9046617,-20333795.8117935,7620576.31485025,-161.477563457564,992.637059595436,2973.06347081903,0.0002323170436385,0
1429364554.2,GG01,1,23717890.3614823,-14901.0162241384,-3034.69598293304,42.4524532206873,15273674.6170372,-20333597.3118797,7621170.9417012,-161.497440027073,992.706777121872,2973.0309883086,0.0002323170467006,0
1429364554.3,GG01,1,23717831.8952539,-15205.2045075223,-3049.44813251495,42.4524532206873,15273658.4717338,-20333498.0566934,7621468.25269264,-161.507377505302,992.741635866463,2973.0147461053,0.0002323170482316,0
1429364554.4,GG01,1,23717774.6209282,-15509.3057047576,-3042.50046610832,42.4524532206873,15273642.3254368,-20333398.7980243,7621765.56205107,-161.517314460129,992.776494596153,2972.99850326777,0.0002323170497627,0
1429364554.5,GG01,1,23717717.0209838,-15813.4180692136,-3039.56679999828,42.4524532206873,15273626.1781455,-20333299.5358661,7622062.86979478,-161.527250871062,992.811353310943,2972.98225979693,0.0002323170512937,0
1429364554.6,GG01,1,23717659.2340754,-16117.7019202486,-3037.06154227257,42.4524532206873,15273610.0298602,-20333200.2702218,7622360.17591503,-161.537186749279,992.846212018281,2972.96601569373,0.0002323170528248,0
1429364554.7,GG01,1,23717601.217417,-16421.6971465424,-3046.64485156536,42.4524532206873,15273593.8805811,-20333101.0010918,7622657.48041101,-161.547122096643,992.881070699543,2972.94977095537,0.0002323170543558,0
1429364554.8,GG01,1,23717543.4939978,-16726.0685199201,-3040.26529192924,38.404069887611,15273577.7303091,-20333001.7284815,7622954.7832657,-161.557056905702,992.915929369628,2972.93352558464,0.0002323170558868,1
1429364554.9,GG01,1,23717485.0147894,0.0,-3046.77523672581,38.404069887611,15273561.5790422,-20332902.4523776,7623252.08451934,-161.566991180182,992.950788032264,2972.91727958154,0.0002323170574179,1
1429364555.0,GG01,1,23717427.1620197,0.0,-3045.85322737694,38.404069887611,15273545.4267819,-20332803.1727894,7623549.38414391,-161.57692492567,992.985646679997,2972.90103294328,0.0002323170589489,1
1429364555.2,GG01,1,23717311.130785,0.0,-3039.71581161022,38.404069887611,15273513.1192806,-20332604.603157,7624143.97851519,-161.596790805459,993.055363919586,2972.86853777152,0.000232317062011,1
1429364555.3,GG01,1,23717253.5818203,0.0,-3040.50743579865,38.404069887611,15273496.9640397,-20332505.3131121,7624441.2732638,-161.606722941622,993.090222530067,2972.85228923336,0.000232317063542,1
1429364555.4,GG01,1,23717195.9377399,0.0,-3047.06394672394,38.404069887611,15273480.8078054,-20332406.0195816,7624738.56638698,-161.616654541343,993.125081125647,2972.8360400619,0.0002323170650731,1
1429364555.5,GG01,1,23717137.4470836,0.0,-3042.25832223892,38.404069887611,15273464.6505777,-20332306.7225651,7625035.85788576,-161.626585608348,993.159939691424,2972.81979025714,0.0002323170666041,1
